date,time,address,offense,description
8/31/2016,2:35 PM,51 N 39th St,Assault,Complainant struck by known female
4/22/17,9:12 PM,231 S 34th St,Assault,Bike taken from bike rack/Arrest
8/31/2016,9:05 PM,3948 Market St,Other Assault,Complainant threatened by known male
09/22/16,1:27 PM,140 S 36th St,Other assault,Threatening messages received
09/01/2016,3:55 PM,Guardian Drive,Assault,Complainant assaulted by unknown male
09/28/16,2:07 AM,250 S 36th St,Assault,Male trespassing/Arrest
09/04/2016,10:25 PM,2930 Chestnut St,Assault,Complainant assaulted by boyfriend
08/25/16,9:32 AM,100 S 38th St,Assault,Complainant pushed from bike
09/10/16,4:19 PM,3948 Market St,Assault,Complainant assaulted by boyfriend
08/20/17,4:04 AM,S. 38th & Ludlow St,Assault,
09/22/16,1:27 PM,140 S 36th St,Other assault,Threatening messages received
8/31/2016,2:35 PM,51 N 39th St,Assault,Complainant struck by known female
09/24/16,12:22 PM,3744 Spruce St,Assault,Complainant struck by ex-employee
06/02/16,11:16 AM,51 N 39th St,Assault,Complainant pushed by unknown female
09/28/16,2:07 AM,250 S 36th St,Assault,Male trespassing/Arrest
07/27/16,8:09 PM,119 S 39th St,Assault,Complainant punched by known offender
09/30/16,2:53 PM,4249 Walnut St,Assault,Complainant struck by patron
10/09/16,1:13 PM,51 N 39th St,Assault,Complainant assaulted by medics
05/03/16,4:39 PM,233 S 33rd St,Assault,Male punched by unknown male
12/22/16,4:12 PM,51 N 39th St,Assault,Complainant assaulted by known male
05/04/16,11:22 PM,3300 Chestnut St,Assault,Complainant assaulted by ex-boyfriend
12/23/16,8:34 AM,51 N 39th St,Assault,Complainant struck and bit by known person
05/05/16,8:22 PM,4118 Baltimore St,Assault,Complainant punched by known male
01/15/2017,4:22 AM,51 N 39th St,Other Assault,Threats received via text and Facebook
05/05/16,10:10 PM,4033 Baltimore St,Assault,Complainant assaulted by known male
02/08/17,4:07 PM,51 N 39th St,Assault,Security officer assaulted/Arrest
05/10/16,11:36 AM,3400 Civic Center Blvd,Other Assault,Threatening message received from ex-boyfriend
3/14/2017,1:04 AM,51 N 39th St,Assault,Offender struck complainant in the face/Arrest
05/13/16,8:22 PM,600 University Ave,Assault,Windshield broken by spike/Arrest
01/27/17,6:34 PM,220 S. 40th St,Assault,Unknown male threw item at complainant
05/13/16,8:22 PM,600 University Ave,Assault,Spike thrown at windshield/Arrest
01/31/17,6:22 PM,220 S 40th St,Assault,Complainant punched in chest
05/13/16,8:22 PM,600 University Ave,Assault,Spike thrown at windshield/Arrest
03/09/2017,6:40 PM,220 S 40th St,Assault,Complainant assaulted by unknown juvenile male
05/13/16,9:29 PM,600 University Ave,Assault,Spike thrown at roof of auto/Arrest
05/30/17,7:52 AM,40th & Sansom,Aggravated assault/unfounded per investigation
05/20/16,11:39 AM,3929 Sansom St,Assault,Complainant struck in face
7/29/17,4:35 PM,Unit blk of 40th St,Assault,
05/28/16,12:57 PM,3700 Spruce St,Assault,Complainant struck in mouth
09/22/17,6:35 PM,210 S 40th St,Aggravated assault,
06/02/16,11:16 AM,51 N 39th St,Assault,Complainant pushed by unknown female
09/22/17,6:35 PM,210 S 40th St,Aggravated assault,
06/03/16,8:54 AM,4220 Walnut St,Assault,Complainant assaulted by ex-girlfriend
09/22/17,6:35 PM,210 S 40th St,Aggravated assault,
06/17/16,2:48 AM,3800 Sansom St,Assault,Complainant assaulted by known male/Arrest
8/10/17,12:41 PM,S. 41st St,Assault,
06/19/16,5:08 PM,4105 Spruce St,Assault,Complainant assaulted by known person
05/16/17,5:48 PM,506 S 42nd St,Assault,
06/21/16,3:02 AM,4109 Walnut St,Assault,Complainant assaulted by ex-girlfriend
8/5/17,12:32 PM,260 S. 44th St,Domestic Assault,
06/21/16,3:51 AM,4109 Walnut St,Assault,Officer assaulted/Arrest
06/01/17,2:19 PM,410 S 45th St,Assault,
06/30/16,4:23 PM,4000 Market St,Assault,Complainant struck by unknown females
7/24/17,1:19 PM,120 S 45th St,Aggravated assault/ Arrest,
07/05/16,4:27 PM,4220 Chestnut St,Assault,Male struck in face
07/05/17,12:35 AM,910 S. 46th St.,Aggravated Assault,
