date,time,address,offense,description
09/07/16,1:10 AM,3922 Spruce St,Burglary,Property removed from residence
06/03/16,8:54 AM,101 S 39th St,Burglary,Items taken from apartment
05/05/16,9:29 AM,400 Pine St,Burglary,Backpack and contents taken from living room
01/19/17,3:37 AM,124 S 39th St,Burglary,Unknown male in residence
05/10/16,11:12 AM,3637 Locust Walk,Burglary,Painting taken from residence
08/25/17,7:34 PM,101 S 39th St,Burglary,Property missing from apartment
06/03/16,8:54 AM,3818 Chestnut St,Burglary,Laptop and comforter taken from the bedroom
06/24/16,5:44 AM,218 S 40th St,Burglary,Male took products from store/Arrest
06/03/16,8:54 AM,101 S 39th St,Burglary,Items taken from apartment
02/18/17,12:50 PM,313 41st St,Burglary,iPad and various items taken
06/08/16,1:27 PM,3910 Irving St,Burglary,Gameboy Advance and phone charger taken
11/13/16,3:59 PM,4039 Walnut St,Burglary,Guitar taken
06/15/16,11:45 AM,4000 Pine St,Burglary,Various items taken
11/24/16,7:57 AM,3661 Walnut St,Burglary,Male broke into store/Arrest
06/17/16,4:34 PM,4033 Spruce St,Burglary,Unknown person took complainant's computer
09/07/16,1:10 AM,3922 Spruce St,Burglary,Property removed from residence
06/22/16,4:03 PM,3601 Spruce St,Burglary,Male took computer/Arrest
06/17/16,4:34 PM,4033 Spruce St,Burglary,Unknown person took complainant's computer
06/24/16,5:44 AM,218 S 40th St,Burglary,Male took products from store/Arrest
06/22/16,4:03 PM,3601 Spruce St,Burglary,Male took computer/Arrest
06/24/16,3:16 PM,3928 Market St,Burglary,Two TVs and various items taken
07/14/16,11:32 PM,3924 Spruce St,Burglary,Males attempted to open closet
07/14/16,11:32 PM,3924 Spruce St,Burglary,Males attempted to open closet
07/20/16,4:31 PM,4228 Spruce St,Burglary,Property taken from residence by unknown person
07/20/16,4:31 PM,4228 Spruce St,Burglary,Property taken from residence by unknown person
11/25/16,4:19 PM,3900 Spruce St,Burglary,Various property taken from residence
08/17/16,7:40 PM,3910 Irving St,Burglary,Property taken from room
01/10/2017,2:46 PM,4036 Spruce St,Burglary,Property taken from residence
08/18/16,9:51 PM,3927 Pine St,Burglary,Property taken from residence
01/27/17,6:59 AM,4112 Spruce St,Burglary,Burglary
08/19/16,9:51 PM,3820 Locust Walk,Burglary,Headphones taken from room
03/23/2017,11:39 PM,4055 Spruce St,Burglary,Computer taken from residence
08/27/16,5:00 AM,3957 Baltimore Ave,Burglary,Property taken from residence
05/04/17,6:41 PM,4046 Spruce St,Burglary,Property taken from residence
11/13/16,3:59 PM,4039 Walnut St,Burglary,Guitar taken
05/10/16,11:12 AM,3637 Locust Walk,Burglary,Painting taken from residence
11/24/16,7:57 AM,3661 Walnut St,Burglary,Male broke into store/Arrest
08/19/16,9:51 PM,3820 Locust Walk,Burglary,Headphones taken from room
11/25/16,4:19 PM,3900 Spruce St,Burglary,Various property taken from residence
01/10/2017,10:10 PM,3820 Locust Walk,Burglary,Bluetooth speaker taken
01/10/2017,2:46 PM,4036 Spruce St,Burglary,Property taken from residence
06/03/16,8:54 AM,3818 Chestnut St,Burglary,Laptop and comforter taken from the bedroom
01/10/2017,10:10 PM,3820 Locust Walk,Burglary,Bluetooth speaker taken
01/12/2017,7:22 PM,4039 Chestnut St,Burglary,Males entered building without authority/2 Arrests
01/12/2017,7:22 PM,4039 Chestnut St,Burglary,Males entered building without authority/2 Arrests
01/31/17,9:13 PM,4035 Chestnut St,Burglary,Property removed from residence
01/19/17,3:37 AM,124 S 39th St,Burglary,Unknown male in residence
05/04/17,1:57 PM,3900 Chestnut St,Burglary,Various items taken from an unsecured apartment
01/27/17,6:59 AM,4112 Spruce St,Burglary,Burglary
08/27/16,5:00 AM,3957 Baltimore Ave,Burglary,Property taken from residence
01/31/17,9:13 PM,4035 Chestnut St,Burglary,Property removed from residence
2/24/2017,9:52 PM,4013 Baltimore Ave,Burglary,Property taken from residence
02/18/17,12:50 PM,313 41st St,Burglary,iPad and various items taken
4/25/17,1:50 AM,4028 Sansom St,Burglary,Backpack taken from living room
2/24/2017,9:52 PM,4013 Baltimore Ave,Burglary,Property taken from residence
4/28/17,11:18 AM,4034 Sansom St,Burglary,Property taken from residence
03/23/2017,11:39 PM,4055 Spruce St,Burglary,Computer taken from residence
06/08/16,1:27 PM,3910 Irving St,Burglary,Gameboy Advance and phone charger taken
4/25/17,1:50 AM,4028 Sansom St,Burglary,Backpack taken from living room
08/17/16,7:40 PM,3910 Irving St,Burglary,Property taken from room
4/28/17,11:18 AM,4034 Sansom St,Burglary,Property taken from residence
05/05/16,9:29 AM,400 Pine St,Burglary,Backpack and contents taken from living room
05/04/17,1:57 PM,3900 Chestnut St,Burglary,Various items taken from an unsecured apartment
06/15/16,11:45 AM,4000 Pine St,Burglary,Various items taken
05/04/17,6:41 PM,4046 Spruce St,Burglary,Property taken from residence
08/18/16,9:51 PM,3927 Pine St,Burglary,Property taken from residence
08/25/17,7:34 PM,101 S 39th St,Burglary,Property missing from apartment
06/24/16,3:16 PM,3928 Market St,Burglary,Two TVs and various items taken
