date,time,address,offense,description,lat,lng
09/14/16,1:34 PM,3600 Sansom St,Disorderly Conduct,Female acting disorderly towards police/Arrest,39.9536985,-75.1956009
05/03/16,3:23 PM,140 S 36th St,Disorderly conduct,Male acting disorderly with police,39.9536662,-75.1950422
09/30/16,7:38 PM,3800 Walnut St,Disorderly conduct,Female cited for disorderly conduct,39.9536457,-75.1987871
07/28/16,5:34 PM,200 S 38th St,Disorderly Conduct,Male behaving disorderly/Arrest,39.9536208,-75.1987759
10/02/16,7:32 PM,3744 Spruce St,Disorderly conduct,Male causing disturbance/Arrest,39.9510492,-75.1990273
12/02/16,8:37 AM,240 S 40th St,Disorderly Conduct,Male screaming at staff and causing disturbance/Arrest,39.9527238,-75.2034259
05/03/16,3:23 PM,140 S 36th St,Disorderly conduct,Male acting disorderly with police,39.9536662,-75.1950422
09/30/16,7:38 PM,3800 Walnut St,Disorderly conduct,Female cited for disorderly conduct,39.9536457,-75.1987871
05/04/16,4:48 AM,3600 Chestnut St,Disorderly conduct,Male acting in disruptive manner/Arrest,39.9543161,-75.1953724
06/24/16,9:30 PM,3601 Walnut St,Disorderly Conduct,Male causing disturbance/Arrest,39.9536487,-75.1952333
06/24/16,9:30 PM,3601 Walnut St,Disorderly Conduct,Male causing disturbance/Arrest,39.9536487,-75.1952333
06/28/16,7:11 PM,3925 Walnut St,Disorderly Conduct,Male causing disturbance in store/Arrest,39.9542356,-75.2011919
06/28/16,7:11 PM,3925 Walnut St,Disorderly Conduct,Male causing disturbance in store/Arrest,39.9542356,-75.2011919
10/29/16,8:27 PM,4000 Walnut St,Disorderly conduct,Offender disregarded police officers/Arrest,39.9540855,-75.202628
07/07/16,3:51 PM,3400 Chestnut St,Disorderly Conduct,Intoxicated female causing disturbance/Arrest,39.9540115,-75.1921404
2/22/2017,5:36 PM,3925 Walnut St,Disorderly Conduct,Male causing disturbance/Arrest,39.9542356,-75.2011919
07/19/16,9:05 PM,4040 Chestnut St,Disorderly Conduct,Male causing disturbance/Arrest,39.9555233,-75.203665
05/04/16,4:48 AM,3600 Chestnut St,Disorderly conduct,Male acting in disruptive manner/Arrest,39.9543161,-75.1953724
07/28/16,5:34 PM,200 S 38th St,Disorderly Conduct,Male behaving disorderly/Arrest,39.9536208,-75.1987759
07/07/16,3:51 PM,3400 Chestnut St,Disorderly Conduct,Intoxicated female causing disturbance/Arrest,39.9540115,-75.1921404
08/11/16,3:45 AM,3900 Ludlow St,Disorderly Conduct,Female causing disturbance/Arrest,39.9561007,-75.1998045
07/19/16,9:05 PM,4040 Chestnut St,Disorderly Conduct,Male causing disturbance/Arrest,39.9555233,-75.203665
10/29/16,8:27 PM,4000 Walnut St,Disorderly conduct,Offender disregarded police officers/Arrest,39.9540855,-75.202628
2/26/2017,6:02 PM,3600 Chestnut St,Disorderly Conduct,Male blocking entrance panhandling/Arrest,39.9543161,-75.1953724
12/02/16,8:37 AM,240 S 40th St,Disorderly Conduct,Male screaming at staff and causing disturbance/Arrest,39.9527238,-75.2034259
09/14/16,1:34 PM,3600 Sansom St,Disorderly Conduct,Female acting disorderly towards police/Arrest,39.9536985,-75.1956009
2/22/2017,5:36 PM,3925 Walnut St,Disorderly Conduct,Male causing disturbance/Arrest,39.9542356,-75.2011919
10/02/16,7:32 PM,3744 Spruce St,Disorderly conduct,Male causing disturbance/Arrest,39.9510492,-75.1990273
2/26/2017,6:02 PM,3600 Chestnut St,Disorderly Conduct,Male blocking entrance panhandling/Arrest,39.9543161,-75.1953724
03/24/2017,5:55 PM,3400 Spruce St,Disorderly Conduct,Male causing disturbance/Arrest,39.9500798,-75.1939906
03/24/2017,5:55 PM,3400 Spruce St,Disorderly Conduct,Male causing disturbance/Arrest,39.9500798,-75.1939906
08/11/16,3:45 AM,3900 Ludlow St,Disorderly Conduct,Female causing disturbance/Arrest,39.9561007,-75.1998045
