date,time,address,offense,description
09/14/16,1:34 PM,3600 Sansom St,Disorderly Conduct,Female acting disorderly towards police/Arrest
05/03/16,3:23 PM,140 S 36th St,Disorderly conduct,Male acting disorderly with police
09/30/16,7:38 PM,3800 Walnut St,Disorderly conduct,Female cited for disorderly conduct
07/28/16,5:34 PM,200 S 38th St,Disorderly Conduct,Male behaving disorderly/Arrest
10/02/16,7:32 PM,3744 Spruce St,Disorderly conduct,Male causing disturbance/Arrest
12/02/16,8:37 AM,240 S 40th St,Disorderly Conduct,Male screaming at staff and causing disturbance/Arrest
05/03/16,3:23 PM,140 S 36th St,Disorderly conduct,Male acting disorderly with police
09/30/16,7:38 PM,3800 Walnut St,Disorderly conduct,Female cited for disorderly conduct
05/04/16,4:48 AM,3600 Chestnut St,Disorderly conduct,Male acting in disruptive manner/Arrest
06/24/16,9:30 PM,3601 Walnut St,Disorderly Conduct,Male causing disturbance/Arrest
06/24/16,9:30 PM,3601 Walnut St,Disorderly Conduct,Male causing disturbance/Arrest
06/28/16,7:11 PM,3925 Walnut St,Disorderly Conduct,Male causing disturbance in store/Arrest
06/28/16,7:11 PM,3925 Walnut St,Disorderly Conduct,Male causing disturbance in store/Arrest
10/29/16,8:27 PM,4000 Walnut St,Disorderly conduct,Offender disregarded police officers/Arrest
07/07/16,3:51 PM,3400 Chestnut St,Disorderly Conduct,Intoxicated female causing disturbance/Arrest
2/22/2017,5:36 PM,3925 Walnut St,Disorderly Conduct,Male causing disturbance/Arrest
07/19/16,9:05 PM,4040 Chestnut St,Disorderly Conduct,Male causing disturbance/Arrest
05/04/16,4:48 AM,3600 Chestnut St,Disorderly conduct,Male acting in disruptive manner/Arrest
07/28/16,5:34 PM,200 S 38th St,Disorderly Conduct,Male behaving disorderly/Arrest
07/07/16,3:51 PM,3400 Chestnut St,Disorderly Conduct,Intoxicated female causing disturbance/Arrest
08/11/16,3:45 AM,3900 Ludlow St,Disorderly Conduct,Female causing disturbance/Arrest
07/19/16,9:05 PM,4040 Chestnut St,Disorderly Conduct,Male causing disturbance/Arrest
10/29/16,8:27 PM,4000 Walnut St,Disorderly conduct,Offender disregarded police officers/Arrest
2/26/2017,6:02 PM,3600 Chestnut St,Disorderly Conduct,Male blocking entrance panhandling/Arrest
12/02/16,8:37 AM,240 S 40th St,Disorderly Conduct,Male screaming at staff and causing disturbance/Arrest
09/14/16,1:34 PM,3600 Sansom St,Disorderly Conduct,Female acting disorderly towards police/Arrest
2/22/2017,5:36 PM,3925 Walnut St,Disorderly Conduct,Male causing disturbance/Arrest
10/02/16,7:32 PM,3744 Spruce St,Disorderly conduct,Male causing disturbance/Arrest
2/26/2017,6:02 PM,3600 Chestnut St,Disorderly Conduct,Male blocking entrance panhandling/Arrest
03/24/2017,5:55 PM,3400 Spruce St,Disorderly Conduct,Male causing disturbance/Arrest
03/24/2017,5:55 PM,3400 Spruce St,Disorderly Conduct,Male causing disturbance/Arrest
08/11/16,3:45 AM,3900 Ludlow St,Disorderly Conduct,Female causing disturbance/Arrest
