Course Title,Code,Sector,Foundation,Avg PCR Quality,Avg PCR Difficulty
1000 YRS MUSICAL LISTENG,MUSC030,III: Arts and Letters,Cross Cultural Analysis,3.1,2.3
AFRICA SINCE 1800,"AFST076, AFRC076, HIST076",II: History and Tradition,Cross Cultural Analysis,3,3.2
ANCIENT GREECE,"ANCH026, CLST026, HIST026",II: History and Tradition,Cross Cultural Analysis,3,3.3
ASIAN-AMERICAN LIT,"ENGL072, ASAM002",III: Arts and Letters,Cultural Diversity in the U.S.,3.2,2.3
COLONIAL LATIN AMERICA,"LALS070, HIST070, AFRC070",II: History and Tradition,Cross Cultural Analysis,2.2,2
COMPARATIVE MEDICINE,"STSC145, HSOC145",II: History and Tradition,Cross Cultural Analysis,2.7,2.3
FREN HIST/CLTR TIL 1789,FREN226,II: History and Tradition,Cross Cultural Analysis,3.6,2.3
FREN LIT: LOVE & PASSION,"FREN231, COML218",III: Arts and Letters,Cross Cultural Analysis,3,2.3
GENDER & SOCIETY,GSWS002,I: Society,Cultural Diversity in the U.S.,3,2.1
HIST MID EAST SINCE 1800,"NELC031, HIST081",II: History and Tradition,Cross Cultural Analysis,2.7,2.4
IDEAS IN MATHEMATICS,MATH170,VII: Natural Sciences and Mathematics,Formal Reasoning & Analysis,2.1,2.1
INDIA: CULTURE & SOCIETY,"HIST085, RELS068, SAST008",IV: Humanities and Social Science,Cross Cultural Analysis,2.6,2.3
INTRO BIO-MOLEC BIO LIFE,BIOL121,V: Living World,Quantitative Data Analysis,2.7,3.3
INTRO CULTURAL ANTHRO,ANTH002,I: Society,Cross Cultural Analysis,2.7,2.2
INTRO TO ANC NEAR EAST,"ANCH025, NELC101, HIST024",II: History and Tradition,Cross Cultural Analysis,2.6,2.1
INTRO TO CHINESE CIVILIZ,EALC001,II: History and Tradition,Cross Cultural Analysis,2.6,2.3
INTRO TO KOREAN CIV,"EALC003, HIST098",II: History and Tradition,Cross Cultural Analysis,2.5,2.2
INTRO TO MODERN INDIA,"HIST089, SAST001",II: History and Tradition,Cross Cultural Analysis,2.4,2.2
INTRO TO SOCIOLOGY,SOCI001,I: Society,Cultural Diversity in the U.S.,2.7,2
INTRO VIS CULT ISLAM WLD,"NELC285, NELC685, VLST235, ARTH635, AAMW635, ARTH235",IV: Humanities and Social Science,Cross Cultural Analysis,2.7,3.4
INTRODUCTION TO AFRICA,"AFRC190, AFST190, ANTH190",I: Society,Cross Cultural Analysis,2.8,2.2
JAPANESE POPULAR CULTURE,EALC069,III: Arts and Letters,Cross Cultural Analysis,3,1.5
PUTIN'S RUSSIA,RUSS191,I: Society,Cross Cultural Analysis,3.2,3.3
RUSSIA AND THE WEST,"COML220, HIST220, RUSS220",IV: Humanities and Social Science,Cross Cultural Analysis,2.8,1.3
TEXTS AND CONTEXTS,"GRMN203, GRMN506, SPAN219",IV: Humanities and Social Science,Cross Cultural Analysis,3.3,2.5
THE AMERICAN SOUTH,"AFRC172, HIST170",II: History and Tradition,Cultural Diversity in the U.S.,3.2,2.6
THE BIG BANG AND BEYOND,ASTR007,VII: Natural Sciences and Mathematics,Quantitative Data Analysis,2.6,2.7
THE FAMILY,"GSWS004, SOCI004",I: Society,Quantitative Data Analysis,2.6,2.2
THEORIES GENDR/SEXUALITY,"ENGL096, GSWS096",IV: Humanities and Social Science,Cultural Diversity in the U.S.,3,2.5
URBAN POLITICS IN THE US,PSCI136,I: Society,Cultural Diversity in the U.S.,2.2,2.2
WORLD MUSIC & CULTURES,"ANTH022, FOLK022, AFRC050, AFST050, MUSC050",III: Arts and Letters,Cross Cultural Analysis,2.8,1.9
