ANCIENT ROME,ANCH027,"II: History and Tradition, Cross Cultural Analysis"
HANDSCHRIFT-HYPERTEXT,GRMN301,"III: Arts and Letters, Cross Cultural Analysis"
ART & CIV IN EAST ASIA,ARTH103,"III: Arts and Letters, Cross Cultural Analysis"
"RENAISSANCE-CONTEMPORARY: INTRODUCTION TO WESTERN ART, 1400-PRESENT",ARTH102,"III: Arts and Letters, Cross Cultural Analysis"
INTRO TO ASIAN AMER HIST,ASAM003,"II: History and Tradition, Cultural Diversity in the U.S."
SOCIAL STRATIFICATION,SOCI010,"I: Society, Cultural Diversity in the U.S."
LAND OF THE PHARAOHS,NELC062,"II: History and Tradition, Cross Cultural Analysis"
THE IMMIGRANT CITY,SOCI270,"I: Society, Cultural Diversity in the U.S."
INTRO TO MIDDLE EAST,NELC102,"II: History and Tradition, Cross Cultural Analysis"
"INDIA'S LITERATURE: LOVE, WAR, WISDOM, AND HUMOR",SAST004,"III: Arts and Letters, Cross Cultural Analysis"
"THE FOUNDERS OF ISRAELI LIT: YEHOSHUA, OZ, AMICHAI",ENGL079,"III: Arts and Letters, Cross Cultural Analysis"
"GEN.PHYS:MECH,HEAT,SOUND",PHYS101,"VI: Physical World, Quantitative Data Analysis"
OCEANOGRAPHY:  OCEANS & CLIMATE,GEOL130,"VI: Physical World, Quantitative Data Analysis"
FREN HIST/CLTR 1789-1945,FREN227,"IV: Humanities and Social Science, Cross Cultural Analysis"
AFRO AMER HIST 1876-PRES,HIST177,"II: History and Tradition, Cultural Diversity in the U.S."
AMERICAN SOUTH 1861-PRES,HIST171,"II: History and Tradition, Cultural Diversity in the U.S."
AFR HIST BEFORE 1800,HIST075,"II: History and Tradition, Cross Cultural Analysis"
LATIN AMER 1782-PRESENT,HIST071,"II: History and Tradition, Cross Cultural Analysis"
WORLD MUSIC & CULTURES,ANTH022,"III: Arts and Letters, Cross Cultural Analysis"
AFRO AMER HIST 1876-PRES,AFRC177,"II: History and Tradition, Cultural Diversity in the U.S."
AFR HIST BEFORE 1800,AFRC075,"II: History and Tradition, Cross Cultural Analysis"
TONI MORRISON AND THE ADVENTURE OF THE 21ST CENTURY,AFRC101,"III: Arts and Letters, Cultural Diversity in the U.S."
MASTERPIECES 19C RUS LIT,RUSS145,"III: Arts and Letters, Cross Cultural Analysis"
IDEAS IN MATHEMATICS,MATH170,"Formal Reasoning & Analysis, VII: Natural Sciences and Math"
MODERN JAPANESE HISTORY,EALC071,"II: History and Tradition, Cross Cultural Analysis"
MADNESS AND MADMEN IN RUSSIAN CULTURE,COML197,"IV: Humanities and Social Science, Cross Cultural Analysis"
CONTEMPOR FICT/FILM-JPAN,EALC151,"III: Arts and Letters, Cross Cultural Analysis"
JEWS & JUDAISM IN ANTQTY,HIST139,"II: History and Tradition, Cross Cultural Analysis"
"THE FOUNDERS OF ISRAELI LIT: YEHOSHUA, OZ, AMICHAI",COML282,"III: Arts and Letters, Cross Cultural Analysis"
EAST&WEST;:A HITCHIKER'S GUIDE TO THE CULTURAL HISTORY OF THE MODERN WORLD,ANTH063,"IV: Humanities and Social Science, Cross Cultural Analysis"
GREAT BOOKS OF JUDAISM: TALMUD PERSPECTV CONTEXT,NELC456,"III: Arts and Letters, Cross Cultural Analysis"
"PORTRAITS OF OLD RUSSIA: MYTH, ICON, CHRONICLE",HIST045,"II: History and Tradition, Cross Cultural Analysis"
EMERGENCE OF MODERN SCI,STSC001,"VII: Natural Sciences and Math, IV: Humanities and Social Science"
CONTEMPOR FICT/FILM-JPAN,CIMS151,"III: Arts and Letters, Cross Cultural Analysis"
"THE FOUNDERS OF ISRAELI LIT: YEHOSHUA, OZ, AMICHAI",CIMS159,"III: Arts and Letters, Cross Cultural Analysis"
INTRODUCTION TO ENVIRONMENTAL SCIENCE,ENVS100,"VI: Physical World, Quantitative Data Analysis"
JEWS & JUDAISM IN ANTQTY,RELS120,"II: History and Tradition, Cross Cultural Analysis"
INTRO TO FOLKLORE,NELC181,"IV: Humanities and Social Science, Cross Cultural Analysis"
THE IMMIGRANT CITY,URBS270,"I: Society, Cultural Diversity in the U.S."
HONORS PHYSICS II: ELECTROMAGNETISM AND RADIATION,PHYS171,"VI: Physical World, Quantitative Data Analysis"
"PORTRAITS OF OLD RUSSIA: MYTH, ICON, CHRONICLE",RUSS113,"II: History and Tradition, Cross Cultural Analysis"
INTRODUCTION TO FOLKLORE,FOLK101,"IV: Humanities and Social Science, Cross Cultural Analysis"
ITALIAN HIST ON SCREEN,CIMS206,"III: Arts and Letters, Cross Cultural Analysis"
MOD MIDEAST LIT IN TRANS,COML212,"III: Arts and Letters, Cross Cultural Analysis"
GENDER & SOCIETY,GSWS002,"I: Society, Cultural Diversity in the U.S."
"PORTRAITS OF OLD RUSSIA: MYTH, ICON, CHRONICLE",COML131,"II: History and Tradition, Cross Cultural Analysis"
TEXTS AND CONTEXTS,SPAN219,"IV: Humanities and Social Science, Cross Cultural Analysis"
INTRO TO GEOLOGY,GEOL100,"VI: Physical World, Quantitative Data Analysis"
EMERGENCE OF MODERN SCI,HSOC001,"VII: Natural Sciences and Math, IV: Humanities and Social Science"
"GENERAL PHYSICS: ELECTROMAGNETISM, OPTICS, AND MODERN PHYSICS",PHYS102,"VI: Physical World, Quantitative Data Analysis"
EAST&WEST;:A HITCHIKER'S GUIDE TO THE CULTURAL HISTORY OF THE MODERN WORLD,SAST063,"IV: Humanities and Social Science, Cross Cultural Analysis"
CHINESE FICTION & DRAMA,EALC122,"III: Arts and Letters, Cross Cultural Analysis"
20TH C CHINESE LIT/FILM,EALC125,"III: Arts and Letters, Cross Cultural Analysis"
ANCIENT ROME,CLST027,"II: History and Tradition, Cross Cultural Analysis"
GREAT BOOKS OF JUDAISM: TALMUD PERSPECTV CONTEXT,JWST151,"III: Arts and Letters, Cross Cultural Analysis"
"THE FOUNDERS OF ISRAELI LIT: YEHOSHUA, OZ, AMICHAI",JWST154,"III: Arts and Letters, Cross Cultural Analysis"
JEWS & JUDAISM IN ANTQTY,JWST156,"II: History and Tradition, Cross Cultural Analysis"
ART & CIV IN EAST ASIA,EALC013,"III: Arts and Letters, Cross Cultural Analysis"
"EYE, MIND AND IMAGE",VLST101,"VII: Natural Sciences and Math, IV: Humanities and Social Science"
MDRN WRLD-CLTRL BKGND,ANTH004,"IV: Humanities and Social Science, Cross Cultural Analysis"
INTRODUCTION TO CULTURAL ANTHROPOLOGY,ANTH002,"I: Society, Cross Cultural Analysis"
INTRO LITERARY ANALYSIS,SPAN223,"III: Arts and Letters, Cross Cultural Analysis"
WORLD MUSICS & CULTURES,AFRC050,"III: Arts and Letters, Cross Cultural Analysis"
ITALIAN HIST ON SCREEN,ITAL204,"III: Arts and Letters, Cross Cultural Analysis"
MASTERPIECES OF ITALIAN LITERATURE,ITAL203,"III: Arts and Letters, Cross Cultural Analysis"
GREEK & ROMAN MYTHOLOGY,CLST100,"III: Arts and Letters, Cross Cultural Analysis"
"INDIA'S LITERATURE: LOVE, WAR, WISDOM, AND HUMOR",COML012,"III: Arts and Letters, Cross Cultural Analysis"
MADNESS AND MADMEN IN RUSSIAN CULTURE,RUSS197,"IV: Humanities and Social Science, Cross Cultural Analysis"
INTRODUCTION TO SOCIOLOGY,AFRC002,"I: Society, Cultural Diversity in the U.S."
CHEM OF THE ENVIRONMENT,CHEM012,"VI: Physical World, Quantitative Data Analysis"
THE TRANSFORMATION OF URBAN AMERICA,HIST153,"I: Society, Cultural Diversity in the U.S."
INTRO TO ASIAN AMER HIST,HIST155,"II: History and Tradition, Cultural Diversity in the U.S."
DECIPHERING AMERICA,HIST011,"II: History and Tradition, Cultural Diversity in the U.S."
INTRO TO FOLKLORE,COML101,"IV: Humanities and Social Science, Cross Cultural Analysis"
GREEK & ROMAN MYTHOLOGY,COML108,"III: Arts and Letters, Cross Cultural Analysis"
SOLARSYSTEM EXOPLANETS,ASTR006,"Quantitative Data Analysis, VII: Natural Sciences and Math"
SURVEY OF THE UNIVERSE,ASTR001,"VI: Physical World, Quantitative Data Analysis"
