,course_name,course_code,reqs
0,1000 YRS MUSICAL LISTENG,MUSC030,"III: Arts and Letters, Cross Cultural Analysis"
1,AFRICA SINCE 1800,"HIST076, AFRC076","II: History and Tradition, Cross Cultural Analysis"
2,AFRO AMER HIST,"HIST176, AFRC176","II: History and Tradition, Cultural Diversity in the U.S."
3,ANCIENT GREECE,"ANCH026, CLST026, HIST026","II: History and Tradition, Cross Cultural Analysis"
4,ANCIENT MED EMPIRES,ANCH146,"II: History and Tradition, Cross Cultural Analysis"
5,ASIAN-AMERICAN LIT,"ASAM002, ENGL072","III: Arts and Letters, Cultural Diversity in the U.S."
6,COLD WAR: GLOBAL HISTORY,"EEUR135, HIST135, RUSS135","IV: Humanities and Social Science, Cross Cultural Analysis"
7,COLONIAL LATIN AMERICA,"HIST070, LALS070","II: History and Tradition, Cross Cultural Analysis"
8,DECIPHERING AMERICA,HIST011,"II: History and Tradition, Cultural Diversity in the U.S."
9,EMERGENCE OF MODERN SCI,"STSC001, HSOC001","VII: Natural Sciences and Math, IV: Humanities and Social Science"
10,"EYE, MIND AND IMAGE",VLST101,"VII: Natural Sciences and Math, IV: Humanities and Social Science"
11,FOUNDATIONS OF EUROPEAN THOUGHT: FROM ROME TO THE RENAISSANCE,"COML143, HIST143","II: History and Tradition, Cross Cultural Analysis"
12,FREN HIST/CLTR TIL 1789,FREN226,"II: History and Tradition, Cross Cultural Analysis"
13,FREN LIT: LOVE & PASSION,FREN231,"III: Arts and Letters, Cross Cultural Analysis"
14,"GEN.PHYS.:EM,OPTICS,MODP",PHYS102,"VI: Physical World, Quantitative Data Analysis"
15,"GEN.PHYS:MECH,HEAT,SOUND",PHYS101,"VI: Physical World, Quantitative Data Analysis"
16,GENDER & SOCIETY,GSWS002,"I: Society, Cultural Diversity in the U.S."
17,GLOBALIZATION AND ITS HISTORICAL SIGNIFICANCE,"SOCI012, ANTH012, HIST012","IV: Humanities and Social Science, Cross Cultural Analysis"
18,HONORS PHYSICS I: MECHANICS AND WAVE MOTION,PHYS170,"VI: Physical World, Quantitative Data Analysis"
19,IDEAS IN MATHEMATICS,MATH170,"Formal Reasoning & Analysis, VII: Natural Sciences and Math"
20,INTRO AFRICANA STUDIES,AFRC001,"IV: Humanities and Social Science, Cultural Diversity in the U.S."
21,INTRO BIO-MOLEC BIO LIFE,BIOL121,"V: Living World, Quantitative Data Analysis"
22,INTRO LITERARY ANALYSIS,SPAN223,"III: Arts and Letters, Cross Cultural Analysis"
23,INTRO TO ANC NEAR EAST,"ANCH025, NELC101, HIST024","II: History and Tradition, Cross Cultural Analysis"
