,Course Name,Course Code,Sector,Foundation
0,1000 Years of Musical Listening,MUSC 1300,III: Arts and Letters,Cross Cultural Analysis
1,A Survey of the Universe,ASTR 0001,VI: Physical World,Quantitative Data Analysis
2,Africa Before 1800,AFRC 0300<br>HIST 0300,II: History and Tradition,Cross Cultural Analysis
3,Afro-American History 1550-1876,AFRC 1176<br>HIST 1127,II: History and Tradition,Cultural Diversity in the U.S.
4,American Origins,HIST 0108,II: History and Tradition,Cultural Diversity in the U.S.
5,Ancient Civilizations of the World,ANTH 0105<br>NELC 0050<br>URBS 0050,II: History and Tradition,Cross Cultural Analysis
6,Ancient Greece,ANCH 0101<br>CLST 0101<br>HIST 0720,II: History and Tradition,Cross Cultural Analysis
7,Ancient Iraq,NELC 0110,II: History and Tradition,Cross Cultural Analysis
8,Ancient Mediterranean Empires,ANCH 1100<br>CLST 1100,II: History and Tradition,Cross Cultural Analysis
9,"Anthropology, Race, and the Making of the Modern World",ANTH 0020,I: Society,Cross Cultural Analysis
10,Architect and History,ARTH 1060,IV: Humanities and Social Science,Cross Cultural Analysis
11,Asian American Literature,ASAM 0103,III: Arts and Letters,Cultural Diversity in the U.S.
12,Asian Americans In Contemporary Society,ASAM 1500<br>SOCI 1140,I: Society,Cultural Diversity in the U.S.
13,Authoritarian Politics ,PSCI 0010,I: Society,Cultural Diversity in the U.S.
14,Black Queer Traditions,AFRC 0320<br>ENGL 0320<br>GSWS 0320,III: Arts and Letters,Cultural Diversity in the U.S.
15,"Capitalism, Socialism, and Crisis in the 20th Century Americas",HIST 1740<br>LALS 1740,II: History and Tradition,Cross Cultural Analysis
16,Cinema and Politics,ARTH 3890<br>CIMS 0590<br>COML 0590<br>ENGL 0590,III: Arts and Letters,Cultural Diversity in the U.S.
17,Classical Traditions,CLST 1700<br>ENGL 1009,III: Arts and Letters,Cross Cultural Analysis
18,Climate Change and Community in Indonesia,GRMN 0018<br>SAST 0018,IV: Humanities and Social Science,Cross Cultural Analysis
19,Colonial Latin America,AFRC 0400<br>HIST 0400<br>LALS 0400,II: History and Tradition,Cross Cultural Analysis
20,Comparative Medicine,HSOC 0490<br>STSC 0490,II: History and Tradition,Cross Cultural Analysis
