,Course Name,Course Code,Sector,Foundation
0,1000 Years of Musical Listening,MUSC 1300,III: Arts and Letters,Cross Cultural Analysis
1,A Survey of the Universe,ASTR 0001,VI: Physical World,Quantitative Data Analysis
2,Africa Since 1800,AFRC 0350<br>HIST 0350,II: History and Tradition,Cross Cultural Analysis
3,African American History 1876 to Present,AFRC 1177<br>HIST 1177,II: History and Tradition,Cultural Diversity in the U.S.
4,Ancient Drama,CLST 1601<br>COML 1601,III: Arts and Letters,Cross Cultural Analysis
5,Ancient Rome,ANCH 0102<br>CLST 0102<br>HIST 0721,II: History and Tradition,Cross Cultural Analysis
6,Architect and History,ARTH 1060,IV: Humanities and Social Science,Cross Cultural Analysis
7,Art of Global Asia,ARTH 1040<br>VLST 2340,III: Arts and Letters,Cross Cultural Analysis
8,Asian Americans In Contemporary Society,ASAM 1500<br>SOCI 1140,I: Society,Cultural Diversity in the U.S.
9,Cold War: Global History,HIST 1735<br>REES 1370,IV: Humanities and Social Science,Cross Cultural Analysis
10,Contemporary Fiction & Film in Japan,CIMS 1351<br>COML 1351<br>EALC 1351<br>GSWS 1351,III: Arts and Letters,Cross Cultural Analysis
11,Deciphering America,HIST 0100,II: History and Tradition,Cultural Diversity in the U.S.
12,Doing Research: First-Year Seminar,ANTH 0058<br>SAST 0058,I: Society,Cross Cultural Analysis
13,Earth Systems Science,EESC 1000,VI: Physical World,Quantitative Data Analysis
14,East & West: A Hitchhiker's Guide to the Cultural History of the Modern World,ANTH 0063<br>SAST 0063,IV: Humanities and Social Science,Cross Cultural Analysis
15,Explorations in Human Biology,ANTH 1430,VII: Natural Sciences Across Disciplines,Quantitative Data Analysis
16,First Year Seminar: Dark Academia,ENGL 0391,III: Arts and Letters,Cultural Diversity in the U.S.
17,"Food in the Islamic Middle East: History, Memory, Identity",NELC 0620,IV: Humanities and Social Science,Cross Cultural Analysis
18,Francophone Literature and Film,FREN 1233,III: Arts and Letters,Cross Cultural Analysis
19,French History and Culture 1789-1945,FREN 1227,IV: Humanities and Social Science,Cross Cultural Analysis
20,Gender and Society,ENGL 0159<br>GSWS 0002,I: Society,Cultural Diversity in the U.S.
