date,time,address,offense,description
8/30/2016,5:15 PM,1 S 40th St,Drunkenness,Intoxicated male/Arrest
02/11/17,5:54 PM,51 N 39th St,Drunkenness,Intoxicated male causing disturbance/Arrest
09/02/2016,5:13 PM,3900 Walnut St,Drunkenness,Intoxicated male cited
03/10/2017,6:18 AM,51 N 39th St,Drunkenness,Offender arrested for disorderly conduct and drunkenness
05/08/16,1:56 AM,400 S 41st St,Drunkenness,Intoxicated male/Arrest
8/30/2016,5:15 PM,1 S 40th St,Drunkenness,Intoxicated male/Arrest
06/04/16,4:22 AM,4000 Locust Walk,Drunkenness,Male cited for public drunkenness
06/25/16,9:09 PM,200 S 40th St,Drunkenness,Intoxicated male/Arrest
06/25/16,9:09 PM,200 S 40th St,Drunkenness,Intoxicated male/Arrest
2/23/2017,11:27 AM,1 S 40th St,Drunkenness,Intoxicated male/Arrest
07/27/16,5:25 PM,4000 Walnut St,Drunkenness,Male cited for drunkenness
05/08/16,1:56 AM,400 S 41st St,Drunkenness,Intoxicated male/Arrest
08/20/16,7:42 AM,3609 Chestnut St,Drunkenness,Intoxicated male arrested
09/02/2016,5:13 PM,3900 Walnut St,Drunkenness,Intoxicated male cited
10/13/16,2:31 AM,3300 Walnut St,Drunkenness,Intoxicated male/Arrest
07/27/16,5:25 PM,4000 Walnut St,Drunkenness,Male cited for drunkenness
01/25/17,11:10 PM,100 S. 31st St,Drunkenness,Intoxicated male/Arrest
10/13/16,2:31 AM,3300 Walnut St,Drunkenness,Intoxicated male/Arrest
02/11/17,5:54 PM,51 N 39th St,Drunkenness,Intoxicated male causing disturbance/Arrest
02/19/17,1:23 AM,4000 Walnut St,Drunkenness,Intoxicated male cited
02/19/17,1:23 AM,4000 Walnut St,Drunkenness,Intoxicated male cited
05/07/17,1:25 AM,3900 Walnut St,Drunkenness,Intoxicated male/Arrest
02/19/17,4:24 PM,4000 Irving St,Drunkenness,Intoxicated male cited
08/20/16,7:42 AM,3609 Chestnut St,Drunkenness,Intoxicated male arrested
2/23/2017,11:27 AM,1 S 40th St,Drunkenness,Intoxicated male/Arrest
06/04/16,4:22 AM,4000 Locust Walk,Drunkenness,Male cited for public drunkenness
03/10/2017,6:18 AM,51 N 39th St,Drunkenness,Offender arrested for disorderly conduct and drunkenness
08/25/17,12:45 AM,3800 Sansom St,Drunkenness,Drunk and disorderly male arrested
03/26/2017,3:34 AM,4000 Delancey St,Drunkenness,Intoxicated male/Arrest
03/26/2017,3:34 AM,4000 Delancey St,Drunkenness,Intoxicated male/Arrest
05/07/17,1:25 AM,3900 Walnut St,Drunkenness,Intoxicated male/Arrest
02/19/17,4:24 PM,4000 Irving St,Drunkenness,Intoxicated male cited
08/25/17,12:45 AM,3800 Sansom St,Drunkenness,Drunk and disorderly male arrested
01/25/17,11:10 PM,100 S. 31st St,Drunkenness,Intoxicated male/Arrest
