date,time,address,offense,description
09/20/16,9:47 AM,2929 Walnut St,Fraud,Attempt fraud
07/05/16,10:57 AM,134 S 34th St,Fraud,Offender attempted to cash fraudulent check/Arrest
09/21/16,9:30 AM,3900 Chestnut St,Fraud,Unauthorized charges made on credit card
07/12/16,3:08 PM,134 S 34th St,Fraud,Male attempted to cash fraudulent check
09/25/16,3:31 PM,3421 Chestnut St,Fraud,Counterfeit bills received
12/01/16,3:58 PM,210 S 34th St,Fraud,Unauthorized transactions on credit cards
09/27/16,2:37 PM,3735 Walnut St,Fraud,Male attempted to cash fraudulent check/Arrest
02/08/17,5:53 PM,138 S 34th St,Fraud,Counterfeit bill used to purchase merchandise
05/05/16,11:03 AM,309-311 S 40th St,Fraud,Bad check received
02/08/17,8:05 PM,140 S 34th St,Fraud,Counterfeit bill used to purchase merchandise
05/11/16,3:49 PM,3730 Walnut St,Fraud,Unauthorized charges made on debit card
05/17/16,4:06 PM,101 S 39th St,Fraud,Unknown person opened account without authorization
05/17/16,4:06 PM,101 S 39th St,Fraud,Unknown person opened account without authorization
07/19/16,6:32 PM,51 N 39th St,Fraud,Counterfeit bill used to purchase items
05/18/16,2:41 PM,230 S 41st St,Fraud,Unauthorized charges made on credit card
12/14/16,12:13 AM,119 S 39th St,Fraud,Male cited for theft of services
05/24/16,3:41 PM,3604 Chestnut St,Fraud,Merchandise taken without payment
05/05/16,11:03 AM,309-311 S 40th St,Fraud,Bad check received
06/15/16,6:19 PM,3700 Spruce St,Fraud,Unauthorized use of debit card
06/22/16,8:53 PM,125 S 40th St,Fraud,Unauthorized charges made on account
06/22/16,8:53 PM,125 S 40th St,Fraud,Unauthorized charges made on account
07/26/16,2:15 PM,125-129 S 40th St,Fraud,Employees observed taking cash
07/05/16,10:57 AM,134 S 34th St,Fraud,Offender attempted to cash fraudulent check/Arrest
01/18/17,11:54 AM,226 S 40th St,Fraud,Unauthorized charges made on account
07/05/16,12:19 PM,3735 Walnut St,Fraud,Offender attempted to cash fraudulent check/Arrest
01/31/17,1:43 PM,220 S 40th St,Fraud,Counterfeit money used for purchase
07/08/16,12:34 PM,3802 Chestnut St,Fraud,Female attempted to cash bad check
05/18/16,2:41 PM,230 S 41st St,Fraud,Unauthorized charges made on credit card
07/08/16,2:39 PM,3802 Chestnut St,Fraud,Male attempted to cash back checks/Arrest
07/30/16,4:03 PM,102 S 42nd St,Fraud,Unauthorized charges made on account
07/09/16,8:18 PM,200 St Marks Sq,Fraud,Unauthorized charges made on account
09/20/16,9:47 AM,2929 Walnut St,Fraud,Attempt fraud
07/12/16,3:08 PM,134 S 34th St,Fraud,Male attempted to cash fraudulent check
09/27/16,2:37 PM,3735 Walnut St,Fraud,Male attempted to cash fraudulent check/Arrest
07/13/16,8:51 AM,3400 Civic Center Blvd,Fraud,Subject attempted to fill bad prescription
05/11/16,3:49 PM,3730 Walnut St,Fraud,Unauthorized charges made on debit card
07/16/16,11:36 AM,3744 Spruce St,Fraud,Female observed taking cash from register
07/05/16,12:19 PM,3735 Walnut St,Fraud,Offender attempted to cash fraudulent check/Arrest
07/19/16,6:32 PM,51 N 39th St,Fraud,Counterfeit bill used to purchase items
01/13/2017,11:56 AM,3735 Walnut St,Fraud,Male attempted to obtain debit card with fake ID
07/22/16,8:41 AM,3942 Spruce St,Fraud,Fake bills used to make purchase
02/04/17,11:10 AM,3900 Walnut St,Fraud,Unauthorized charges made on credit card
07/26/16,2:15 PM,125-129 S 40th St,Fraud,Employees observed taking cash
03/22/2017,1:38 PM,4040-4042 Walnut St,Fraud,Unauthorized charges on credit card
07/30/16,4:03 PM,102 S 42nd St,Fraud,Unauthorized charges made on account
4/14/2017,5:57 PM,4201 Walnut St,Fraud,Counterfeit bills used for purchase
08/03/16,4:19 PM,4009 Baltimore Ave,Fraud,Unauthorized transactions made on credit card
06/15/16,6:19 PM,3700 Spruce St,Fraud,Unauthorized use of debit card
08/10/16,2:09 PM,3604 Chestnut St,Fraud,Unauthorized transactions made
07/16/16,11:36 AM,3744 Spruce St,Fraud,Female observed taking cash from register
08/12/16,12:14 PM,3340 Smith Walk,Fraud,Unauthorized charges made on credit card
07/22/16,8:41 AM,3942 Spruce St,Fraud,Fake bills used to make purchase
10/21/16,12:35 PM,4023 Locust St,Fraud,Unauthorized purchases made on credit card
11/18/16,12:21 AM,4000 Spruce St,Fraud,Beverages continued without payment/Arrest
10/26/16,3:45 PM,4125-4133 Chestnut St,Fraud,Male left before paying for services
11/18/16,8:18 PM,3400 Spruce St,Fraud,Unauthorized purchases made
10/28/16,4:40 PM,3818 Chestnut St,Fraud,Money sent to unknown persons
01/20/17,11:58 PM,4000 Spruce St,Fraud,Offenders failed to pay for service
10/29/16,2:54 PM,3901 Locust Walk,Fraud,Unauthorized charges made on account
03/07/2017,10:18 AM,3400 Spruce St,Fraud,Unauthorized transactions made on account
11/04/16,9:42 AM,4241 Locust St,Fraud,Payment made for apartment to unknown person
03/09/2017,9:07 AM,3400 Spruce St,Fraud,Unauthorized charges made on debit card
11/09/16,1:46 PM,3701 Chestnut St,Fraud,Fake email received to send cash
03/09/2017,11:05 AM,3400 Spruce St,Fraud,Unauthorized charges made on debit card
11/18/16,12:21 AM,4000 Spruce St,Fraud,Beverages continued without payment/Arrest
03/09/2017,11:05 AM,3400 Spruce St,Fraud,Unauthorized charges made on debit card
11/18/16,8:18 PM,3400 Spruce St,Fraud,Unauthorized purchases made
3/18/2017,11:11 AM,4108 Spruce St,Fraud,Bad check received
12/01/16,3:58 PM,210 S 34th St,Fraud,Unauthorized transactions on credit cards
03/26/2017,6:36 PM,3700 Spruce St,Fraud,Unauthorized charges made
12/14/16,12:13 AM,119 S 39th St,Fraud,Male cited for theft of services
08/25/17,9:13 PM,3909 Spruce St,Fraud,Money paid for false services
12/22/16,3:51 PM,4035 Chestnut St,Fraud,Purchased items not received
09/21/16,9:30 AM,3900 Chestnut St,Fraud,Unauthorized charges made on credit card
01/10/2017,3:45 PM,3900 Chestnut St,Fraud,Unauthorized charges made on credit card
09/25/16,3:31 PM,3421 Chestnut St,Fraud,Counterfeit bills received
01/12/2017,9:32 PM,3820 Locust Walk,Fraud,Complainant paid for computer services not provided
05/24/16,3:41 PM,3604 Chestnut St,Fraud,Merchandise taken without payment
01/13/2017,11:56 AM,3735 Walnut St,Fraud,Male attempted to obtain debit card with fake ID
07/08/16,12:34 PM,3802 Chestnut St,Fraud,Female attempted to cash bad check
01/18/17,11:54 AM,226 S 40th St,Fraud,Unauthorized charges made on account
07/08/16,2:39 PM,3802 Chestnut St,Fraud,Male attempted to cash back checks/Arrest
01/20/17,11:58 PM,4000 Spruce St,Fraud,Offenders failed to pay for service
08/10/16,2:09 PM,3604 Chestnut St,Fraud,Unauthorized transactions made
01/26/17,8:32 PM,3960 Pine St,Fraud,Fraudulent email used on PayPal
10/26/16,3:45 PM,4125-4133 Chestnut St,Fraud,Male left before paying for services
01/31/17,1:43 PM,220 S 40th St,Fraud,Counterfeit money used for purchase
10/28/16,4:40 PM,3818 Chestnut St,Fraud,Money sent to unknown persons
02/04/17,11:10 AM,3900 Walnut St,Fraud,Unauthorized charges made on credit card
11/09/16,1:46 PM,3701 Chestnut St,Fraud,Fake email received to send cash
02/08/17,5:53 PM,138 S 34th St,Fraud,Counterfeit bill used to purchase merchandise
12/22/16,3:51 PM,4035 Chestnut St,Fraud,Purchased items not received
02/08/17,8:05 PM,140 S 34th St,Fraud,Counterfeit bill used to purchase merchandise
01/10/2017,3:45 PM,3900 Chestnut St,Fraud,Unauthorized charges made on credit card
02/18/17,1:04 PM,3802 Chestnut St,Fraud,Offender attempted to make unauthorized withdrawal/Arrest
02/18/17,1:04 PM,3802 Chestnut St,Fraud,Offender attempted to make unauthorized withdrawal/Arrest
2/22/2017,9:10 PM,3420 Moravian St,Fraud,Payment not made for services rendered
3/17/2017,2:30 PM,3701 Chestnut St,Fraud,Unauthorized transaction on debit card
03/07/2017,10:18 AM,3400 Spruce St,Fraud,Unauthorized transactions made on account
03/24/2017,12:52 AM,4035 Chestnut St,Fraud,Account created without authorization
03/09/2017,9:07 AM,3400 Spruce St,Fraud,Unauthorized charges made on debit card
08/24/17,5:27 PM,3701 Chestnut St,Fraud,Unauthorized transactions made on debit card
03/09/2017,11:05 AM,3400 Spruce St,Fraud,Unauthorized charges made on debit card
08/26/17,4:54 PM,2930 Chestnut St,Fraud,Money sent for non-existent apartment
03/09/2017,11:05 AM,3400 Spruce St,Fraud,Unauthorized charges made on debit card
10/21/16,12:35 PM,4023 Locust St,Fraud,Unauthorized purchases made on credit card
3/17/2017,2:30 PM,3701 Chestnut St,Fraud,Unauthorized transaction on debit card
10/29/16,2:54 PM,3901 Locust Walk,Fraud,Unauthorized charges made on account
3/18/2017,11:11 AM,4108 Spruce St,Fraud,Bad check received
11/04/16,9:42 AM,4241 Locust St,Fraud,Payment made for apartment to unknown person
03/22/2017,1:38 PM,4040-4042 Walnut St,Fraud,Unauthorized charges on credit card
01/12/2017,9:32 PM,3820 Locust Walk,Fraud,Complainant paid for computer services not provided
03/24/2017,12:52 AM,4035 Chestnut St,Fraud,Account created without authorization
08/03/16,4:19 PM,4009 Baltimore Ave,Fraud,Unauthorized transactions made on credit card
03/26/2017,6:36 PM,3700 Spruce St,Fraud,Unauthorized charges made
4/26/17,6:29 PM,4033 Baltimore Ave,Fraud,Unknown person fraudulently received money from complainant
4/14/2017,5:57 PM,4201 Walnut St,Fraud,Counterfeit bills used for purchase
4/19/17,9:18 PM,3421 Woodland Walk,Fraud,Jacket ordered from fake site
4/19/17,9:18 PM,3421 Woodland Walk,Fraud,Jacket ordered from fake site
2/22/2017,9:10 PM,3420 Moravian St,Fraud,Payment not made for services rendered
4/26/17,6:29 PM,4033 Baltimore Ave,Fraud,Unknown person fraudulently received money from complainant
01/26/17,8:32 PM,3960 Pine St,Fraud,Fraudulent email used on PayPal
08/24/17,5:27 PM,3701 Chestnut St,Fraud,Unauthorized transactions made on debit card
08/12/16,12:14 PM,3340 Smith Walk,Fraud,Unauthorized charges made on credit card
08/25/17,9:13 PM,3909 Spruce St,Fraud,Money paid for false services
07/13/16,8:51 AM,3400 Civic Center Blvd,Fraud,Subject attempted to fill bad prescription
08/26/17,4:54 PM,2930 Chestnut St,Fraud,Money sent for non-existent apartment
07/09/16,8:18 PM,200 St Marks Sq,Fraud,Unauthorized charges made on account
