date,time,address,offense,description,lat,lng
8/31/2016,2:35 PM,51 N 39th St,Assault,Complainant struck by known female,39.9582917,-75.1990771
4/22/17,9:12 PM,231 S 34th St,Assault,Bike taken from bike rack/Arrest,39.950738,-75.19219
8/31/2016,9:05 PM,3948 Market St,Other Assault,Complainant threatened by known male,39.9567151,-75.2011233
09/22/16,1:27 PM,140 S 36th St,Other assault,Threatening messages received,39.9536662,-75.1950422
09/01/2016,3:55 PM,Guardian Drive,Assault,Complainant assaulted by unknown male,39.9489128,-75.1970277
09/28/16,2:07 AM,250 S 36th St,Assault,Male trespassing/Arrest,39.9518538,-75.1952906
09/04/2016,10:25 PM,2930 Chestnut St,Assault,Complainant assaulted by boyfriend,39.9526613,-75.1833641
08/25/16,9:32 AM,100 S 38th St,Assault,Complainant pushed from bike,39.9540976,-75.1988448
09/10/16,4:19 PM,3948 Market St,Assault,Complainant assaulted by boyfriend,39.9567151,-75.2011233
08/20/17,4:04 AM,S. 38th & Ludlow St,Assault,,39.9558893,-75.1981487
09/22/16,1:27 PM,140 S 36th St,Other assault,Threatening messages received,39.9536662,-75.1950422
8/31/2016,2:35 PM,51 N 39th St,Assault,Complainant struck by known female,39.9582917,-75.1990771
09/24/16,12:22 PM,3744 Spruce St,Assault,Complainant struck by ex-employee,39.9510492,-75.1990273
06/02/16,11:16 AM,51 N 39th St,Assault,Complainant pushed by unknown female,39.9582917,-75.1990771
09/28/16,2:07 AM,250 S 36th St,Assault,Male trespassing/Arrest,39.9518538,-75.1952906
07/27/16,8:09 PM,119 S 39th St,Assault,Complainant punched by known offender,39.9544323,-75.1998781
09/30/16,2:53 PM,4249 Walnut St,Assault,Complainant struck by patron,39.955089,-75.2084579
10/09/16,1:13 PM,51 N 39th St,Assault,Complainant assaulted by medics,39.9582917,-75.1990771
05/03/16,4:39 PM,233 S 33rd St,Assault,Male punched by unknown male,39.9518073,-75.1898622
12/22/16,4:12 PM,51 N 39th St,Assault,Complainant assaulted by known male,39.9582917,-75.1990771
05/04/16,11:22 PM,3300 Chestnut St,Assault,Complainant assaulted by ex-boyfriend,39.953067,-75.190902
12/23/16,8:34 AM,51 N 39th St,Assault,Complainant struck and bit by known person,39.9582917,-75.1990771
05/05/16,8:22 PM,4118 Baltimore St,Assault,Complainant punched by known male,39.949174,-75.206118
01/15/2017,4:22 AM,51 N 39th St,Other Assault,Threats received via text and Facebook,39.9582917,-75.1990771
05/05/16,10:10 PM,4033 Baltimore St,Assault,Complainant assaulted by known male,39.9499981,-75.204627
02/08/17,4:07 PM,51 N 39th St,Assault,Security officer assaulted/Arrest,39.9582917,-75.1990771
05/10/16,11:36 AM,3400 Civic Center Blvd,Other Assault,Threatening message received from ex-boyfriend,39.9477563,-75.1925357
3/14/2017,1:04 AM,51 N 39th St,Assault,Offender struck complainant in the face/Arrest,39.9582917,-75.1990771
05/13/16,8:22 PM,600 University Ave,Assault,Windshield broken by spike/Arrest,39.9441048,-75.1986187
01/27/17,6:34 PM,220 S. 40th St,Assault,Unknown male threw item at complainant,39.9534914,-75.2029562
05/13/16,8:22 PM,600 University Ave,Assault,Spike thrown at windshield/Arrest,39.9441048,-75.1986187
01/31/17,6:22 PM,220 S 40th St,Assault,Complainant punched in chest,39.9534914,-75.2029562
05/13/16,8:22 PM,600 University Ave,Assault,Spike thrown at windshield/Arrest,39.9441048,-75.1986187
03/09/2017,6:40 PM,220 S 40th St,Assault,Complainant assaulted by unknown juvenile male,39.9534914,-75.2029562
05/13/16,9:29 PM,600 University Ave,Assault,Spike thrown at roof of auto/Arrest,39.9441048,-75.1986187
05/30/17,7:52 AM,40th & Sansom,Aggravated assault/unfounded per investigation,,39.9548764,-75.202428
05/20/16,11:39 AM,3929 Sansom St,Assault,Complainant struck in face,39.9548253,-75.2009783
7/29/17,4:35 PM,Unit blk of 40th St,Assault,,39.9536292,-75.202682
05/28/16,12:57 PM,3700 Spruce St,Assault,Complainant struck in mouth,39.9508969,-75.1973016
09/22/17,6:35 PM,210 S 40th St,Aggravated assault,,39.9537915,-75.2030239
