date,time,address,offense,description,lat,lng
8/30/2016,5:15 PM,1 S 40th St,Drunkenness,Intoxicated male/Arrest,39.9571318,-75.2019419
02/11/17,5:54 PM,51 N 39th St,Drunkenness,Intoxicated male causing disturbance/Arrest,39.9582917,-75.1990771
09/02/2016,5:13 PM,3900 Walnut St,Drunkenness,Intoxicated male cited,39.9537201,-75.2009514
03/10/2017,6:18 AM,51 N 39th St,Drunkenness,Offender arrested for disorderly conduct and drunkenness,39.9582917,-75.1990771
05/08/16,1:56 AM,400 S 41st St,Drunkenness,Intoxicated male/Arrest,39.9509908,-75.2058142
8/30/2016,5:15 PM,1 S 40th St,Drunkenness,Intoxicated male/Arrest,39.9571318,-75.2019419
06/04/16,4:22 AM,4000 Locust Walk,Drunkenness,Male cited for public drunkenness,39.9526981,-75.2005871
06/25/16,9:09 PM,200 S 40th St,Drunkenness,Intoxicated male/Arrest,39.9534235,-75.2032788
06/25/16,9:09 PM,200 S 40th St,Drunkenness,Intoxicated male/Arrest,39.9534235,-75.2032788
2/23/2017,11:27 AM,1 S 40th St,Drunkenness,Intoxicated male/Arrest,39.9571318,-75.2019419
07/27/16,5:25 PM,4000 Walnut St,Drunkenness,Male cited for drunkenness,39.9540855,-75.202628
05/08/16,1:56 AM,400 S 41st St,Drunkenness,Intoxicated male/Arrest,39.9509908,-75.2058142
08/20/16,7:42 AM,3609 Chestnut St,Drunkenness,Intoxicated male arrested,39.9549064,-75.1950454
09/02/2016,5:13 PM,3900 Walnut St,Drunkenness,Intoxicated male cited,39.9537201,-75.2009514
10/13/16,2:31 AM,3300 Walnut St,Drunkenness,Intoxicated male/Arrest,39.952335,-75.190465
07/27/16,5:25 PM,4000 Walnut St,Drunkenness,Male cited for drunkenness,39.9540855,-75.202628
01/25/17,11:10 PM,100 S. 31st St,Drunkenness,Intoxicated male/Arrest,39.9535118,-75.1852667
10/13/16,2:31 AM,3300 Walnut St,Drunkenness,Intoxicated male/Arrest,39.952335,-75.190465
02/11/17,5:54 PM,51 N 39th St,Drunkenness,Intoxicated male causing disturbance/Arrest,39.9582917,-75.1990771
02/19/17,1:23 AM,4000 Walnut St,Drunkenness,Intoxicated male cited,39.9540855,-75.202628
02/19/17,1:23 AM,4000 Walnut St,Drunkenness,Intoxicated male cited,39.9540855,-75.202628
05/07/17,1:25 AM,3900 Walnut St,Drunkenness,Intoxicated male/Arrest,39.9537201,-75.2009514
02/19/17,4:24 PM,4000 Irving St,Drunkenness,Intoxicated male cited,39.9525309,-75.2043293
08/20/16,7:42 AM,3609 Chestnut St,Drunkenness,Intoxicated male arrested,39.9549064,-75.1950454
2/23/2017,11:27 AM,1 S 40th St,Drunkenness,Intoxicated male/Arrest,39.9571318,-75.2019419
06/04/16,4:22 AM,4000 Locust Walk,Drunkenness,Male cited for public drunkenness,39.9526981,-75.2005871
03/10/2017,6:18 AM,51 N 39th St,Drunkenness,Offender arrested for disorderly conduct and drunkenness,39.9582917,-75.1990771
08/25/17,12:45 AM,3800 Sansom St,Drunkenness,Drunk and disorderly male arrested,39.954399,-75.1986399
03/26/2017,3:34 AM,4000 Delancey St,Drunkenness,Intoxicated male/Arrest,39.9512717,-75.2039563
03/26/2017,3:34 AM,4000 Delancey St,Drunkenness,Intoxicated male/Arrest,39.9512717,-75.2039563
05/07/17,1:25 AM,3900 Walnut St,Drunkenness,Intoxicated male/Arrest,39.9537201,-75.2009514
02/19/17,4:24 PM,4000 Irving St,Drunkenness,Intoxicated male cited,39.9525309,-75.2043293
08/25/17,12:45 AM,3800 Sansom St,Drunkenness,Drunk and disorderly male arrested,39.954399,-75.1986399
01/25/17,11:10 PM,100 S. 31st St,Drunkenness,Intoxicated male/Arrest,39.9535118,-75.1852667
