date,time,address,offense,description,lat,lng
09/02/2016,1:36 AM,4000 Delancey St,Robbery,Cell phone currency and watch taken/2 Arrests,39.9512717,-75.2039563
07/08/16,1:00 PM,120 S 36th St,Robbery,Employee pushed as male took merchandise without payment,39.9538992,-75.1949913
09/18/16,6:39 PM,3400 Spruce St,Robbery,Offenders attempted to take cell phone,39.9500798,-75.1939906
10/04/16,10:57 PM,100 S 38th St,Robbery,Complainant punched by male who attempted to take backpack/Arrest,39.9540976,-75.1988448
09/18/16,10:44 PM,4200 Pine St,Robbery,Wallet and iPhone taken,39.9508409,-75.2076809
no date,8:11 PM,200 S 40th St,Robbery,Unknown female attempted to rob complainant,39.9534235,-75.2032788
09/20/16,5:04 PM,4000 Irving St,Robbery,Complainant assaulted and cell phone taken/3 arrests made,39.9525309,-75.2043293
no date,12:04 AM,200 S 41st St,Robbery/arrest,,39.9540508,-75.2054021
09/25/16,1:49 AM,3900 Spruce St,Robbery,Male grabbed complainant's phone/Arrest,39.951206,-75.2009658
01/13/2017,5:02 PM,33 S 42nd St,Robbery,Store robbed by 2 unknown males,39.9564776,-75.2061457
09/28/16,3:30 PM,3800 Woodland Walk,Robbery,US currency forcibly taken from complainant,39.9525062,-75.1927688
8/9/17,4:18 AM,409 S. 42nd St,Robbery,,39.9504064,-75.2067854
05/03/16,6:10 PM,3500 Market St,Robbery,Complainant robbed by males/Arrest,39.955743,-75.193059
8/9/17,7:36 PM,S. 42nd St,Robbery,,39.9509026,-75.2071943
06/29/16,8:15 AM,3800 Spruce St,Robbery,Complainant reported being robbed,39.9499163,-75.200148
7/24/17,11:28 PM,300 S 42nd St,Robbery/ Arrest,,39.9522184,-75.2069361
07/06/16,6:58 PM,4200 Spruce St,Robbery,iPhone taken by unknown male,39.9519876,-75.2072057
08/25/17,2:52 AM,1 S 42nd St,Robbery,Auto taken point of gun,39.957637,-75.2060703
07/07/16,7:22 PM,4006 Chestnut St,Robbery,Wallet taken/Arrest,39.9554089,-75.2026851
07/22/16,11:40 PM,300 S 43rd St,Robbery,Purse taken by unknown male,39.9524927,-75.2092819
07/08/16,1:00 PM,120 S 36th St,Robbery,Employee pushed as male took merchandise without payment,39.9538992,-75.1949913
06/01/17,9:07 PM,44th & Ludlow Sts,Robbery,,35.4202191,-97.0950556
07/08/16,8:11 PM,200 S 40th St,Robbery,Unknown female attempted to rob complainant,39.9534235,-75.2032788
no date,7:55 PM,45th & Springfield Ave,Robbery/ Arrest,,39.9488055,-75.214766
