date,time,address,offense,description,lat,lng
09/16/16,9:36 AM,4300 Sansom St,Sex Offense,Male exposed himself,39.9553276,-75.2088729
05/08/16,8:44 AM,100 S 37th St,Sex offense,Male exposed himself,39.9543223,-75.1968144
09/21/16,6:45 PM,3400 Chestnut St,Sex offense,Confidential,39.9540115,-75.1921404
08/28/16,5:13 AM,200 S 40th St,Sex Offense,Confidential,39.9534235,-75.2032788
05/08/16,8:44 AM,100 S 37th St,Sex offense,Male exposed himself,39.9543223,-75.1968144
08/14/16,4:06 PM,200 S 43rd St,Sex Offense,Male observed without clothing/Arrest,39.9545181,-75.2089997
05/10/16,12:08 PM,4000 Walnut St,Sex Offense,Confidential,39.9540855,-75.202628
05/10/16,12:08 PM,4000 Walnut St,Sex Offense,Confidential,39.9540855,-75.202628
05/11/16,6:54 AM,3900 Pine St,Sex Offense,Male grabbed complainant inappropriately,39.950443,-75.2013432
07/01/16,11:31 PM,3900 Walnut St,Sex Offense,Confidential,39.9537201,-75.2009514
05/26/16,6:50 AM,4040 Chestnut St,Sex Offense,Male exposed himself,39.9555233,-75.203665
11/15/16,4:54 PM,3900 Walnut St,Sex Offense,Confidential,39.9537201,-75.2009514
06/08/16,1:25 PM,4000 Baltimore Ave,Sex Offense,Confidential,39.949921,-75.2039386
12/09/16,1:05 PM,3900 Walnut St,Sex Offense,Confidential,39.9537201,-75.2009514
06/11/16,6:30 AM,4000 Ludlow St,Sex Offense,Male arrested after touching complainant inappropriately/Arrest,39.9563819,-75.2024446
01/01/17,2:30 AM,3925 Walnut St,Sex Offense,Confidential,39.9542356,-75.2011919
07/01/16,11:31 PM,3900 Walnut St,Sex Offense,Confidential,39.9537201,-75.2009514
01/24/17,2:19 PM,3900 Walnut St,Sex offense,Confidential,39.9537201,-75.2009514
07/19/16,10:15 AM,3200 Chestnut St,Sex Offense,Confidential,39.9537815,-75.1885748
08/05/16,11:02 AM,3400 Spruce St,Sex Offense,Male reported to have exposed himself,39.9500798,-75.1939906
07/28/16,1:40 AM,3000 South St,Sex Offense,Male Reported to be exposing himelf,39.9475757,-75.1885069
10/07/16,5:21 PM,3400 Spruce St,Sex Offense,Confidential,39.9500798,-75.1939906
08/05/16,11:02 AM,3400 Spruce St,Sex Offense,Male reported to have exposed himself,39.9500798,-75.1939906
09/21/16,6:45 PM,3400 Chestnut St,Sex offense,Confidential,39.9540115,-75.1921404
08/14/16,4:06 PM,200 S 43rd St,Sex Offense,Male observed without clothing/Arrest,39.9545181,-75.2089997
05/26/16,6:50 AM,4040 Chestnut St,Sex Offense,Male exposed himself,39.9555233,-75.203665
08/28/16,5:13 AM,200 S 40th St,Sex Offense,Confidential,39.9534235,-75.2032788
07/19/16,10:15 AM,3200 Chestnut St,Sex Offense,Confidential,39.9537815,-75.1885748
10/07/16,2:33 PM,4200 Baltimore Ave,Sex Offense,Confidential,39.9496372,-75.2074153
12/28/16,3:28 PM,3943 Chestnut St,Sex Offense,Male exposed himself through window,39.9559821,-75.201914
10/07/16,5:21 PM,3400 Spruce St,Sex Offense,Confidential,39.9500798,-75.1939906
01/25/17,11:20 AM,4100 Chestnut St,Sex offense,Confidential,39.9555945,-75.2053647
10/21/16,12:23 PM,3900 Powelton Ave,Sex Offense,Confidential,39.9589327,-75.2005893
01/25/17,1:10 AM,4200 Chestnut St,Sex offense,Confidential,39.9559039,-75.206339
10/26/16,3:50 PM,3800 Locust Walk,Sex offense,Confidential,39.9519487,-75.1994803
09/16/16,9:36 AM,4300 Sansom St,Sex Offense,Male exposed himself,39.9553276,-75.2088729
11/15/16,4:54 PM,3900 Walnut St,Sex Offense,Confidential,39.9537201,-75.2009514
10/26/16,3:50 PM,3800 Locust Walk,Sex offense,Confidential,39.9519487,-75.1994803
12/09/16,1:05 PM,3900 Walnut St,Sex Offense,Confidential,39.9537201,-75.2009514
02/15/17,11:28 AM,3700 Locust Walk,Sex Offense,Confidential,39.9520225,-75.1972399
12/28/16,3:28 PM,3943 Chestnut St,Sex Offense,Male exposed himself through window,39.9559821,-75.201914
05/11/16,6:54 AM,3900 Pine St,Sex Offense,Male grabbed complainant inappropriately,39.950443,-75.2013432
01/01/17,2:30 AM,3925 Walnut St,Sex Offense,Confidential,39.9542356,-75.2011919
08/25/17,5:42 PM,3900 Pine St,Sex offense,Unknown male exposed himself,39.950443,-75.2013432
01/24/17,2:19 PM,3900 Walnut St,Sex offense,Confidential,39.9537201,-75.2009514
06/08/16,1:25 PM,4000 Baltimore Ave,Sex Offense,Confidential,39.949921,-75.2039386
01/25/17,11:20 AM,4100 Chestnut St,Sex offense,Confidential,39.9555945,-75.2053647
10/07/16,2:33 PM,4200 Baltimore Ave,Sex Offense,Confidential,39.9496372,-75.2074153
01/25/17,1:10 AM,4200 Chestnut St,Sex offense,Confidential,39.9559039,-75.206339
07/28/16,1:40 AM,3000 South St,Sex Offense,Male Reported to be exposing himelf,39.9475757,-75.1885069
02/15/17,11:28 AM,3700 Locust Walk,Sex Offense,Confidential,39.9520225,-75.1972399
06/11/16,6:30 AM,4000 Ludlow St,Sex Offense,Male arrested after touching complainant inappropriately/Arrest,39.9563819,-75.2024446
08/25/17,5:42 PM,3900 Pine St,Sex offense,Unknown male exposed himself,39.950443,-75.2013432
10/21/16,12:23 PM,3900 Powelton Ave,Sex Offense,Confidential,39.9589327,-75.2005893
