date,time,address,offense,description,lat,lng
09/07/16,1:10 AM,3922 Spruce St,Burglary,Property removed from residence,39.951288,-75.201953
06/03/16,8:54 AM,101 S 39th St,Burglary,Items taken from apartment,39.9546307,-75.1996334
05/05/16,9:29 AM,400 Pine St,Burglary,Backpack and contents taken from living room,39.9433778,-75.1494668
01/19/17,3:37 AM,124 S 39th St,Burglary,Unknown male in residence,39.954482,-75.200448
05/10/16,11:12 AM,3637 Locust Walk,Burglary,Painting taken from residence,39.952253,-75.196447
08/25/17,7:34 PM,101 S 39th St,Burglary,Property missing from apartment,39.9546307,-75.1996334
06/03/16,8:54 AM,3818 Chestnut St,Burglary,Laptop and comforter taken from the bedroom,39.9552012,-75.1992858
06/24/16,5:44 AM,218 S 40th St,Burglary,Male took products from store/Arrest,39.9535152,-75.2031102
06/03/16,8:54 AM,101 S 39th St,Burglary,Items taken from apartment,39.9546307,-75.1996334
02/18/17,12:50 PM,313 41st St,Burglary,iPad and various items taken,39.959339,-75.204962
06/08/16,1:27 PM,3910 Irving St,Burglary,Gameboy Advance and phone charger taken,39.9518512,-75.2011037
11/13/16,3:59 PM,4039 Walnut St,Burglary,Guitar taken,39.9546717,-75.2044799
06/15/16,11:45 AM,4000 Pine St,Burglary,Various items taken,39.9505219,-75.2042441
11/24/16,7:57 AM,3661 Walnut St,Burglary,Male broke into store/Arrest,39.9535614,-75.1965008
06/17/16,4:34 PM,4033 Spruce St,Burglary,Unknown person took complainant's computer,39.952209,-75.2044251
09/07/16,1:10 AM,3922 Spruce St,Burglary,Property removed from residence,39.951288,-75.201953
06/22/16,4:03 PM,3601 Spruce St,Burglary,Male took computer/Arrest,39.95121,-75.1959588
06/17/16,4:34 PM,4033 Spruce St,Burglary,Unknown person took complainant's computer,39.952209,-75.2044251
06/24/16,5:44 AM,218 S 40th St,Burglary,Male took products from store/Arrest,39.9535152,-75.2031102
06/22/16,4:03 PM,3601 Spruce St,Burglary,Male took computer/Arrest,39.95121,-75.1959588
06/24/16,3:16 PM,3928 Market St,Burglary,Two TVs and various items taken,39.9567096,-75.2010789
07/14/16,11:32 PM,3924 Spruce St,Burglary,Males attempted to open closet,39.9513596,-75.2020264
07/14/16,11:32 PM,3924 Spruce St,Burglary,Males attempted to open closet,39.9513596,-75.2020264
07/20/16,4:31 PM,4228 Spruce St,Burglary,Property taken from residence by unknown person,39.952059,-75.208363
07/20/16,4:31 PM,4228 Spruce St,Burglary,Property taken from residence by unknown person,39.952059,-75.208363
11/25/16,4:19 PM,3900 Spruce St,Burglary,Various property taken from residence,39.951206,-75.2009658
08/17/16,7:40 PM,3910 Irving St,Burglary,Property taken from room,39.9518512,-75.2011037
01/10/2017,2:46 PM,4036 Spruce St,Burglary,Property taken from residence,39.951634,-75.204684
08/18/16,9:51 PM,3927 Pine St,Burglary,Property taken from residence,39.95077,-75.202367
01/27/17,6:59 AM,4112 Spruce St,Burglary,Burglary,39.9519898,-75.2065095
08/19/16,9:51 PM,3820 Locust Walk,Burglary,Headphones taken from room,39.9522831,-75.2001674
03/23/2017,11:39 PM,4055 Spruce St,Burglary,Computer taken from residence,39.952257,-75.205203
08/27/16,5:00 AM,3957 Baltimore Ave,Burglary,Property taken from residence,39.950176,-75.202802
05/04/17,6:41 PM,4046 Spruce St,Burglary,Property taken from residence,39.951687,-75.205142
11/13/16,3:59 PM,4039 Walnut St,Burglary,Guitar taken,39.9546717,-75.2044799
05/10/16,11:12 AM,3637 Locust Walk,Burglary,Painting taken from residence,39.952253,-75.196447
11/24/16,7:57 AM,3661 Walnut St,Burglary,Male broke into store/Arrest,39.9535614,-75.1965008
08/19/16,9:51 PM,3820 Locust Walk,Burglary,Headphones taken from room,39.9522831,-75.2001674
