date,time,address,offense,description,lat,lng
09/20/16,9:47 AM,2929 Walnut St,Fraud,Attempt fraud,39.9520928,-75.1837876
07/05/16,10:57 AM,134 S 34th St,Fraud,Offender attempted to cash fraudulent check/Arrest,39.9533661,-75.1922657
09/21/16,9:30 AM,3900 Chestnut St,Fraud,Unauthorized charges made on credit card,39.954973,-75.200315
07/12/16,3:08 PM,134 S 34th St,Fraud,Male attempted to cash fraudulent check,39.9533661,-75.1922657
09/25/16,3:31 PM,3421 Chestnut St,Fraud,Counterfeit bills received,39.9545899,-75.1923623
12/01/16,3:58 PM,210 S 34th St,Fraud,Unauthorized transactions on credit cards,39.9522363,-75.1926849
09/27/16,2:37 PM,3735 Walnut St,Fraud,Male attempted to cash fraudulent check/Arrest,39.9539838,-75.1980232
02/08/17,5:53 PM,138 S 34th St,Fraud,Counterfeit bill used to purchase merchandise,39.9533346,-75.1916736
05/05/16,11:03 AM,309-311 S 40th St,Fraud,Bad check received,39.9507817,-75.2029949
02/08/17,8:05 PM,140 S 34th St,Fraud,Counterfeit bill used to purchase merchandise,39.9531578,-75.1922179
05/11/16,3:49 PM,3730 Walnut St,Fraud,Unauthorized charges made on debit card,39.9529106,-75.1982674
05/17/16,4:06 PM,101 S 39th St,Fraud,Unknown person opened account without authorization,39.9546307,-75.1996334
05/17/16,4:06 PM,101 S 39th St,Fraud,Unknown person opened account without authorization,39.9546307,-75.1996334
07/19/16,6:32 PM,51 N 39th St,Fraud,Counterfeit bill used to purchase items,39.9582917,-75.1990771
05/18/16,2:41 PM,230 S 41st St,Fraud,Unauthorized charges made on credit card,39.9527986,-75.205723
12/14/16,12:13 AM,119 S 39th St,Fraud,Male cited for theft of services,39.9544323,-75.1998781
05/24/16,3:41 PM,3604 Chestnut St,Fraud,Merchandise taken without payment,39.9545349,-75.1948936
05/05/16,11:03 AM,309-311 S 40th St,Fraud,Bad check received,39.9507817,-75.2029949
06/15/16,6:19 PM,3700 Spruce St,Fraud,Unauthorized use of debit card,39.9508969,-75.1973016
06/22/16,8:53 PM,125 S 40th St,Fraud,Unauthorized charges made on account,39.9546873,-75.2021253
06/22/16,8:53 PM,125 S 40th St,Fraud,Unauthorized charges made on account,39.9546873,-75.2021253
07/26/16,2:15 PM,125-129 S 40th St,Fraud,Employees observed taking cash,39.9547166,-75.2021056
