date,time,address,offense,description,lat,lng
05/05/16,1:11 PM,3417 Spruce St,Harassment,Threatening phone calls received,39.9509138,-75.1938738
01/18/17,9:49 PM,51 N 39th St,Harassment,Unwanted calls received,39.9582917,-75.1990771
05/05/16,7:52 PM,3601 Walnut St,Harassment,Unwanted phone calls received by male,39.9536487,-75.1952333
01/19/17,8:30 PM,51 N 39th St,Harassment,Unwanted calls received,39.9582917,-75.1990771
08/19/16,10:15 AM,3400 Civic Center Blvd,Harassment,Unwanted calls received,39.9477563,-75.1925357
11/06/16,11:43 AM,403 S 41st St,Harassment,Complainant harassed by known male,39.9504749,-75.2054945
10/07/16,2:35 PM,4247 Locust St,Harassment,Complainant harassed by known males (2) and female,39.9539871,-75.208482
10/11/16,5:43 PM,3615 Hamilton Walk,Harassment,Harassing text messages received,39.9497501,-75.1958238
11/15/16,12:17 AM,3730 Walnut St,Harassment,Unwanted emails and texts received,39.9529106,-75.1982674
10/11/16,8:40 PM,3850 Spruce St,Harassment,Unwanted messages received,39.9510544,-75.199918
12/06/16,9:54 AM,3601 Walnut St,Harassment,Harassing phone calls received,39.9536487,-75.1952333
4/22/17,1:08 PM,4109 Walnut St,Harassment,Complainant threatened by female,39.9548919,-75.2054696
12/02/16,7:58 AM,451 University Ave,Harassment,Complainant harassed by ex-employee,39.9481656,-75.1982371
01/04/17,9:19 AM,3700 Spruce St,Harassment,Unwanted calls and texts received,39.9508969,-75.1973016
4/18/17,3:37 PM,4210 Spruce St,Harassment,Unwanted contact received from ex-girlfriend,39.951991,-75.207503
05/05/17,10:35 AM,3850 Spruce St,Harassment,Unwanted phone call received,39.9510544,-75.199918
08/24/17,10:31 PM,3700 Spruce St,Harassment,Harassing phone calls received,39.9508969,-75.1973016
2/24/2017,9:40 AM,3601 Market St,Harassment,Inappropriate text received,39.9566747,-75.194401
