date,time,address,offense,description,lat,lng
09/03/2016,7:54 AM,3900 Spruce St,Other offense,Male wanted on warrant/Arrest,39.951206,-75.2009658
08/27/17,12:26 PM,200 S 38th St,Other offense,Male wanted on warrant/Arrest,39.9536208,-75.1987759
09/07/16,11:09 PM,3800 Chestnut St,Other Offense,Male wanted on warrant/Arrest,39.954762,-75.198959
05/12/16,12:11 AM,51 N 39th St,Other Offense,Male escaped police custody,39.9582917,-75.1990771
09/08/16,9:41 PM,3901 Locust Walk,Other Offense,Male wanted on warrant/Arrest,39.953158,-75.2013416
11/15/16,5:27 PM,51 N 39th St,Other Offense,Complainant states she was harassed by doctor,39.9582917,-75.1990771
09/14/16,4:22 PM,3600 Locust Walk,Other Offense,Female cited for trespassing,39.951761,-75.196139
01/17/17,9:51 AM,51 N 39th St,Other offense,Male wanted on warrant/Arrest,39.9582917,-75.1990771
09/21/16,6:53 PM,4200 Spruce St,Other offense,Unauthorized male in building/Arrest,39.9519876,-75.2072057
01/17/17,10:12 PM,51 N 39th St,Other offense,Male wanted on warrant/Arrest,39.9582917,-75.1990771
09/23/16,1:18 PM,3737 Market St,Other offense,Complainant threatened by patient,39.9570316,-75.1974976
02/14/17,9:40 AM,51 N 39th St,Other Offense,Male wanted on warrant/Arrest,39.9582917,-75.1990771
09/24/16,11:38 AM,4200 Chestnut St,Other offense,Male wanted on warrant/Arrest,39.9559039,-75.206339
05/05/16,10:55 AM,200 S 40th St,Other offense,Female wanted on warrant/Arrest,39.9534235,-75.2032788
05/05/16,10:55 AM,200 S 40th St,Other offense,Female wanted on warrant/Arrest,39.9534235,-75.2032788
05/27/16,11:32 PM,200 S 40th St,Other Offense,Female wanted on warrant/Arrest,39.9534235,-75.2032788
05/07/16,2:06 PM,3800 Chestnut St,Other Offense,Female wanted on probation violation/Arrest,39.954762,-75.198959
10/20/16,2:07 PM,200 S 40th St,Other Offense,Male wanted on warrant/Arrest,39.9534235,-75.2032788
05/10/16,7:29 AM,3401 Walnut St,Other Offense,Male issued citation for trespassing,39.953173,-75.1928651
12/01/16,12:35 PM,200 S 40th St,Other Offense,Male cited for public urination,39.9534235,-75.2032788
05/12/16,12:11 AM,51 N 39th St,Other Offense,Male escaped police custody,39.9582917,-75.1990771
12/03/16,10:15 PM,220 S 40th St,Other Offense,Offender punched complainant/Arrest,39.9534914,-75.2029562
05/13/16,2:27 AM,4000 Spruce St,Other Offense,Male cited for littering,39.9514918,-75.2032097
12/20/16,12:51 PM,240 S 40th St,Other Offense,Female refusing to leave premise/citation issued,39.9527238,-75.2034259
05/18/16,6:14 PM,4100 Ludlow St,Other Offense,Male wanted on warrant/Arrest,39.9565131,-75.2044319
01/31/17,10:25 PM,200 S 40th St,Other Offense,Male wanted on warrant/Arrest,39.9534235,-75.2032788
05/27/16,2:38 AM,3900 Sansom St,Other Offense,Male cited for public urination,39.9545865,-75.2001238
02/02/17,2:28 AM,200 S 40th St,Other Offense,Male cited for public urination,39.9534235,-75.2032788
05/27/16,12:34 PM,4000 Market St,Other Offense,Male cited for selling cigarettes out of package,39.956945,-75.2021605
2/23/2017,11:08 AM,1 S 40th St,Other Offense,Male cited for city ordinances,39.9571318,-75.2019419
05/27/16,11:32 PM,200 S 40th St,Other Offense,Female wanted on warrant/Arrest,39.9534235,-75.2032788
05/10/16,7:29 AM,3401 Walnut St,Other Offense,Male issued citation for trespassing,39.953173,-75.1928651
05/29/16,6:31 PM,4012 Walnut St,Other Offense,Male cited for having a cutting weapon in public,39.9538571,-75.2032469
05/29/16,6:31 PM,4012 Walnut St,Other Offense,Male cited for having a cutting weapon in public,39.9538571,-75.2032469
06/02/16,2:25 PM,3700 Spruce St,Other Offense,Female wanted on warrant/Arrest,39.9508969,-75.1973016
06/18/16,8:02 PM,3300 Walnut St,Other Offense,Male wanted on warrant/Arrest,39.952335,-75.190465
06/11/16,9:21 AM,4210 Spruce St,Other Offense,Female cited for trespassing,39.951991,-75.207503
07/09/16,4:31 PM,3900 Walnut St,Other Offense,Male wanted for absconding/Arrest,39.9537201,-75.2009514
06/18/16,8:02 PM,3300 Walnut St,Other Offense,Male wanted on warrant/Arrest,39.952335,-75.190465
10/12/16,9:11 PM,3925 Walnut St,Other Offense,Male wanted on warrant/Arrest,39.9542356,-75.2011919
06/25/16,12:28 AM,3400 Spruce St,Other Offense,Complainant harassed by known male,39.9500798,-75.1939906
11/26/16,4:50 PM,3900 Walnut St,Other Offense,Male wanted on warrant/Arrest,39.9537201,-75.2009514
07/02/16,5:22 AM,3733 Spruce St,Other Offense,Male cited for public urination,39.9512686,-75.1978861
12/24/16,4:05 PM,3901 Walnut St,Other Offense,Male wanted on warrant/Arrest,39.954081,-75.20037
07/09/16,4:31 PM,3900 Walnut St,Other Offense,Male wanted for absconding/Arrest,39.9537201,-75.2009514
01/01/17,3:56 PM,4000 Walnut St,Other Offense,Male wanted on warrant/Arrest,39.9540855,-75.202628
07/26/16,12:21 PM,421 Curie Blvd,Other Offense,Unwanted calls received,39.9478702,-75.196834
02/17/17,4:13 PM,3935 Walnut St,Other Offense,Male wanted on warrant/Arrest,39.9543542,-75.2023511
07/26/16,1:39 PM,4000 Market St,Other Offense,Female wanted on warrant/Arrest,39.956945,-75.2021605
02/18/17,7:48 PM,4000 Walnut St,Other Offense,Male wanted on warrant/Arrest,39.9540855,-75.202628
07/27/16,9:31 PM,3549 Chestnut St,Other Offense,Unauthorized male in building/Arrest,39.9547712,-75.1937989
4/18/17,11:57 PM,3800 Walnut St,Other offense,Male wanted on warrant/Arrest,39.9536457,-75.1987871
08/02/16,6:00 PM,3744 Spruce St,Other Offense,Male wanted on warrant/Arrest,39.9510492,-75.1990273
4/27/17,3:23 PM,4000 Walnut St,Other offense,Female wanted on warrant/Arrest,39.9540855,-75.202628
08/04/16,6:05 PM,3948 Market St,Other Offense,Male wanted on warrant/Arrest,39.9567151,-75.2011233
09/03/2016,7:54 AM,3900 Spruce St,Other offense,Male wanted on warrant/Arrest,39.951206,-75.2009658
08/07/16,2:06 AM,3604 Chestnut St,Other Offense,Male wanted to probation violation/Arrest,39.9545349,-75.1948936
09/21/16,6:53 PM,4200 Spruce St,Other offense,Unauthorized male in building/Arrest,39.9519876,-75.2072057
08/13/16,10:27 AM,3549 Chestnut St,Other Offense,Male wanted on warrant/Arrest,39.9547712,-75.1937989
05/13/16,2:27 AM,4000 Spruce St,Other Offense,Male cited for littering,39.9514918,-75.2032097
08/18/16,5:49 PM,3900 Irving St,Other Offense,Unauthorized person in building/Arrest,39.954741,-75.222066
06/02/16,2:25 PM,3700 Spruce St,Other Offense,Female wanted on warrant/Arrest,39.9508969,-75.1973016
08/27/16,7:10 PM,3100 Chestnut St,Other Offense,Male wanted on warrant/Arrest,39.9535408,-75.1853888
06/11/16,9:21 AM,4210 Spruce St,Other Offense,Female cited for trespassing,39.951991,-75.207503
10/05/16,2:22 PM,3450 Woodland Walk,Other Offense,Complainant verbally harassed,39.9525062,-75.1927688
06/25/16,12:28 AM,3400 Spruce St,Other Offense,Complainant harassed by known male,39.9500798,-75.1939906
10/06/16,11:20 PM,3400 Spruce St,Other Offense,Male wanted on warrant/Arrest,39.9500798,-75.1939906
07/02/16,5:22 AM,3733 Spruce St,Other Offense,Male cited for public urination,39.9512686,-75.1978861
10/12/16,9:11 PM,3925 Walnut St,Other Offense,Male wanted on warrant/Arrest,39.9542356,-75.2011919
08/02/16,6:00 PM,3744 Spruce St,Other Offense,Male wanted on warrant/Arrest,39.9510492,-75.1990273
10/13/16,12:32 PM,4133 Chestnut St,Other Offense,Male wanted on warrant/Arrest,39.956309,-75.205718
10/06/16,11:20 PM,3400 Spruce St,Other Offense,Male wanted on warrant/Arrest,39.9500798,-75.1939906
10/20/16,2:07 PM,200 S 40th St,Other Offense,Male wanted on warrant/Arrest,39.9534235,-75.2032788
12/17/16,3:55 PM,3400 Spruce St,Other Offense,Unwanted calls received,39.9500798,-75.1939906
10/20/16,11:41 PM,3700 Locust Walk,Other Offense,Male cited for public urination,39.9520225,-75.1972399
12/27/16,7:31 PM,3400 Spruce St,Other Offense,Unauthorized male in hospital/Arrested,39.9500798,-75.1939906
11/02/16,2:58 PM,4314 Locust St,Other Offense,Male wanted on warrant/Arrest,39.9535024,-75.2096577
01/06/17,5:47 PM,4100 Spruce St,Other Offense,Male wanted on warrant/Arrest,39.951825,-75.205824
11/15/16,5:27 PM,51 N 39th St,Other Offense,Complainant states she was harassed by doctor,39.9582917,-75.1990771
01/25/17,7:28 AM,3400 Spruce St,Other offense,Unauthorized males (2) in building/Arrest,39.9500798,-75.1939906
11/26/16,4:50 PM,3900 Walnut St,Other Offense,Male wanted on warrant/Arrest,39.9537201,-75.2009514
03/24/2017,6:28 PM,3400 Spruce St,Other Offense,Male wanted on probation violation/Arrest,39.9500798,-75.1939906
12/01/16,12:35 PM,200 S 40th St,Other Offense,Male cited for public urination,39.9534235,-75.2032788
03/25/2017,2:07 PM,3417 Spruce St,Other Offense,Male cited for trespass,39.9509138,-75.1938738
12/03/16,10:15 PM,220 S 40th St,Other Offense,Offender punched complainant/Arrest,39.9534914,-75.2029562
08/25/17,2:22 PM,3744 Spruce St,Other offense,Male warned not to return/Citation,39.9510492,-75.1990273
12/13/16,11:55 PM,3900 Sansom St,Other Offense,Male wanted on warrant/Arrest,39.9545865,-75.2001238
09/07/16,11:09 PM,3800 Chestnut St,Other Offense,Male wanted on warrant/Arrest,39.954762,-75.198959
12/17/16,3:55 PM,3400 Spruce St,Other Offense,Unwanted calls received,39.9500798,-75.1939906
09/24/16,11:38 AM,4200 Chestnut St,Other offense,Male wanted on warrant/Arrest,39.9559039,-75.206339
12/18/16,12:34 PM,3400 Sansom St,Other Offense,Male cited for possession of stun gun,39.9535739,-75.1919664
05/07/16,2:06 PM,3800 Chestnut St,Other Offense,Female wanted on probation violation/Arrest,39.954762,-75.198959
12/20/16,12:51 PM,240 S 40th St,Other Offense,Female refusing to leave premise/citation issued,39.9527238,-75.2034259
07/27/16,9:31 PM,3549 Chestnut St,Other Offense,Unauthorized male in building/Arrest,39.9547712,-75.1937989
12/23/16,9:08 PM,4000 Market St,Other Offense,Male wanted on warrant/Arrest,39.956945,-75.2021605
08/07/16,2:06 AM,3604 Chestnut St,Other Offense,Male wanted to probation violation/Arrest,39.9545349,-75.1948936
12/24/16,4:05 PM,3901 Walnut St,Other Offense,Male wanted on warrant/Arrest,39.954081,-75.20037
08/13/16,10:27 AM,3549 Chestnut St,Other Offense,Male wanted on warrant/Arrest,39.9547712,-75.1937989
12/27/16,7:31 PM,3400 Spruce St,Other Offense,Unauthorized male in hospital/Arrested,39.9500798,-75.1939906
08/27/16,7:10 PM,3100 Chestnut St,Other Offense,Male wanted on warrant/Arrest,39.9535408,-75.1853888
01/01/17,3:56 PM,4000 Walnut St,Other Offense,Male wanted on warrant/Arrest,39.9540855,-75.202628
10/13/16,12:32 PM,4133 Chestnut St,Other Offense,Male wanted on warrant/Arrest,39.956309,-75.205718
01/06/17,5:47 PM,4100 Spruce St,Other Offense,Male wanted on warrant/Arrest,39.951825,-75.205824
01/31/17,6:19 PM,4300 Chestnut St,Other Offense,Male wanted on warrant/Arrest,39.9563122,-75.2086614
01/17/17,9:51 AM,51 N 39th St,Other offense,Male wanted on warrant/Arrest,39.9582917,-75.1990771
09/08/16,9:41 PM,3901 Locust Walk,Other Offense,Male wanted on warrant/Arrest,39.953158,-75.2013416
01/17/17,10:12 PM,51 N 39th St,Other offense,Male wanted on warrant/Arrest,39.9582917,-75.1990771
09/14/16,4:22 PM,3600 Locust Walk,Other Offense,Female cited for trespassing,39.951761,-75.196139
01/25/17,7:28 AM,3400 Spruce St,Other offense,Unauthorized males (2) in building/Arrest,39.9500798,-75.1939906
10/20/16,11:41 PM,3700 Locust Walk,Other Offense,Male cited for public urination,39.9520225,-75.1972399
01/31/17,6:19 PM,4300 Chestnut St,Other Offense,Male wanted on warrant/Arrest,39.9563122,-75.2086614
11/02/16,2:58 PM,4314 Locust St,Other Offense,Male wanted on warrant/Arrest,39.9535024,-75.2096577
01/31/17,10:25 PM,200 S 40th St,Other Offense,Male wanted on warrant/Arrest,39.9534235,-75.2032788
4/21/17,4:52 PM,3620 Locust Walt,Other offense,Male in building with authorization/Arrest,39.951814,-75.1961822
02/02/17,2:28 AM,200 S 40th St,Other Offense,Male cited for public urination,39.9534235,-75.2032788
4/22/17,3:37 AM,3800 Locust Walk,Other offense,Citations issued for public urination,39.9519487,-75.1994803
02/14/17,9:40 AM,51 N 39th St,Other Offense,Male wanted on warrant/Arrest,39.9582917,-75.1990771
4/22/17,3:37 AM,3800 Locust Walk,Other offense,Male cited for public urination,39.9519487,-75.1994803
02/17/17,4:13 PM,3935 Walnut St,Other Offense,Male wanted on warrant/Arrest,39.9543542,-75.2023511
4/22/17,3:37 AM,3800 Locust Walk,Other offense,Male cited for open beer container,39.9519487,-75.1994803
02/18/17,7:48 PM,4000 Walnut St,Other Offense,Male wanted on warrant/Arrest,39.9540855,-75.202628
09/23/16,1:18 PM,3737 Market St,Other offense,Complainant threatened by patient,39.9570316,-75.1974976
