date,time,address,offense,description,lat,lng
07/12/16,5:57 PM,101 S 39th St,Theft,Secured bike taken,39.9546307,-75.1996334
09/09/16,1:32 PM,125 S 31st St,Theft,Currency taken from desk drawer,39.9525296,-75.1847465
07/14/16,5:26 PM,102 S 42nd St,Theft,Package tampered with that was delivered,39.9557264,-75.2064731
09/08/16,9:47 AM,209 S 33rd St,Theft,Bike taken,39.95211,-75.1897981
4/18/17,7:58 PM,110 S 36th St,Theft,Merchandise taken without payment/Arrest,39.9543821,-75.1949186
09/15/16,12:11 PM,209 S 33rd St,Theft,Secured bike taken,39.95211,-75.1897981
05/06/17,5:06 PM,110 S 36th St,Theft,Merchandise taken without payment,39.9543821,-75.1949186
4/26/17,8:01 PM,209 S 33rd St,Theft,Secured bike taken,39.95211,-75.1897981
11/08/16,11:38 PM,111 S 38th St,Theft,Secured bike taken,39.954423,-75.1979579
10/14/16,8:56 AM,220 S 33rd St,Theft,Laptop taken,39.9517017,-75.1909636
05/15/16,12:47 PM,119 S 38th St,Theft,Camera taken,39.9543543,-75.1984691
07/16/16,5:27 PM,233 S 33rd St,Theft,Phone taken from locker room,39.9518073,-75.1898622
4/15/2017,2:48 PM,119 S 38th St,Theft,Laptop and backpack taken,39.9543543,-75.1984691
11/10/16,3:58 PM,233 S 33rd St,Theft,Secured bike taken,39.9518073,-75.1898622
09/09/16,1:32 PM,125 S 31st St,Theft,Currency taken from desk drawer,39.9525296,-75.1847465
08/14/16,11:14 PM,210 S 34th St,Theft,Secured bike taken,39.9522363,-75.1926849
4/25/17,10:09 AM,13-19 Ludlow St,Theft,Laptop taken from lobby,39.9504564,-75.1530698
10/09/16,11:49 AM,210 S 34th St,Theft,Secured bike taken/Arrest,39.9522363,-75.1926849
10/28/16,8:20 PM,140 S 36th St,Theft,Currency and property taken from purse,39.9536662,-75.1950422
08/24/17,5:26 PM,210 S 34th St,Theft,Tire taken from bike,39.9522363,-75.1926849
08/03/16,8:03 PM,20 39th St,Theft,Package taken from lobby,39.9560106,-75.2000263
4/11/2017,5:29 PM,231 S 34th St,Theft,Property taken from unsecured locker,39.950738,-75.19219
07/22/16,8:49 PM,20 S 36th St,Theft,Currency taken without payment,39.9553365,-75.1946097
05/07/17,2:30 PM,231 S 34th St,Theft,Front tire and seat removed from bike,39.950738,-75.19219
08/22/17,9:23 AM,20 S 36th St,Theft,Xbox gaming system stolen,39.9553365,-75.1946097
11/23/16,5:07 PM,55 S 34th St,Theft,Hub caps taken from vehicle,39.9547355,-75.1917068
10/27/16,9:37 AM,20 S 40th St,Theft,Tire removed from secured bike,39.9566414,-75.2022345
4/18/17,7:58 PM,110 S 36th St,Theft,Merchandise taken without payment/Arrest,39.9543821,-75.1949186
07/02/16,9:57 AM,200 S 40th St,Theft,Purse and contents taken,39.9534235,-75.2032788
05/06/17,5:06 PM,110 S 36th St,Theft,Merchandise taken without payment,39.9543821,-75.1949186
10/29/16,11:01 AM,200 S 40th St,Theft,Wallet taken from purse,39.9534235,-75.2032788
10/28/16,8:20 PM,140 S 36th St,Theft,Currency and property taken from purse,39.9536662,-75.1950422
02/09/17,3:40 PM,200 S 42nd St,Auto Theft,Vehicle taken from highway,39.9541489,-75.2068047
07/22/16,8:49 PM,20 S 36th St,Theft,Currency taken without payment,39.9553365,-75.1946097
03/25/2017,3:15 PM,201 S 40th St,Theft,"Unsecured wallet taken, charges made on credit card",39.9537945,-75.2024592
08/22/17,9:23 AM,20 S 36th St,Theft,Xbox gaming system stolen,39.9553365,-75.1946097
05/14/16,8:57 AM,205 St Marks Sq,Theft,Secured bike taken,39.9546807,-75.2075525
08/09/16,6:53 PM,255 S 36th St,Theft,Secured bike taken,39.9508653,-75.195022
08/28/16,4:43 AM,207 42nd St,Theft,Secured bike taken,39.953803,-75.2062589
10/04/16,11:25 AM,255 S 36th St,Theft,iPhone and various cards taken,39.9508653,-75.195022
8/30/2016,7:51 PM,208 S 42nd St,Theft,Currency and various items taken,39.9538968,-75.2068848
11/08/16,11:38 PM,111 S 38th St,Theft,Secured bike taken,39.954423,-75.1979579
09/08/16,9:47 AM,209 S 33rd St,Theft,Bike taken,39.95211,-75.1897981
05/15/16,12:47 PM,119 S 38th St,Theft,Camera taken,39.9543543,-75.1984691
09/15/16,12:11 PM,209 S 33rd St,Theft,Secured bike taken,39.95211,-75.1897981
4/15/2017,2:48 PM,119 S 38th St,Theft,Laptop and backpack taken,39.9543543,-75.1984691
4/26/17,8:01 PM,209 S 33rd St,Theft,Secured bike taken,39.95211,-75.1897981
07/12/16,5:57 PM,101 S 39th St,Theft,Secured bike taken,39.9546307,-75.1996334
08/14/16,11:14 PM,210 S 34th St,Theft,Secured bike taken,39.9522363,-75.1926849
08/03/16,8:03 PM,20 39th St,Theft,Package taken from lobby,39.9560106,-75.2000263
10/09/16,11:49 AM,210 S 34th St,Theft,Secured bike taken/Arrest,39.9522363,-75.1926849
05/21/16,10:55 AM,235 S 39th St,Theft,Bike taken from storage room,39.9519604,-75.2003856
08/24/17,5:26 PM,210 S 34th St,Theft,Tire taken from bike,39.9522363,-75.1926849
12/15/16,1:52 PM,235 S 39th St,Theft,Secured bike taken,39.9519604,-75.2003856
01/28/17,8:47 PM,210 S. 40th St,Theft,iPhone taken from handbag,39.9537915,-75.2030239
08/23/17,9:26 AM,235 S 39th St,Theft,Package taken from yard,39.9519604,-75.2003856
01/03/17,7:06 PM,210 St Marks Sq,Theft,UPS boxes found without the contents,39.9546346,-75.2077678
01/19/17,7:27 AM,300 S 39th St,Theft,Bike seat taken,39.9510772,-75.2008206
10/05/16,5:46 PM,212 S 41st St,Theft,Property taken from packages/Arrest,39.953546,-75.205566
05/06/16,8:21 AM,51 N 39th St,Theft,Merchandise taken by unknown person without payment,39.9582917,-75.1990771
11/04/16,10:57 AM,213 41st St,Theft,Secured bike taken,39.9538827,-75.204857
05/06/16,1:45 PM,51 N 39th St,Theft,Backpack and contents taken while unattended,39.9582917,-75.1990771
10/14/16,8:56 AM,220 S 33rd St,Theft,Laptop taken,39.9517017,-75.1909636
05/10/16,4:09 PM,51 N 39th St,Theft,Heart monitor taken,39.9582917,-75.1990771
06/24/16,9:59 AM,220 S 40th St,Theft,iPhone taken,39.9534914,-75.2029562
05/25/16,9:51 AM,51 N 39th St,Theft,Secured laptop taken,39.9582917,-75.1990771
4/11/2017,5:29 PM,231 S 34th St,Theft,Property taken from unsecured locker,39.950738,-75.19219
06/08/16,6:30 PM,51 N 39th St,Theft,Wallet and various items taken,39.9582917,-75.1990771
05/07/17,2:30 PM,231 S 34th St,Theft,Front tire and seat removed from bike,39.950738,-75.19219
07/06/16,2:35 PM,51 N 39th St,Theft,Two knives and currency taken,39.9582917,-75.1990771
06/01/16,3:23 PM,231 S 42nd St,Theft,Male took package from property/Arrest,39.9527634,-75.2063832
07/26/16,12:32 PM,51 N 39th St,Theft,Backpack contianing various items taken,39.9582917,-75.1990771
07/16/16,5:27 PM,233 S 33rd St,Theft,Phone taken from locker room,39.9518073,-75.1898622
07/26/16,1:45 PM,51 N 39th St,Theft,Items taken from locker,39.9582917,-75.1990771
11/10/16,3:58 PM,233 S 33rd St,Theft,Secured bike taken,39.9518073,-75.1898622
08/03/16,1:41 PM,51 N 39th St,Theft,Unsecured purse taken,39.9582917,-75.1990771
05/21/16,10:55 AM,235 S 39th St,Theft,Bike taken from storage room,39.9519604,-75.2003856
08/24/16,1:52 PM,51 N 39th St,Theft,Currency taken,39.9582917,-75.1990771
12/15/16,1:52 PM,235 S 39th St,Theft,Secured bike taken,39.9519604,-75.2003856
08/24/16,2:55 PM,51 N 39th St,Theft,Secured bike taken,39.9582917,-75.1990771
08/23/17,9:26 AM,235 S 39th St,Theft,Package taken from yard,39.9519604,-75.2003856
09/08/16,11:33 AM,51 N 39th St,Theft,Unsecured phone taken,39.9582917,-75.1990771
02/11/17,10:39 PM,237 S 41st St,Theft,Secured bike taken,39.9530151,-75.2050772
09/08/16,3:06 PM,51 N 39th St,Theft,iPad taken from lounge area,39.9582917,-75.1990771
07/26/16,12:38 PM,240 S 40th St,Theft,Currency taken from handbag,39.9527238,-75.2034259
09/28/16,5:32 AM,51 N 39th St,Theft,Wallet taken from purse,39.9582917,-75.1990771
