date,time,address,offense,description,lat,lng
09/07/16,12:35 PM,3409 Walnut St,Traffic,Female wanted for scofflaw/Arrest,39.9531096,-75.1927269
09/21/16,8:05 AM,51 N 39th St,Traffic,Female wanted for scofflaw/Arrest,39.9582917,-75.1990771
09/21/16,8:05 AM,51 N 39th St,Traffic,Female wanted for scofflaw/Arrest,39.9582917,-75.1990771
09/07/16,12:35 PM,3409 Walnut St,Traffic,Female wanted for scofflaw/Arrest,39.9531096,-75.1927269
06/07/16,3:20 PM,4006 Market St,Traffic,Male wanted on warrant/Arrest,39.9569263,-75.2023769
06/29/16,1:55 PM,3600 Walnut St,Traffic,Male wanted on scofflaw/Arrest,39.952441,-75.19681
06/29/16,1:55 PM,3600 Walnut St,Traffic,Male wanted on scofflaw/Arrest,39.952441,-75.19681
06/07/16,3:20 PM,4006 Market St,Traffic,Male wanted on warrant/Arrest,39.9569263,-75.2023769
08/12/16,1:18 PM,3800 Sansom St,Traffic,Male wanted on scofflaw/Arrest,39.954399,-75.1986399
08/12/16,1:18 PM,3800 Sansom St,Traffic,Male wanted on scofflaw/Arrest,39.954399,-75.1986399
10/18/16,12:28 PM,University Blvd & Civic Blvd,Traffic,Male wanted on scofflaw/Arrest,28.597313,-81.2559516
10/18/16,12:28 PM,University Blvd & Civic Blvd,Traffic,Male wanted on scofflaw/Arrest,28.597313,-81.2559516
11/18/16,11:39 AM,Schuylkill Market,Traffic,Male wanted on scofflaw/Arrest,39.9521946,-75.1806532
11/18/16,11:39 AM,Schuylkill Market,Traffic,Male wanted on scofflaw/Arrest,39.9521946,-75.1806532
01/06/17,8:08 AM,4200 Pine St,Traffic,Man wanted on scofflaw/Arrest,39.9508409,-75.2076809
01/06/17,8:08 AM,4200 Pine St,Traffic,Man wanted on scofflaw/Arrest,39.9508409,-75.2076809
