date,time,address,offense,description,lat,lng
09/06/16,3:13 PM,3600 Civic Center Blvd,Vandalism,Complainant's truck keyed,39.9476102,-75.1926512
06/23/16,12:59 PM,125 S 36th St,Vandalism,Golf cart damaged by unknown person,39.953769,-75.1946569
09/14/16,12:05 PM,3401 Grays Ferry,Vandalism,School bus spray painted,39.9415527,-75.2006106
07/20/16,10:31 PM,133 S 36th St,Vandalism,Signs defaced at construction site,39.9533864,-75.1945349
05/10/16,9:10 AM,3600 Spruce St,Vandalism,Male cited for writing on stairway exit of trolley stop,39.9505059,-75.1951919
10/13/16,6:14 AM,200 S 38th St,Vandalism,Unknown person(s) scratched vehicle,39.9536208,-75.1987759
05/13/16,12:16 PM,3600 Chestnut St,Vandalism,Inflatable property damaged by unknown person,39.9543161,-75.1953724
03/24/2017,6:54 PM,300 S 38th St,Vandalism,Window to vehicle broken,39.9512784,-75.1992783
05/17/16,4:59 AM,4000 Locust St,Vandalism,Unknown person scratched vehicle,39.9521895,-75.2035922
12/04/16,6:15 AM,51 N 39th St,Vandalism,Window broken to 3 vehicles,39.9582917,-75.1990771
05/27/16,4:17 PM,100 S 42nd St,Vandalism,Male damaged property with a marker,39.9557707,-75.2064627
08/09/16,1:50 PM,200 S 40th St,Vandalism,Vehicle tires slashed,39.9534235,-75.2032788
06/21/16,6:45 PM,4037 Locust St,Vandalism,Window broken by thrown rock,39.9533372,-75.2043859
11/06/16,12:13 AM,222 S 40th St,Vandalism,Offender damaged glass door,39.9534386,-75.2031055
06/23/16,12:59 PM,125 S 36th St,Vandalism,Golf cart damaged by unknown person,39.953769,-75.1946569
05/27/16,4:17 PM,100 S 42nd St,Vandalism,Male damaged property with a marker,39.9557707,-75.2064627
07/15/16,9:50 AM,3260 South St,Vandalism,Umbrellas broken in garden area,39.9494018,-75.1916007
07/20/16,6:04 PM,3000 Walnut St,Vandalism,Vehicle damaged by unknown male,39.950313,-75.184679
07/20/16,6:04 PM,3000 Walnut St,Vandalism,Vehicle damaged by unknown male,39.950313,-75.184679
10/06/16,7:10 PM,4200 Walnut St,Vandalism,Vehicle damaged by offender,39.954334,-75.206705
07/20/16,10:31 PM,133 S 36th St,Vandalism,Signs defaced at construction site,39.9533864,-75.1945349
10/29/16,7:23 AM,3200 Walnut St,Vandalism,Vehicle windows broken,39.950792,-75.18951
08/09/16,1:50 PM,200 S 40th St,Vandalism,Vehicle tires slashed,39.9534235,-75.2032788
02/18/17,8:29 AM,4001 Walnut St,Vandalism,Male broke window with shopping cart,39.9543603,-75.2028254
10/06/16,7:10 PM,4200 Walnut St,Vandalism,Vehicle damaged by offender,39.954334,-75.206705
4/16/2017,3:03 AM,4000 Walnut St,Vandalism,Passenger side window broken/Arrest,39.9540855,-75.202628
10/13/16,6:14 AM,200 S 38th St,Vandalism,Unknown person(s) scratched vehicle,39.9536208,-75.1987759
05/10/16,9:10 AM,3600 Spruce St,Vandalism,Male cited for writing on stairway exit of trolley stop,39.9505059,-75.1951919
10/29/16,7:23 AM,3200 Walnut St,Vandalism,Vehicle windows broken,39.950792,-75.18951
05/13/16,12:16 PM,3600 Chestnut St,Vandalism,Inflatable property damaged by unknown person,39.9543161,-75.1953724
11/06/16,12:13 AM,222 S 40th St,Vandalism,Offender damaged glass door,39.9534386,-75.2031055
12/02/16,1:30 AM,3700 Market St,Vandalism,Cab window and credit card system damaged,39.956029,-75.196631
12/02/16,1:30 AM,3700 Market St,Vandalism,Cab window and credit card system damaged,39.956029,-75.196631
4/18/17,3:01 PM,3711 Market St,Vandalism,Parking arm broken by unknown male,39.9567795,-75.196739
12/04/16,6:15 AM,51 N 39th St,Vandalism,Window broken to 3 vehicles,39.9582917,-75.1990771
05/17/16,4:59 AM,4000 Locust St,Vandalism,Unknown person scratched vehicle,39.9521895,-75.2035922
12/31/16,2:19 PM,4000 Pine St,Vandalism,Damage to windshield of auto,39.9505219,-75.2042441
06/21/16,6:45 PM,4037 Locust St,Vandalism,Window broken by thrown rock,39.9533372,-75.2043859
02/18/17,8:29 AM,4001 Walnut St,Vandalism,Male broke window with shopping cart,39.9543603,-75.2028254
12/31/16,2:19 PM,4000 Pine St,Vandalism,Damage to windshield of auto,39.9505219,-75.2042441
03/24/2017,6:54 PM,300 S 38th St,Vandalism,Window to vehicle broken,39.9512784,-75.1992783
09/14/16,12:05 PM,3401 Grays Ferry,Vandalism,School bus spray painted,39.9415527,-75.2006106
4/16/2017,3:03 AM,4000 Walnut St,Vandalism,Passenger side window broken/Arrest,39.9540855,-75.202628
09/06/16,3:13 PM,3600 Civic Center Blvd,Vandalism,Complainant's truck keyed,39.9476102,-75.1926512
4/18/17,3:01 PM,3711 Market St,Vandalism,Parking arm broken by unknown male,39.9567795,-75.196739
07/15/16,9:50 AM,3260 South St,Vandalism,Umbrellas broken in garden area,39.9494018,-75.1916007
