Name,Year,Gender Guesser,Genderizer,Confirmed
William Brattle,1692,male,male,male
John Leverett,1692,male,male,male
Increase Mather,1692,unknown,unknown,male
Benjamin Franklin,1753,male,male,male
George Washington,1776,male,unknown,male
John Adams,1781,male,male,male
Thomas Jefferson,1787,male,male,male
Samuel Adams,1792,male,male,male
John Quincy Adams,1822,male,male,male
Washington Irving,1832,unknown,male,male
Andrew Jackson,1833,male,male,male
Alexis Charles Henri de Tocqueville,1852,male,male,male
Henry Wadsworth Longfellow,1859,male,male,male
Ralph Waldo Emerson,1866,male,male,male
Ulysses S. Grant,1872,male,male,male
Booker T. Washington,1896,male,male,male
William Howard Taft,1905,male,male,male
Woodrow Wilson,1907,male,male,male
John Singer Sargent,1916,male,male,male
Herbert Hoover,1917,male,male,male
Theodore Roosevelt,1919,male,male,male
Franklin Delano Roosevelt,1929,male,male,male
Albert Einstein,1935,male,male,male
Robert Frost,1937,male,male,male
Walt Disney,1938,male,male,male
Carl Sandburg,1940,male,male,male
Winston Churchill,1943,male,male,male
Dwight Eisenhower,1946,male,male,male
George Marshall,1947,male,unknown,male
Thornton Wilder,1951,unknown,male,male
Helen Adams Keller,1955,female,female,female
John F. Kennedy,1956,male,male,male
Lady Barbara Jackson,1957,unknown,female,female
Erwin Panofsky,1957,male,male,male
Aaron Copland,1961,male,male,male
Martha Graham,1966,female,female,female
Leonard Bernstein,1967,male,male,male
Mohammad Reza Pahlavi,1968,male,male,male
Saul Bellow,1972,male,male,male
Georgia O’Keeffe,1973,female,female,female
Robert Penn Warren,1973,male,male,male
Mstislav L. Rostropovich,1974,unknown,male,male
Beverly Sills,1974,female,unknown,female
Arthur Fiedler,1976,male,male,male
Barbara Jordan,1977,female,female,female
Eudora Welty,1977,unknown,female,female
John Cheever,1978,male,male,male
Aleksandr Solzhenitsyn,1978,male,male,male
Desmond Tutu,1979,male,male,male
Octavio Paz,1980,male,male,male
Ansel Adams,1981,male,male,male
Leontyne Price,1981,unknown,female,female
Mother Teresa,1982,unknown,unknown,female
Tennessee Williams,1982,unknown,female,male
Carlos Fuentes,1983,male,male,male
Juan Carlos I,1984,male,unknown,male
Benny Goodman,1984,male,male,male
Louise Nevelson,1985,female,female,female
Lord Carrington,1986,unknown,unknown,male
Thomas P. O’Neill Jr.,1987,male,male,male
Jessye Norman,1988,female,female,female
Oscar Arias Sánchez,1988,male,male,male
Benazir Bhutto,1989,unknown,male,female
Toni Morrison,1989,male,unknown,female
Ella Fitzgerald,1990,female,female,female
