William Bolton,1769
Jabez Bowen,1769
James Bryson,1769
William Clarke,1769
John Davis,1769
James Edwards,1769
Morgan Edwards,1769
Caleb Evans,1769
Oliver Hart,1769
David Howell,1769
Robert Strettle Jones,1769
Samuel Jones,1769
Abel Morgan,1769
John Collett Ryland,1769
Hezekiah Smith,1769
Samuel Stillman,1769
John Stites,1769
David Thomas,1769
Joshua Toulmin,1769
Edward Upham,1769
Joseph Wanton,1769
Henry Ward,1769
Benjamin Beddome,1770
William Bowen,1770
Joseph Brown,1770
Isaac Eaton,1770
Abel Evans,1770
Hugh Evans,1770
Samuel James,1770
John Reynolds,1770
Benjamin Wallin,1770
Benjamin West,1770
David Rogerson Williams,1770
Isaac Woodman,1770
Daniel Hitchcock,1771
William Nelson,1771
Francis Pelot,1771
Jonathan Williams,1772
Erasmus Kelly,1772
John Ryland,1772
John Brown,1773
Thomas Eyres,1773
Henry Foster,1773
Benjamin Fuller,1773
William Hextall,1773
John Newton,1773
John Stafford,1773
Joshua Symmonds,1773
Augustus Montague Toplady,1773
John Ash,1774
Joshua Babcock,1774
Abraham Booth,1774
Benjamin Davies,1774
Robert Day,1774
Moses Gregson,1774
Jacob Jennings,1774
James Jennings,1774
David Jones,1774
John Oulton,1774
William Porter,1774
John Poynting,1774
John Pye,1774
Isaac Skillman,1774
Benjamin Stelle,1774
William Tillinghast,1774
William Van Horn,1774
John White,1774
Samuel Wilton,1774
Benjamin Foster,1775
Nathanael Greene,1776
John Parke,1776
Benjamin Bourne,1783
James Mann,1783
Thomas Fitch Oliver,1783
John Rippon,1784
Stephen Hopkins,1784
Burgiss Allison,1786
Enoch Edwards,1786
Benjamin Foster,1786
James Newton,1786
Joseph Thomas,1786
Peter Wilson,1786
Samuel Jones,1786
Granville Sharp,1786
Joel Briggs,1787
Daniel Foster,1787
William Patten,1787
Isaac Senter,1787
Thomas Jefferson,1787
Louis Guillaume Otto,1787
Abel Flint,1788
John Stanford,1788
Joseph Winter,1788
Enos Hitchcock,1788
Samuel Stillman,1788
John Hancock,1788
Caleb Aldrich,1789
Seth Washburn,1789
Caleb Evans,1789
Thomas Andros,1790
David Cobb,1790
Josiah Dana,1790
Samuel Fales,1790
James Freeman,1790
Jonathan Homer,1790
Henry Stuber,1790
Samuel Whelpley,1790
Samuel Deane,1790
Samuel Hopkins,1790
George Washington,1790
Josias Lyndon Arnold,1791
Joseph Holbrook,1791
Apollos Leonard,1791
Samuel Leonard,1791
Joseph Philippe Letombe,1791
Philander Shaw,1792
James Brown,1792
John Crane,1792
Joshua Crosby,1792
Thomas Dunscombe,1792
John Fawcett,1792
Benjamin Francis,1792
John Francis,1792
Richard Furman,1792
John Ryland,1792
Leonard White,1792
Benjamin Foster,1792
John Rippon,1792
Perez Fobes,1792
Alexander Hamilton,1792
Benjamin West,1792
Daniel Dana,1793
James Dore,1793
Samuel Graves,1793
Zephaniah Leonard,1793
Archibald M'Lean,1793
Samuel Pearce,1793
William Richards,1793
John Sutcliff,1793
Nicholas Tillinghast,1793
David Howell,1793
Morgan Jones,1793
Joseph Priestley,1793
Thomas Baldwin,1794
John Thornton Kirkland,1794
John Usher,1794
Thomas Barnard,1794
John Jay,1794
John Coakley Lettsom,1794
Andrew Beattie,1795
Thomas Dunn,1795
Eliphalet Nott,1795
Isaac Tompkins,1795
John Prince,1795
James Bicheno,1796
Lawrence Butterworth,1796
