William Brattle,1692
John Leverett,1692
Increase Mather,1692
Benjamin Franklin,1753
George Washington,1776
John Adams,1781
Thomas Jefferson,1787
Samuel Adams,1792
John Quincy Adams,1822
Washington Irving,1832
Andrew Jackson,1833
Alexis Charles Henri de Tocqueville,1852
Henry Wadsworth Longfellow,1859
Ralph Waldo Emerson,1866
Ulysses S. Grant,1872
Booker T. Washington,1896
William Howard Taft,1905
Woodrow Wilson,1907
John Singer Sargent,1916
Herbert Hoover,1917
Theodore Roosevelt,1919
Franklin Delano Roosevelt,1929
Albert Einstein,1935
Robert Frost,1937
Walt Disney,1938
Carl Sandburg,1940
Winston Churchill,1943
Dwight Eisenhower,1946
George Marshall,1947
Thornton Wilder,1951
Helen Adams Keller,1955
John F. Kennedy,1956
Lady Barbara Jackson,1957
Erwin Panofsky,1957
Aaron Copland,1961
Martha Graham,1966
Leonard Bernstein,1967
Mohammad Reza Pahlavi,1968
Saul Bellow,1972
Georgia O’Keeffe,1973
Robert Penn Warren,1973
Mstislav L. Rostropovich,1974
Beverly Sills,1974
Arthur Fiedler,1976
Barbara Jordan,1977
Eudora Welty,1977
John Cheever,1978
Aleksandr Solzhenitsyn,1978
Desmond Tutu,1979
Octavio Paz,1980
Ansel Adams,1981
Leontyne Price,1981
Mother Teresa,1982
Tennessee Williams,1982
Carlos Fuentes,1983
Juan Carlos I,1984
Benny Goodman,1984
Louise Nevelson,1985
Lord Carrington,1986
Thomas P. O’Neill Jr.,1987
Jessye Norman,1988
Oscar Arias Sánchez,1988
Benazir Bhutto,1989
Toni Morrison,1989
Ella Fitzgerald,1990
Stephen W. Hawking,1990
Helmut Kohl,1990
Michael Kimbrough Marshall,1990
Adrienne Rich,1990
David Riesman,1990
Herbert A. Simon,1990
Georges Duby,1991
Marian Wright Edelman,1991
Ada Louise Huxtable,1991
Francois Jacob,1991
Gustav Leonhardt,1991
Yo-Yo Ma,1991
Frederick Mosteller,1991
Eduard Shevardnadze,1991
Andrei Sinyavsky,1991
Robert Adams Jr.,1992
Daniel Bell,1992
Baruj Benacerraf,1992
Derek Bok,1992
Gro Harlem Brundtland,1992
Dominique de Menil,1992
Robert Solow,1992
Joan Steitz,1992
Isaac Stern,1992
Edward Stone,1992
John Updike,1992
Clifton Wharton Jr.,1992
Torsten Wiesel,1992
Daniel Boorstin,1993
James E. Burke,1993
Julia Child,1993
W. Edwards Deming,1993
Shmuel Eisenstadt,1993
Albert Eschenmoser,1993
Oscar Handlin,1993
Nannerl Keohane,1993
Deborah Meier,1993
Christine Nusslein-Volhard,1993
Colin L. Powell,1993
Ravi Shankar,1993
Susan Sontag,1993
Wole Soyinka,1993
Harry A. Blackmun,1994
Bennett Carter,1994
Albert Gore Jr.,1994
William H. Gray III,1994
Mason Hammond,1994
Richard C. Levin,1994
Sadako Ogata,1994
Maxine F. Singer,1994
James Q. Wilson,1994
Helene Ahrweiler,1995
Alfred D. Chandler Jr.,1995
Mildred Dresselhaus,1995
Hanna H. Gray,1995
Vaclav Havel,1995
Jacob Lawrence,1995
Doris Lessing,1995
I. M. Pei,1995
James Tobin,1995
John C. Whitehead,1995
Chinua Achebe,1996
Harold Amos,1996
Walter H. Annenberg,1996
William T. Coleman Jr.,1996
Natalie Davis,1996
Francois Furet,1996
Judith Jamison,1996
Maya Lin,1996
Oseola McCarty,1996
Charles P. Slichter,1996
Edward Abraham,1997
Madeleine Albright,1997
Jerome Bruner,1997
Henry Chadwick,1997
William Forge,1997
Quincy D. Jones Jr.,1997
Arthur Miller,1997
W. Jason Morgan,1997
Janet L. Norwood,1997
John Rawls,1997
Emily Vermeule,1997
Samuel H. Beer,1998
Robert A. Dahl,1998
Gertrude B. Elion,1998
Seamus Heaney,1998
John H. Johnson,1998
Nelson Mandela,1998
Jaroslav Pelikan,1998
Mary Robinson,1998
Henry Rosovsky,1998
Jean-Pierre Serre,1998
Kenneth Arrow,1999
Bernard Bailyn,1999
Herbert Block (Herblock),1999
Julia Kristeva,1999
Mario Vargas Llosa,1999
Nicolaas Bloembergen,2000
Noam Chomsky,2000
Frank O. Gehry,2000
Andrew S. Grove,2000
Judith R. Hope,2000
Katherine B. Loker,2000
