Theophilus Grew,1757
Paul Jackson,1757
Ebenezer Kinnersley,1757
Hector Alison,1759
John Ewing,1759
Thomas Barton,1760
Samuel Cooke,1760
Samuel Davies,1760
Robert Mckean,1760
Philip Reading,1760
Samson Smith,1760
Matthew Wilson,1760
Isaac Eaton,1761
Samuel Stillman,1761
Morgan Edwards,1762
Thomas Pollock,1762
John Simonton,1762
Isaac Smith,1762
Thomas Mckean,1763
John Miller,1763
John Rodgers,1763
Joseph Reed,1766
James Wilson,1766
David Rittenhouse,1767
John Parke,1771
John Simonton,1771
William Rogers,1773
John Parke,1775
James Ross,1775
James Davidson,1780
Justus Christian Henry Helmuth,1780
John Christopher Kunze,1780
William Marshall,1780
Henry Ernst Muhlenberg,1780
Thomas Paine,1780
Caspar Dietrich Weiberg,1780
William Barton,1781
William Bradford Jr.,1781
Patrick Alison,1782
François BarbÊ-Marbois,1782
Marie Bernard Borgella,1782
François Jean de Beauvoir Chevalier de Chastellux,1782
Jean François Coste,1782
Peter Stephen Duponceau,1782
Andrew Gregg,1782
Fiacre Robilliard,1782
Elihu Spencer,1782
Samuel Sterret,1782
William White,1782
John Christopher Kunze,1783
Samuel Magaw,1783
George Washington,1783
Robert Davidson,1784
Henry Melchior Muhlenberg,1784
Charles Thomson,1784
Justus Christian Henry Helmuth,1785
James Madison,1785
James Manning,1785
Thomas Mckean,1785
David Griffith,1786
Samuel Provoost,1786
Matthew Wilson,1786
Benjamin Smith Barton,1787
Marie Joseph Paul Yves Roch Gilbert du Motier Marquis de Lafayette,1787
Hugh Williamson,1787
Robert Blackwell,1788
Nicholas Collin,1788
Samuel Jones,1788
Robert Patterson,1788
Edward Bass,1789
David Johnson,1789
Samuel Kerr,1789
Samuel Parker,1789
Philip Reinhold Pauli,1789
Robert Smith,1789
Robert Annan,1790
Joseph Grove John Bend,1790
Samuel Blair,1790
Lawrence Girelius,1790
Francis Hopkinson,1790
Joseph Hutchins,1790
Vicesimus Knox,1790
William Rogers,1790
John Frederick Schmidt,1790
Edward Shippen,1790
James Wilson,1790
Ashbel Green,1791
Isaac Stockton Keith,1791
George Ralph,1795
Cunningham Semple Ramsay,1797
James Latta,1799
John Stuart,1799
John Blair Linn,1803
John Mitchell Mason,1804
Samuel Miller,1804
James Gray,1805
Philip Milledoler,1805
John Mcdowell,1807
Joseph Pilmore,1807
James G. Thomson,1807
William Tilghman,1807
Henry Waddell,1807
James Patriot Wilson,1807
Benjamin Contee,1808
Jeremiah Atwater,1811
Nathaniel Bowen,1813
John Sylvester John Gardner,1813
Frederick David Schaeffer,1813
Frederic Beasley,1815
Rufus King,1815
John Marshall,1815
Bushrod Washington,1815
John Daniel Kurtz,1816
Christian Frederick Lewis Endress,1819
William Gaston,1819
Samuel Farmar Jarvis,1819
James Milnor,1819
Robert Patterson,1819
Charles Smith,1819
James Kent,1820
Ambrose Spencer,1820
Daniel Stephens,1820
Bird Wilson,1821
Philip Frederic Mayer,1823
Eugenius Nulty,1823
John Churchill Rudd,1823
Henry Augustus Muhlenberg,1824
Joseph Spencer,1824
William Vincent Harold,1825
John George Schmucker,1825
Frederick William Geissenhainer,1826
John Gummere,1826
Patrick Torry,1826
Richard Peters Jr.,1827
John Spence,1828
John Cooper,1829
Eleazer Thompson Fitch,1829
Joseph Roberts,1829
Charles Sawkins Williams,1829
James Horner,1830
Richard Sharp Mason,1830
William Cooper Mead,1830
Joseph Spencer,1831
Joseph B. Ard,1832
Samuel Wylie Crawford,1832
Charles Rudolph DemmÉ,1832
John Peter Hecht,1832
Samuel Lewis Southard,1832
Edward Henry Courtenay,1834
Henry Darwin Rogers,1834
William Edward Wyatt,1836
Alexander Dallas Bache,1837
Henry William Ducachet,1837
Charles Philip Krauth,1837
Samuel Allen Mccoskry,1837
George Washington Bethune,1838
Christian Frederic CrusÊ,1838
William Radcliffe Dewitt,1838
Benjamin Dorr,1838
John Banister Gibson,1838
Henry Michael Mason,1838
George Boyd,1839
Jacob Miller,1839
Jehu Curtis Clay,1840
George Duffield,1840
Thomas Hartwell Horne,1840
John David Ogilby,1843
Martin Hans BoyÉ,1844
John Chapman Cresson,1844
Henry Jackson Morton,1844
Joseph Saxton,1844
John Penington,1845
William Mercer Green,1848
John Mcclintock Jr.,1848
William Bacon Stevens,1848
James Patriot Wilson,1848
Daniel Kirkwood,1852
William Henry Odenheimer,1856
Edwin Augustine Dalrymple,1857
Abram Newkirk Littlejohn,1858
Divie Bethune Mccartee,1858
James Lloyd Breck,1860
John Wylie Faires,1861
Abraham Rynier Van Nest Jr.,1861
Theophilus Adam Wylie,1861
Henry Eglinton Montgomery,1863
Richard Mason Abercrombie,1865
Samuel Cox Jr.,1865
Edwards Hedges,1865
Gottlob Frederick Krotel,1865
Henry CoppÉE,1866
Jacob Isidor Mombert,1866
Samuel Wylie Crawford Jr.,1867
George Allen,1868
Frederick Williamson Beasley,1868
James Wilkinson Dale,1868
Daniel Raynes Goodwin,1868
John Innes Clark Hare,1868
Henry Charles Lea,1868
John Wanner Loch,1868
Thomas Coffin Yarnall,1868
John Nesbit Conyngham,1869
Benjamin Wistar Morris,1869
Joseph Allison,1870
Frederick Carroll Brewster,1870
John Cadwalader,1870
James Ryley Ludlow,1870
Beale Melancthon Schmucker,1870
Charles Augustus Young,1870
Theodore Appel,1871
Lucius Barrows,1871
Thomas Frederick Davies,1871
Edward Abram Foggo,1871
Henry Erskine Duncan,1872
William Phillips Lewis,1872
Joseph Thomas,1872
George Emlen Hare,1873
William Kimbrough Pendleton,1873
Thomas Augustus Jagger,1874
John Agnew Crawford,1875
Claudius Henry Mastin,1875
Thomas Webb Richards,1875
Philip Friedrich Adolph Theodor Spaeth,1875
John William Wallace,1875
Samuel Stehman Haldeman,1876
Mark Antony de Wolfe Howe,1876
Charles George Currie,1877
Morton Mcmichael,1877
Hermann Joseph Schwarzmann,1877
Joseph Miller Wilson,1877
John Welsh,1878
Redmond Barry,1879
Horace Howard Furness,1879
Charles William Schaeffer,1879
Frederick Fraley,1880
Robert Alexander Lamberton,1880
James Abram Garfield,1881
Henry Martyn Hoyt,1881
George Washington Biddle,1882
Eli Kirk Price,1882
William Henry Rawle,1882
George Leib Harrison,1883
Isaac Sharpless,1883
William Wackernagel,1883
Henry Hartshorne,1884
Samuel David Gross,1884
Justin Smith Morrill,1884
Phineas Pemberton Morris,1884
Charles François Bonaventure Miel,1885
Hugh Archibald Clarke,1886
Joseph Parsons Comegys,1886
John Andrews Harris,1886
William Henry Klapp,1886
Joseph Dodgson Newlin,1886
Samuel Powel Jr.,1886
Patrick John Ryan,1886
Theodore Lorenzo Seip,1886
George Pomeroy Allen,1887
Edward Totterson Bartlett,1887
Ferdinand Vandevere Hayden,1887
Samuel D. Mcconnell,1887
Sabato Morais,1887
John Adam Ryder,1887
Robert Ellis Thompson,1887
David Hayes Agnew,1888
George Stuart Chambers,1888
Ezra Otis Kendall,1888
John Kemper Murphy,1888
George Dana Boardman,1889
George Davidson,1889
Cyrus David Foss,1889
John Foster Kirk,1889
Alfred StillÊ,1889
Seth Low,1890
William Wilberforce Newton,1890
David Burt Wilson,1890
Richard Green Moulton,1891
Robert Hamill Nassau,1891
Talcott Williams,1891
Jacob Mandes Dacosta,1892
William Wallace Gilchrist,1892
Richard Coxe Mcmurtrie,1892
François Amédée BrÉGy Jr.,1893
Daniel Garrison Brinton,1893
Hamilton Andrews Hill,1893
Isaac Jones Wistar,1893
Hamdy Bey,1894
John Fiske,1894
Casper René Gregory,1894
William Torrey Harris,1894
Alexander Harrison,1894
William Alexander Lamberton,1894
John Bach Mcmaster,1894
Charles Beylard Nancrede,1894
Robert Emory Pattison,1894
William Pepper,1894
George Tybout Purves,1894
Frederic Ward Putnam,1894
Sara Yorke Stevenson,1894
William Henry Welch,1894
William Ely,1895
John Henry Haynes,1895
Herman Volrath Hilprecht,1895
Merrill W. Hollingsworth,1895
John Punnett Peters,1895
Frederick Dawson Stone,1895
Joseph Brevitt Townsend,1895
Talcott Williams,1895
