Year,Percent Female,Percent Male
1757,0.0,1.0
1759,0.0,1.0
1760,0.0,1.0
1761,0.0,1.0
1762,0.0,1.0
1763,0.0,1.0
1766,0.0,1.0
1767,0.0,1.0
1771,0.0,1.0
1775,0.0,1.0
1780,0.0,1.0
1781,0.0,1.0
1782,0.0,1.0
1783,0.0,1.0
1784,0.0,1.0
1785,0.0,1.0
1786,0.0,1.0
1787,0.0,1.0
1788,0.0,1.0
1789,0.0,1.0
1790,0.0,1.0
1791,0.0,1.0
1795,0.0,1.0
1797,0.0,1.0
1799,0.0,1.0
1803,0.0,1.0
1804,0.0,1.0
1805,0.0,1.0
1807,0.0,1.0
1808,0.0,1.0
1811,0.0,1.0
1813,0.0,1.0
1815,0.0,1.0
1816,0.0,1.0
1819,0.0,1.0
1820,0.0,1.0
1821,0.0,1.0
1823,0.0,1.0
1824,0.0,1.0
1825,0.0,1.0
1826,0.0,1.0
1827,0.0,1.0
1828,0.0,1.0
1829,0.0,1.0
1830,0.0,1.0
1831,0.0,1.0
1832,0.0,1.0
1834,0.0,1.0
1836,0.0,1.0
1837,0.0,1.0
1838,0.0,1.0
1839,0.0,1.0
1840,0.0,1.0
1843,0.0,1.0
1844,0.0,1.0
1845,0.0,1.0
1848,0.0,1.0
1852,0.0,1.0
1856,0.0,1.0
1857,0.0,1.0
1858,0.0,1.0
1860,0.0,1.0
1861,0.0,1.0
1863,0.0,1.0
1865,0.0,1.0
1866,0.0,1.0
1867,0.0,1.0
1868,0.0,1.0
1869,0.0,1.0
1870,0.0,1.0
1871,0.0,1.0
1872,0.0,1.0
1873,0.0,1.0
1874,0.0,1.0
1875,0.0,1.0
1876,0.0,1.0
1877,0.0,1.0
1878,0.0,1.0
1879,0.0,1.0
1880,0.0,1.0
1881,0.0,1.0
1882,0.0,1.0
1883,0.0,1.0
1884,0.0,1.0
1885,0.0,1.0
1886,0.0,1.0
1887,0.0,1.0
1888,0.0,1.0
1889,0.0,1.0
1890,0.0,1.0
1891,0.0,1.0
1892,0.0,1.0
1893,0.0,1.0
1894,0.07692307692307693,0.9230769230769231
1895,0.0,1.0
1896,0.0,1.0
1897,0.0,1.0
1898,0.25,0.75
1899,0.0,1.0
1900,0.0,1.0
1901,0.0,1.0
1902,0.07142857142857142,0.9285714285714286
1903,0.0,1.0
1904,0.0,1.0
1905,0.0,1.0
1906,0.0,1.0
1907,0.0,1.0
1908,0.125,0.875
1909,0.0,1.0
1910,0.0,1.0
1911,0.0,1.0
1912,0.0,1.0
1913,0.0,1.0
1914,0.0,1.0
1915,0.0,1.0
1916,0.125,0.875
1917,0.0,1.0
1918,0.0,1.0
1919,0.0,1.0
1920,0.0,1.0
1921,0.08333333333333333,0.9166666666666666
1922,0.0,1.0
1923,0.0,1.0
1924,0.04,0.96
1925,0.0,1.0
1926,0.0,1.0
1927,0.0,1.0
1928,0.0,1.0
1929,0.0,1.0
1930,0.0,1.0
1931,0.1,0.9
1932,0.07142857142857142,0.9285714285714286
1933,0.05555555555555555,0.9444444444444444
1934,0.1111111111111111,0.8888888888888888
1935,0.07142857142857142,0.9285714285714286
1936,0.0,1.0
1937,0.14285714285714285,0.8571428571428571
1938,0.07142857142857142,0.9285714285714286
1939,0.07692307692307693,0.9230769230769231
1940,0.03508771929824561,0.9649122807017544
1941,0.14285714285714285,0.8571428571428571
1942,0.07142857142857142,0.9285714285714286
1943,0.14285714285714285,0.8571428571428571
1944,0.0,1.0
1945,0.13333333333333333,0.8666666666666667
1946,0.0,1.0
1947,0.0,1.0
1948,0.1,0.9
1949,0.0,1.0
1950,0.125,0.875
1951,0.09090909090909091,0.9090909090909091
1952,0.0,1.0
1953,0.125,0.875
1954,0.0,1.0
1955,0.2222222222222222,0.7777777777777778
1956,0.07142857142857142,0.9285714285714286
1957,0.058823529411764705,0.9411764705882353
1958,0.0,1.0
1959,0.2,0.8
1960,0.0,1.0
1961,0.0,1.0
1962,0.0,1.0
1963,0.0,1.0
1964,0.15384615384615385,0.8461538461538461
1965,0.0,1.0
1966,0.0,1.0
1967,0.09090909090909091,0.9090909090909091
1968,0.0,1.0
1969,0.1111111111111111,0.8888888888888888
1970,0.125,0.875
1971,0.07692307692307693,0.9230769230769231
1972,0.18181818181818182,0.8181818181818182
1973,0.14285714285714285,0.8571428571428571
1974,0.16666666666666666,0.8333333333333334
1975,0.14285714285714285,0.8571428571428571
1976,0.0975609756097561,0.9024390243902439
1977,0.2857142857142857,0.7142857142857143
1978,0.06666666666666667,0.9333333333333333
1979,0.25,0.75
1980,0.1111111111111111,0.8888888888888888
1981,0.2,0.8
1982,0.08333333333333333,0.9166666666666666
1983,0.2,0.8
1984,0.19230769230769232,0.8076923076923077
1985,0.36363636363636365,0.6363636363636364
1986,0.16666666666666666,0.8333333333333334
1987,0.25,0.75
1988,0.3333333333333333,0.6666666666666666
1989,0.4,0.6
1990,0.26666666666666666,0.7333333333333333
1991,0.25,0.75
1992,0.2,0.8
1993,0.5,0.5
1994,0.5714285714285714,0.42857142857142855
1995,0.14285714285714285,0.8571428571428571
1996,0.25,0.75
1997,0.25,0.75
1998,0.14285714285714285,0.8571428571428571
1999,0.5,0.5
2000,0.16666666666666666,0.8333333333333334
