Name,Gender Guesser,Genderizer,Final
Isabel Allende,female,female,female
Cory A. Booker,mostly_male,unknown,male
Clara Franzini-Armstrong,female,female,female
Terry Gross,mostly_male,unknown,female
Ada Sue Hinshaw,female,female,female
Robert Parris Moses,male,male,male
Paul Muldoon,male,male,male
Hawa Abdi,female,female,female
Elizabeth E. Bailey,female,female,female
David Brooks,male,male,male
Renée Fleming,unknown,female,female
Sylvester James Gates Jr.,male,male,male
Asma Jahangir,female,female,female
Eric R. Kandel,male,male,male
Lin-Manuel Miranda,unknown,unknown,male
Arthur K. Asbury,male,male,male
Lee C. Bollinger,mostly_male,unknown,male
Joan Myers Brown,female,unknown,female
Rita Moreno,female,female,female
Ellen Ochoa,female,unknown,female
Samantha Power,female,female,female
Cass R. Sunstein,mostly_male,unknown,male
Eugenio Calabi,male,male,male
Johnnetta Betsch Cole,unknown,unknown,female
Edna Adan Ismail,female,female,female
John Legend,male,male,male
Raymond G. Perelman,male,male,male
Olympia Snowe,female,female,female
George A. Weiss,male,unknown,male
Kwame Anthony Appiah,unknown,male,male
Joseph R. Biden Jr.,male,male,male
Ursula Burns,female,female,female
Ngozi Okonjo-Iweala,unknown,male,female
Samuel H. Preston,male,male,male
Ellen Mosley-Thompson,female,unknown,female
Lonnie G. Thompson,mostly_male,unknown,male
James Edward West,male,male,male
Ruzena Bajcsy,unknown,unknown,female
Geoffrey Canada,male,male,male
Akira Endo,mostly_male,unknown,male
Peter D. Lax,male,male,male
John R. Lewis,male,male,male
David H. Petraeus,male,male,male
Anna Deavere Smith,female,female,female
Renée C. Fox,unknown,female,female
Mo Ibrahim,mostly_male,unknown,male
Nicholas Kristof,male,male,male
Sheryl Wudunn,female,female,female
Ei-ichi Negishi,unknown,unknown,male
Joyce Carol Oates,female,unknown,female
Denzel Washington,male,male,male
Sandra Faber,female,female,female
Paul Farmer,male,male,male
Jon M. Huntsman Jr.,male,male,male
Risa J. Lavizzo-Mourey,female,female,female
Greg Mortenson,male,male,male
Peter C. Nowell,male,male,male
James S. Riepe,male,male,male
Yvon Chouinard,male,unknown,male
George H. Crumb,male,unknown,male
Jennifer Yvonne Mokgoro,female,female,female
Eric E. Schmidt,male,male,male
Susan Solomon,female,female,female
Muhammad Yunus,male,male,male
Michael Bloomberg,male,male,male
Paquito D'Rivera,unknown,unknown,male
Drew Gilpin Faust,male,unknown,female
Lila Gleitman,female,female,female
Bert W. O'Malley,male,male,male
Cyril Ramaphosa,male,male,male
Neil deGrasse Tyson,male,male,male
James A. Baker Iii,male,male,male
Aaron Temkin Beck,male,male,male
Caroline W. Bynum,female,female,female
Mildred Dresselhaus,female,female,female
Aretha Franklin,female,female,female
Shirley Franklin,female,unknown,female
Ruth Bader Ginsburg,female,female,female
Jodie Foster,female,female,female
Henry Louis Gates Jr.,male,male,male
Shirley Ann Jackson,female,unknown,female
Lawrence Klein,male,male,male
Judith Pollock Klinman,female,female,female
Steve Wynn (stricken),male,male,male
Kofi Annan,male,male,male
Quincy Jones,male,male,male
Saul Kripke,male,male,male
Ralph Roberts,male,male,male
Judy Woodruff,female,female,female
Nancy Fugate Woods,female,female,female
Bono,male,male,male
Elizabeth Blackburn,female,female,female
Lee Friedlander,mostly_male,unknown,male
Jaroslav Pelikan,male,male,male
Max Roach,male,unknown,male
Judith Rodin,female,female,female
Stephen Breyer,male,male,male
Herbert J. Gans,male,male,male
Sadako Ogata,unknown,unknown,female
Mamphela Aletta Ramphele,unknown,unknown,female
Philip Roth,male,male,male
Desmond Tutu,male,male,male
Joan Ganz Cooney,female,unknown,female
Eric Hobsbawm,male,male,male
Irwin Jacobs,male,male,male
Jim Lehrer,male,male,male
Richard Smalley,male,male,male
Peter C. Doherty,male,male,male
Andrés M. Duany,unknown,male,male
Elizabeth Plater-Zyberk,female,female,female
Daniel Kahneman,male,male,male
John S. McCain,male,male,male
Ruth J. Simmons,female,female,female
John N. Bahcall,male,male,male
Mary Douglas,mostly_female,unknown,female
Ronald Dworkin,male,male,male
Seamus Heaney,male,male,male
Wynton Marsalis,unknown,unknown,male
Edward G. Rendell,male,male,male
Isabella Lugoski Karle,female,female,female
Billie Jean King,mostly_female,unknown,female
Gerda Lerner,female,female,female
Robert E. Rubin,male,male,male
Earl Reece Stadtman,male,male,male
P. Roy Vagelos,unknown,unknown,male
Arlin M. Adams,male,male,male
Jimmy Carter,male,male,male
Francis S. Collins,male,unknown,male
Frank Moore Cross,male,male,male
