Name,Year,Gender Guesser,Genderizer,Confirmed
Ebenezer Kinnersley,1757,male,male,male
Paul Jackson,1757,male,male,male
Theophilus Grew,1757,male,male,male
John Ewing,1759,male,male,male
Hector Alison,1759,male,male,male
Matthew Wilson,1786,male,male,male
Samson Smith,1760,male,male,male
Philip Reading,1760,male,male,male
Robert Mckean,1760,male,male,male
Samuel Davies,1760,male,male,male
Samuel Cooke,1760,male,male,male
Thomas Barton,1760,male,male,male
Samuel Stillman,1761,male,male,male
Isaac Eaton,1761,male,male,male
Isaac Smith,1762,male,male,male
John Simonton,1771,male,male,male
Thomas Pollock,1762,male,male,male
Morgan Edwards,1762,mostly_male,unknown,male
John Rodgers,1763,male,male,male
John Miller,1763,male,male,male
Thomas Mckean,1785,male,male,male
James Wilson,1790,male,male,male
Joseph Reed,1766,male,male,male
David Rittenhouse,1767,male,male,male
John Simonton,1771,male,male,male
John Parke,1775,male,male,male
William Rogers,1790,male,male,male
James Ross,1775,male,male,male
John Parke,1775,male,male,male
Caspar Dietrich Weiberg,1780,male,male,male
Thomas Paine,1780,male,male,male
Henry Ernst Muhlenberg,1780,male,male,male
William Marshall,1780,male,male,male
John Christopher Kunze,1783,male,male,male
Justus Christian Henry Helmuth,1785,male,male,male
James Davidson,1780,male,male,male
William Bradford Jr.,1781,male,male,male
William Barton,1781,male,male,male
William White,1782,male,male,male
Samuel Sterret,1782,male,male,male
Elihu Spencer,1782,male,male,male
Fiacre Robilliard,1782,mostly_male,unknown,male
Andrew Gregg,1782,male,male,male
Peter Stephen Duponceau,1782,male,male,male
Jean François Coste,1782,male,unknown,male
François Jean de Beauvoir Chevalier de Chastellux,1782,unknown,male,male
Marie Bernard Borgella,1782,female,unknown,male
François BarbÊ-Marbois,1782,unknown,male,male
Patrick Alison,1782,male,male,male
George Washington,1783,male,unknown,unknown
Samuel Magaw,1783,male,male,male
John Christopher Kunze,1783,male,male,male
Charles Thomson,1784,male,male,male
Henry Melchior Muhlenberg,1784,male,male,male
Robert Davidson,1784,male,male,male
Thomas Mckean,1785,male,male,male
James Manning,1785,male,male,male
James Madison,1785,male,male,male
Justus Christian Henry Helmuth,1785,male,male,male
Matthew Wilson,1786,male,male,male
Samuel Provoost,1786,male,male,male
David Griffith,1786,male,male,male
Hugh Williamson,1787,male,male,male
Marie Joseph Paul Yves Roch Gilbert du Motier Marquis de Lafayette,1787,female,unknown,male
Benjamin Smith Barton,1787,male,male,male
Robert Patterson,1819,male,male,male
Samuel Jones,1788,male,male,male
Nicholas Collin,1788,male,male,male
Robert Blackwell,1788,male,male,male
Robert Smith,1789,male,male,male
Philip Reinhold Pauli,1789,male,male,male
Samuel Parker,1789,male,male,male
Samuel Kerr,1789,male,male,male
David Johnson,1789,male,male,male
Edward Bass,1789,male,male,male
James Wilson,1790,male,male,male
Edward Shippen,1790,male,male,male
John Frederick Schmidt,1790,male,male,male
William Rogers,1790,male,male,male
Vicesimus Knox,1790,unknown,unknown,male
Joseph Hutchins,1790,male,male,male
Francis Hopkinson,1790,male,unknown,male
Lawrence Girelius,1790,male,male,male
Samuel Blair,1790,male,male,male
Joseph Grove John Bend,1790,male,male,male
Robert Annan,1790,male,male,male
Isaac Stockton Keith,1791,male,male,male
Ashbel Green,1791,unknown,unknown,male
George Ralph,1795,male,unknown,male
Cunningham Semple Ramsay,1797,male,male,male
John Stuart,1799,male,male,male
James Latta,1799,male,male,male
John Blair Linn,1803,male,male,male
Samuel Miller,1804,male,male,male
John Mitchell Mason,1804,male,male,male
Philip Milledoler,1805,male,male,male
James Gray,1805,male,male,male
James Patriot Wilson,1848,male,male,male
Henry Waddell,1807,male,male,male
William Tilghman,1807,male,male,male
James G. Thomson,1807,male,male,male
Joseph Pilmore,1807,male,male,male
John Mcdowell,1807,male,male,male
Benjamin Contee,1808,male,male,male
Jeremiah Atwater,1811,male,male,male
Frederick David Schaeffer,1813,male,male,male
John Sylvester John Gardner,1813,male,male,male
Nathaniel Bowen,1813,male,male,male
Bushrod Washington,1815,unknown,unknown,male
John Marshall,1815,male,male,male
Rufus King,1815,male,male,male
Frederic Beasley,1815,male,male,male
John Daniel Kurtz,1816,male,male,male
Charles Smith,1819,male,male,male
Robert Patterson,1819,male,male,male
James Milnor,1819,male,male,male
Samuel Farmar Jarvis,1819,male,male,male
William Gaston,1819,male,male,male
Christian Frederick Lewis Endress,1819,male,unknown,male
Daniel Stephens,1820,male,male,male
Ambrose Spencer,1820,male,male,male
James Kent,1820,male,male,male
Bird Wilson,1821,unknown,female,male
John Churchill Rudd,1823,male,male,male
Eugenius Nulty,1823,male,male,male
Philip Frederic Mayer,1823,male,male,male
Joseph Spencer,1831,male,male,male
Henry Augustus Muhlenberg,1824,male,male,male
John George Schmucker,1825,male,male,male
William Vincent Harold,1825,male,male,male
Patrick Torry,1826,male,male,male
John Gummere,1826,male,male,male
Frederick William Geissenhainer,1826,male,male,male
Richard Peters Jr.,1827,male,male,male
John Spence,1828,male,male,male
Charles Sawkins Williams,1829,male,male,male
Joseph Roberts,1829,male,male,male
Eleazer Thompson Fitch,1829,unknown,unknown,male
John Cooper,1829,male,male,male
William Cooper Mead,1830,male,male,male
Richard Sharp Mason,1830,male,male,male
James Horner,1830,male,male,male
Joseph Spencer,1831,male,male,male
Samuel Lewis Southard,1832,male,male,male
John Peter Hecht,1832,male,male,male
Charles Rudolph DemmÉ,1832,male,male,male
Samuel Wylie Crawford,1832,male,male,male
Joseph B. Ard,1832,male,male,male
Henry Darwin Rogers,1834,male,male,male
Edward Henry Courtenay,1834,male,male,male
William Edward Wyatt,1836,male,male,male
Samuel Allen Mccoskry,1837,male,male,male
Charles Philip Krauth,1837,male,male,male
Henry William Ducachet,1837,male,male,male
