Year,Holiday,Start Date,End Date,Days Off
2017,First Day of Class,05/12/17,09/07/17,118
2017,Academic Holiday,11/06/17,11/06/17,1
2017,Election Day,11/07/17,11/07/17,1
2017,Thanksgiving Break,11/22/17,11/24/17,3
2017,Study Days,12/12/17,12/14/17,3
2017,Winter Break,12/23/17,01/16/18,24
2017,Spring Recess,03/12/18,03/16/18,5
2017,Study Days,05/01/18,05/03/18,3
,,,,
2018,First Day of Class,05/11/18,09/04/18,116
2018,Academic Holiday,11/05/17,11/05/17,1
2018,Election Day,11/06/17,11/06/17,1
2018,Thanksgiving Break,11/21/18,11/23/18,3
2018,Study Days,12/11/18,12/13/18,3
2018,Winter Break,12/22/18,01/22/19,31
2018,Spring Recess,03/18/19,03/22/19,5
2018,Study Days,05/07/19,05/09/19,3
,,,,
2019,First Day of Class,05/18/19,09/03/19,108
2019,Academic Holiday,11/04/19,11/04/19,1
2019,Election Day,11/05/19,11/05/19,1
2019,Thanksgiving Break,11/27/19,11/29/19,3
2019,Study Days,12/10/19,12/12/19,3
2019,Winter Break,12/21/19,01/21/19,31
2019,Spring Recess,03/16/20,03/20/20,5
2019,Study Days,05/05/20,05/07/20,3
,,,,
2020,First Day of Class,05/16/20,09/08/20,115
2020,Academic Holiday,11/02/20,11/02/20,1
2020,Election Day,11/03/20,11/03/20,1
2020,Thanksgiving Break,11/25/20,11/27/20,3
2020,Study Days,12/15/20,12/16/20,2
2020,Winter Break,12/24/20,01/19/21,26
2020,Spring Recess,03/15/21,03/19/21,5
2020,Study Days,05/04/21,05/06/21,3
,,,,
2021,First Day of Class,05/15/21,09/07/21,115
2021,Academic Holiday,11/01/21,11/01/21,1
2021,Election Day,11/02/21,11/02/21,1
2021,Thanksgiving Break,11/24/21,11/26/21,3
2021,Study Days,12/14/21,12/15/21,2
2021,Winter Break,12/24/21,01/18/22,25
2021,Spring Recess,03/14/22,03/18/22,5
2021,Study Days,05/03/22,05/05/22,3
,,,,
2022,First Day of Class,05/14/22,09/06/22,115
2022,Academic Holiday,11/07/22,11/07/22,1
2022,Election Day,11/08/22,11/08/22,1
2022,Thanksgiving Break,11/23/22,11/25/22,3
2022,Study Days,12/13/22,12/15/22,2
2022,Winter Break,12/24/22,01/17/23,24
2022,Spring Recess,03/13/23,03/17/23,5
2022,Study Days,05/02/23,05/02/23,1
,,,,
2023,First Day of Class,05/13/23,09/05/23,115
2023,Academic Holiday,11/06/23,11/06/23,1
2023,Election Day,11/07/23,11/07/23,1
2023,Thanksgiving Break,11/22/23,11/24/23,3
2023,Study Days,12/12/23,12/14/23,2
2023,Winter Break,12/23/23,01/16/24,24
2023,Spring Recess,05/18/24,05/22/14,5
