Year,Holiday ,Start Date,End Date,Days Off
2017,Summer Break,5/23/2017,8/22/2017,91
2017,Labor Day Holiday ,9/4/2017,9/5/2017,1
2017,Fall Break  ,10/7/2017,10/11/2017,4
2017,Thanksgiving Recess ,11/22/2017,11/27/2017,5
2017,Study Period,12/2/2017,12/5/2017,3
2017,University Winter Break,12/15/2017,1/24/2018,40
2017,February Break,2/17/2018,2/21/2018,4
2017,Spring Break,3/31/2018,4/9/2018,9
2017,Study Period,5/10/2018,5/13/2018,3
2017,Study Period,5/18/2018,5/19/2018,1
,,,,
2018,Summer Break,5/22/2018,8/23/2018,93
2018,Labor Day Holiday ,9/3/2018,9/4/2018,1
2018,Fall Break  ,10/6/2018,10/10/2018,4
2018,Thanksgiving Recess ,11/21/2018,11/26/2018,5
2018,Study Period,12/2/2018,12/5/2018,3
2018,University Winter Break,12/16/2018,1/22/2019,37
2018,February Break,2/23/2019,2/27/2019,4
2018,Spring Break,3/30/2019,4/8/2019,9
2018,Study Period,5/8/2019,5/10/2019,2
,,,,
2019,Summer Break,5/18/2019,8/29/2019,103
2019,Labor Day Holiday,9/2/2019,9/3/2019,1
2019,Fall Break,10/12/2019,10/16/2019,4
2019,Thanksgiving Recess,11/27/2019,12/2/2019,5
2019,Study Period,12/11/2019,12/13/2019,2
2019,University Winter Break,12/21/2019,1/21/2020,31
2019,February Break,2/22/2020,2/26/2020,4
2019,Spring Break,3/28/2020,4/6/2020,9
2019,Study Period,5/6/2020,5/8/2020,2
