Year ,Holiday,Start Date,End Date,Days Off
2017,Independence Day,7/4/2017,7/5/2017,1
2017,Study Period,8/24/2017,8/26/2017,2
2017,Break,8/30/2017,9/11/2017,12
2017,Study Period,11/15/2017,11/17/2017,2
2017,Break,11/23/2017,1/3/2018,41
2017,Study Period,3/7/2018,3/9/2018,2
2017,Break,3/14/2018,3/26/2018,12
2017,Memorial Day,5/28/2018,5/29/2018,1
2017,Study Period,5/31/2018,6/1/2018,1
2017,Break,6/6/2018,6/21/2018,15
,,,,
2018,Independence Day,7/4/2018,7/5/2018,1
2018,Study Period,8/23/2018,8/25/2018,2
2018,Break,8/29/2018,9/12/2018,14
2018,Study Period,11/14/2018,11/16/2018,2
2018,Break,11/22/2018,1/7/2019,46
2018,Study Period,3/9/2019,3/11/2019,2
2018,Break,3/16/2019,3/25/2019,9
2018,Memorial Day,3/27/2019,3/28/2019,1
2018,Study Period,3/30/2019,3/31/2019,1
2018,Break,6/5/2019,6/20/2019,15
