Year,Holiday,Start Date,End Date,Days Off
2017,First Day of Class,,8/30/17,NA
2017,Labor Day,9/4/17,9/4/17,1
2017,Columbus Day,10/9/17,10/9/17,1
2017,Thanksgiving Break,11/22/17,11/26/17,4
2017,Study Days,12/2/17,12/8/17,6
2017,Winter Break,12/20/17,1/21/18,32
2017,Presidents Day,2/19/18,2/19/18,1
2017,Spring Recess,3/10/18,3/18/18,8
2017,Study Days,4/26/18,5/2/18,6
,,,,
2018,First Day of Class,5/12/18,9/4/18,115
2018,Labor Day,9/3/18,9/3/18,1
2018,Columbus Day,10/8/18,10/8/18,1
2018,Thanksgiving Break,11/21/18,11/25/18,4
2018,Study Days,12/6/18,12/10/18,4
2018,Winter Break,12/21/18,1/27/19,37
2018,Presidents Day,2/18/19,2/18/19,1
2018,Spring Recess,3/16/19,3/24/19,8
2018,Study Days,5/2/19,5/8/19,6
,,,,
2019,First Day of Class,5/18/19,9/3/19,108
2019,Columbus Day,10/14/19,10/14/19,1
2019,Thanksgiving Break,11/27/19,12/1/19,4
2019,Study Days,12/5/19,12/9/19,4
2019,Winter Break,12/20/19,1/26/20,37
2019,Presidents Day,2/17/18,2/17/18,1
2019,Spring Recess,3/14/20,3/22/20,8
2019,Study Days,4/30/20,5/6/20,6
,,,,
2020,First Day of Class,5/16/20,9/2/20,109
2020,Labor Day,9/7/20,9/7/20,1
2020,Columbus Day,10/12/20,10/12/20,1
2020,Thanksgiving Break,11/25/20,11/29/20,4
2020,Study Days,12/5/20,12/9/20,4
2020,Winter Break,12/20/20,1/24/21,35
2020,Presidents Day,2/15/21,2/15/21,1
2020,Spring Recess,3/13/21,3/21/21,8
2020,Study Days,4/29/21,5/5/21,6
,,,,
2021,First Day of Class,5/15/21,9/1/21,109
2021,Labor Day,9/6/21,9/6/21,1
2021,Columbus Day,10/11/21,10/11/21,1
2021,Thanksgiving Break,11/24/21,11/28/21,4
2021,Study Days,12/3/21,12/7/21,4
2021,Winter Break,12/18/21,1/23/22,36
2021,Presidents Day,2/21/22,2/21/22,1
2021,Spring Recess,3/12/22,3/20/22,8
2021,Study Days,4/28/22,5/4/22,6
,,,,
2022,First Day of Class,5/14/22,8/31/22,109
2022,Labor Day,9/5/22,9/5/22,1
2022,Columbus Day,10/10/22,10/10/22,1
2022,Thanksgiving Break,11/23/22,11/27/22,4
2022,Study Days,12/2/22,12/6/22,4
2022,Winter Break,12/16/22,1/22/23,37
2022,Presidents Day,2/20/23,2/20/23,1
2022,Spring Recess,3/11/23,3/19/23,8
2022,Study Days,4/27/23,5/3/23,6
,,,,
2023,First Day of Class,5/13/23,8/30/23,109
2023,Labor Day,9/4/23,9/4/23,1
2023,Columbus Day,10/9/23,10/9/23,1
2023,Thanksgiving Break,11/22/23,11/26/23,4
2023,Study Days,12/2/23,12/8/23,6
2023,Winter Break,12/20/23,1/21/24,32
2023,Presidents Day,2/19/24,2/19/24,1
2023,Spring Recess,3/9/24,3/17/24,8
2023,Study Days,4/25/24,5/1/24,6
,,,,
2024,First Day of Class,5/11/24,8/30/24,111
2024,Labor Day,9/3/24,9/3/24,1
2024,Columbus Day,10/14/24,10/14/24,1
2024,Thanksgiving Break,11/27/24,12/1/24,4
2024,Study Days,12/5/24,12/9/24,4
2024,Winter Break,12/20/24,1/26/25,37
2024,Presidents Day,2/17/25,2/17/25,1
2024,Spring Recess,3/15/25,3/23/25,8
2024,Study Days,5/1/25,5/7/25,6
,,,,
2025,First Day of Class,5/17/25,9/2/25,108
2025,Columbus Day,10/13/25,10/13/25,1
2025,Thanksgiving Break,11/26/25,12/1/25,5
2025,Study Days,12/4/25,12/8/24,-361
2025,Winter Break,12/19/25,1/25/26,37
2025,Presidents Day,2/16/26,2/16/26,1
2025,Spring Recess,3/14/26,3/22/26,8
2025,Study Days,4/30/26,5/6/26,6
,,,,
2026,First Day of Class,5/16/26,9/2/26,109
2026,Labor Day,9/7/26,9/7/26,1
2026,Columbus Day,10/12/26,10/12/26,1
2026,Thanksgiving Break,11/25/26,11/29/26,4
2026,Study Days,12/5/26,12/9/26,4
2026,Winter Break,12/20/26,1/24/27,35
2026,Presidents Day,2/15/27,2/15/27,1
2026,Spring Recess,3/13/27,3/21/27,8
2026,Study Days,4/29/27,5/6/27,7
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
