First Day of Classes,2017, August 29
Labor Day (no classes),2017, September 4
Fall Term Break,2017, October 5-8
Thanksgiving Break,2017, November 23-26
Reading Days,2017, December 12-13
Fall Term ends,2017, December 21
First Day of Classes,2017, January 10 (Monday classes)
Martin Luther King Jr. Day Observed (no classes),2017, January 15
Spring Term Break,2017, March 3-11
Reading Days,2017, April 26-27
Spring Term ends,2017, May 8
,,
First Day of Classes,2018, August 28
Labor Day (no classes),2018, September 3
Fall Term Break,2018, October 4-7
Thanksgiving Break,2018, November 22-25
Reading Days,2018, December 11-12
Fall Term ends,2018, December 20
First Day of Classes,2018, January 16 (Monday classes)
Martin Luther King Jr. Day Observed (no classes),2018, undefined
Spring Term Break,2018, March 2-10
Reading Days,2018, May 2-3
Spring Term ends,2018, May 14
,,
First Day of Classes,2019, August 27
Labor Day (no classes),2019, September 2
Fall Term Break,2019, October 10-13
Thanksgiving Break,2019, November 28-December 1
Reading Days,2019, December 10-11
Fall Term ends,2019, December 19
First Day of Classes,2019, January 15 (Monday classes)
Martin Luther King Jr. Day Observed (no classes),2019, undefined
Spring Term Break,2019, March 7-15
Reading Days,2019, April 30-May 1
Spring Term ends,2019, May 12
