date,time,address,offense,description
06/22/16,1:39 AM,51 N 39th St,Narcotic,Male in possession of narcotics/Arrest
06/22/16,1:39 AM,51 N 39th St,Narcotic,Male in possession of narcotics/Arrest
07/01/16,6:17 PM,3400 Sansom St,Narcotics,Male combative with police/Arrest
12/16/16,4:34 PM,1 S 40th St,Narcotic,Males involved in drug transaction/2 Arrests
07/26/16,5:24 PM,4000 Chestnut St,Narcotic,Male in possession of drugs/Arrest
01/10/2017,6:19 PM,125-129 S 40th St,Narcotic,Male in possession of narcotics/Arrest
10/08/16,5:44 PM,4000 Market St,Narcotic,Male in possess of narcotics/Arrest
10/25/16,1:56 AM,407 S 43rd St,Narcotic,Male in possession of narcotics/Arrest
10/12/16,10:32 AM,3300 Chestnut St,Narcotic,Intoxicated male/Arrest
07/26/16,5:24 PM,4000 Chestnut St,Narcotic,Male in possession of drugs/Arrest
10/25/16,1:56 AM,407 S 43rd St,Narcotic,Male in possession of narcotics/Arrest
10/12/16,10:32 AM,3300 Chestnut St,Narcotic,Intoxicated male/Arrest
11/19/16,1:20 AM,3400 Market St,Narcotic,Male in possession of narcotics/Arrest
10/08/16,5:44 PM,4000 Market St,Narcotic,Male in possess of narcotics/Arrest
12/14/16,12:37 AM,3900 Sansom St,Narcotic,Male cited for drug possession
11/19/16,1:20 AM,3400 Market St,Narcotic,Male in possession of narcotics/Arrest
12/16/16,4:34 PM,1 S 40th St,Narcotic,Males involved in drug transaction/2 Arrests
02/01/17,1:29 PM,4000 Market St,Narcotic,Males in possession of marijuana/Cited and released
01/10/2017,6:19 PM,125-129 S 40th St,Narcotic,Male in possession of narcotics/Arrest
03/09/2017,11:25 AM,4004 Market St,Narcotic,Offender cited for min. possession and released
02/01/17,1:29 PM,4000 Market St,Narcotic,Males in possession of marijuana/Cited and released
07/01/16,6:17 PM,3400 Sansom St,Narcotics,Male combative with police/Arrest
03/09/2017,11:25 AM,4004 Market St,Narcotic,Offender cited for min. possession and released
12/14/16,12:37 AM,3900 Sansom St,Narcotic,Male cited for drug possession
