date,time,address,offense,description
09/17/16,9:51 PM,200 S 40th St,DUI,Intoxicated male/Arrest
07/22/16,11:49 PM,200 S 36th St,DUI,Intoxicated driver arrested
09/24/16,12:24 AM,3700 Spruce St,DUI,Intoxicated male drove into subway
09/17/16,9:51 PM,200 S 40th St,DUI,Intoxicated male/Arrest
10/01/16,11:13 PM,3900 Woodland Ave,DUI,Intoxicated driver arrested
12/30/16,10:12 PM,300 S 40th St,DUI,Intoxicated driver arrested
10/02/16,7:40 AM,3000 Walnut St,DUI,Intoxicated male/Arrest
10/02/16,7:40 AM,3000 Walnut St,DUI,Intoxicated male/Arrest
06/17/16,11:47 PM,3700 Walnut St,DUI,Intoxicated male/Arrest
06/17/16,11:47 PM,3700 Walnut St,DUI,Intoxicated male/Arrest
07/14/16,10:19 PM,4100 Baltimore Ave,DUI,Intoxicated male/Arrest
10/12/16,11:35 PM,3200 Walnut St,DUI,Intoxicated male/Arrest
07/22/16,11:49 PM,200 S 36th St,DUI,Intoxicated driver arrested
12/28/16,12:44 AM,4000 Walnut St,DUI,Intoxicated driver arrested
08/11/16,7:10 AM,3300 Spruce St,DUI,Intoxicated female/Arrest
01/05/17,10:22 PM,3700 Walnut St,DUI,Intoxicated driver arrested
10/12/16,11:35 PM,3200 Walnut St,DUI,Intoxicated male/Arrest
02/12/17,1:16 AM,4000 Walnut St,DUI,Intoxicated female/Arrest
11/16/16,10:10 PM,4300 Pine St,DUI,Intoxicated male arrested
3/18/2017,3:22 AM,4100 Walnut St,DUI,Intoxicated driver arrested
12/28/16,12:44 AM,4000 Walnut St,DUI,Intoxicated driver arrested
09/24/16,12:24 AM,3700 Spruce St,DUI,Intoxicated male drove into subway
12/30/16,10:12 PM,300 S 40th St,DUI,Intoxicated driver arrested
08/11/16,7:10 AM,3300 Spruce St,DUI,Intoxicated female/Arrest
01/05/17,10:22 PM,3700 Walnut St,DUI,Intoxicated driver arrested
01/07/17,1:53 AM,4100 Spruce St,DUI,Intoxicated male/Arrest
01/07/17,1:53 AM,4100 Spruce St,DUI,Intoxicated male/Arrest
02/01/17,1:05 AM,3800 Chestnut St,DUI,Intoxicated driver/Arrest
02/01/17,1:05 AM,3800 Chestnut St,DUI,Intoxicated driver/Arrest
03/25/2017,1:19 AM,4000 Market St,DUI,Intoxicated driver arrested
02/12/17,1:16 AM,4000 Walnut St,DUI,Intoxicated female/Arrest
08/27/17,3:05 AM,3800 Market St,DUI,Intoxicated driver arrested
2/22/2017,4:18 PM,4000 Sansom St,DUI,Intoxicated male/Arrest
2/22/2017,4:18 PM,4000 Sansom St,DUI,Intoxicated male/Arrest
3/18/2017,3:22 AM,4100 Walnut St,DUI,Intoxicated driver arrested
07/14/16,10:19 PM,4100 Baltimore Ave,DUI,Intoxicated male/Arrest
03/25/2017,1:19 AM,4000 Market St,DUI,Intoxicated driver arrested
4/14/2017,11:01 PM,4000 Baltimore Ave,DUI,Intoxicated driver arrested
4/14/2017,11:01 PM,4000 Baltimore Ave,DUI,Intoxicated driver arrested
11/16/16,10:10 PM,4300 Pine St,DUI,Intoxicated male arrested
08/27/17,3:05 AM,3800 Market St,DUI,Intoxicated driver arrested
10/01/16,11:13 PM,3900 Woodland Ave,DUI,Intoxicated driver arrested
