date,time,address,offense,description
09/02/2016,1:36 AM,4000 Delancey St,Robbery,Cell phone currency and watch taken/2 Arrests
07/08/16,1:00 PM,120 S 36th St,Robbery,Employee pushed as male took merchandise without payment
09/18/16,6:39 PM,3400 Spruce St,Robbery,Offenders attempted to take cell phone
10/04/16,10:57 PM,100 S 38th St,Robbery,Complainant punched by male who attempted to take backpack/Arrest
09/18/16,10:44 PM,4200 Pine St,Robbery,Wallet and iPhone taken
no date,8:11 PM,200 S 40th St,Robbery,Unknown female attempted to rob complainant
09/20/16,5:04 PM,4000 Irving St,Robbery,Complainant assaulted and cell phone taken/3 arrests made
no date,12:04 AM,200 S 41st St,Robbery/arrest,
09/25/16,1:49 AM,3900 Spruce St,Robbery,Male grabbed complainant's phone/Arrest
01/13/2017,5:02 PM,33 S 42nd St,Robbery,Store robbed by 2 unknown males
09/28/16,3:30 PM,3800 Woodland Walk,Robbery,US currency forcibly taken from complainant
8/9/17,4:18 AM,409 S. 42nd St,Robbery,
05/03/16,6:10 PM,3500 Market St,Robbery,Complainant robbed by males/Arrest
8/9/17,7:36 PM,S. 42nd St,Robbery,
06/29/16,8:15 AM,3800 Spruce St,Robbery,Complainant reported being robbed
7/24/17,11:28 PM,300 S 42nd St,Robbery/ Arrest,
07/06/16,6:58 PM,4200 Spruce St,Robbery,iPhone taken by unknown male
08/25/17,2:52 AM,1 S 42nd St,Robbery,Auto taken point of gun
07/07/16,7:22 PM,4006 Chestnut St,Robbery,Wallet taken/Arrest
07/22/16,11:40 PM,300 S 43rd St,Robbery,Purse taken by unknown male
07/08/16,1:00 PM,120 S 36th St,Robbery,Employee pushed as male took merchandise without payment
06/01/17,9:07 PM,44th & Ludlow Sts,Robbery,
07/08/16,8:11 PM,200 S 40th St,Robbery,Unknown female attempted to rob complainant
no date,7:55 PM,45th & Springfield Ave,Robbery/ Arrest,
07/20/16,4:44 AM,3400 Market St,Robbery,Complainant assaulted and cell phone taken/Arrest
no date,8:20 PM,45th & Spruce Sts,Robbery/ Arrest
07/22/16,11:40 PM,300 S 43rd St,Robbery,Purse taken by unknown male
7/25/17,6:24 AM,123 S 46th St,Robbery,
08/27/16,2:34 AM,3000 Walnut St,Robbery,Phone taken from complainant
09/06/17,6:06 AM,216 S 46th St,Robbery,
10/04/16,10:57 PM,100 S 38th St,Robbery,Complainant punched by male who attempted to take backpack/Arrest
09/07/17,9:14 PM,46th & Regent Sts,Robbery/ Arrest,
10/05/16,1:21 PM,3735 Walnut St,Robbery,Unknown male robbed bank
8/7/17,2:27 PM,1107 S. 47th Street,Robbery,
10/18/16,6:26 PM,4200 Pine St,Robbery,Offender attempted to rob complainant/Arrest
08/28/17,12:39 AM,47th & Woodland Ave,Robbery,
10/26/16,6:38 PM,3441A Chestnut St,Robbery,Unknown male demanded cash
08/30/17,11:39 PM,1242 S 47th St,Robbery,
10/30/16,3:57 AM,3400 Sansom St,Robbery,Offender attempted to rob complainants
09/08/17,9:15 PM,47th & Osage,Robbery/ Arrest,
10/30/16,5:17 AM,3600 Sansom St,Robbery,Currency from wallet
08/27/16,2:34 AM,3000 Walnut St,Robbery,Phone taken from complainant
12/13/16,6:30 PM,4006 Market St,Robbery,Purse taken/Arrest
10/05/16,1:21 PM,3735 Walnut St,Robbery,Unknown male robbed bank
12/23/16,4:50 PM,3300 Market St,Robbery,Attempted strong-arm robbery
12/23/16,5:11 PM,3300 Walnut St,Robbery,Unknown males attempted to take cell phone
12/23/16,5:11 PM,3300 Walnut St,Robbery,Unknown males attempted to take cell phone
01/21/17,12:25 PM,3700 Walnut St,Robbery,Male attempted to rob complainant/Arrest
01/13/2017,5:02 PM,33 S 42nd St,Robbery,Store robbed by 2 unknown males
2/25/2017,11:46 AM,4001 Walnut St,Robbery,Male took property and assaulted security/Arrest
01/21/17,12:25 PM,3700 Walnut St,Robbery,Male attempted to rob complainant/Arrest
05/08/17,12:55 AM,4601 Walnut St.,Robbery,
2/25/2017,11:46 AM,4001 Walnut St,Robbery,Male took property and assaulted security/Arrest
05/08/17,9:53 PM,4201 Walnut St.,Robbery/Arrest,
03/25/2017,5:02 PM,4200 Locust St,Robbery,Offenders attempted to take cell phone
8/8/17,2:56 PM,3735 Walnut St,Robbery,
4/13/2017,9:38 AM,4200 Spruce St,Robbery,Male attempted to take complainant's backpack
8/13/17,4:04 PM,4301 Walnut Street,Robbery,
4/13/2017,11:07 AM,3600 Ludlow St,Robbery,Cell phone taken by known person
08/25/17,4:30 PM,4001 Walnut St,Robbery,Male took items and fought with security/Arrest
05/08/17,12:55 AM,4601 Walnut St.,Robbery
09/18/17,10:23 AM,3800 Walnut St,Robbery,
05/08/17,9:53 PM,4201 Walnut St.,Robbery/Arrest
09/18/16,6:39 PM,3400 Spruce St,Robbery,Offenders attempted to take cell phone
05/09/17,11:32 PM,4400 Baltimore Ave,Robbery/Arrest
09/25/16,1:49 AM,3900 Spruce St,Robbery,Male grabbed complainant's phone/Arrest
05/12/17,11:38 PM,4013 Baltimore Ave,Robbery
06/29/16,8:15 AM,3800 Spruce St,Robbery,Complainant reported being robbed
05/30/17,10:00 PM,4711 Springfield Ave,Robbery
07/06/16,6:58 PM,4200 Spruce St,Robbery,iPhone taken by unknown male
05/31/17,10:09 PM,4501 Spruce St,Robbery
4/13/2017,9:38 AM,4200 Spruce St,Robbery,Male attempted to take complainant's backpack
06/01/17,6:52 PM,3813 Chestnut St,Robbery/arrest
05/31/17,10:09 PM,4501 Spruce St,Robbery,
06/01/17,9:07 PM,44th & Ludlow Sts,Robbery
06/23/17,12:51 AM,4200 Spruce Street,Robbery,
06/02/17,12:04 AM,200 S 41st St,Robbery/arrest
09/06/17,8:20 PM,45th & Spruce Sts,Robbery/ Arrest,
