date,time,address,offense,description
09/16/16,9:36 AM,4300 Sansom St,Sex Offense,Male exposed himself
05/08/16,8:44 AM,100 S 37th St,Sex offense,Male exposed himself
09/21/16,6:45 PM,3400 Chestnut St,Sex offense,Confidential
08/28/16,5:13 AM,200 S 40th St,Sex Offense,Confidential
05/08/16,8:44 AM,100 S 37th St,Sex offense,Male exposed himself
08/14/16,4:06 PM,200 S 43rd St,Sex Offense,Male observed without clothing/Arrest
05/10/16,12:08 PM,4000 Walnut St,Sex Offense,Confidential
05/10/16,12:08 PM,4000 Walnut St,Sex Offense,Confidential
05/11/16,6:54 AM,3900 Pine St,Sex Offense,Male grabbed complainant inappropriately
07/01/16,11:31 PM,3900 Walnut St,Sex Offense,Confidential
05/26/16,6:50 AM,4040 Chestnut St,Sex Offense,Male exposed himself
11/15/16,4:54 PM,3900 Walnut St,Sex Offense,Confidential
06/08/16,1:25 PM,4000 Baltimore Ave,Sex Offense,Confidential
12/09/16,1:05 PM,3900 Walnut St,Sex Offense,Confidential
06/11/16,6:30 AM,4000 Ludlow St,Sex Offense,Male arrested after touching complainant inappropriately/Arrest
01/01/17,2:30 AM,3925 Walnut St,Sex Offense,Confidential
07/01/16,11:31 PM,3900 Walnut St,Sex Offense,Confidential
01/24/17,2:19 PM,3900 Walnut St,Sex offense,Confidential
07/19/16,10:15 AM,3200 Chestnut St,Sex Offense,Confidential
08/05/16,11:02 AM,3400 Spruce St,Sex Offense,Male reported to have exposed himself
07/28/16,1:40 AM,3000 South St,Sex Offense,Male Reported to be exposing himelf
10/07/16,5:21 PM,3400 Spruce St,Sex Offense,Confidential
08/05/16,11:02 AM,3400 Spruce St,Sex Offense,Male reported to have exposed himself
09/21/16,6:45 PM,3400 Chestnut St,Sex offense,Confidential
08/14/16,4:06 PM,200 S 43rd St,Sex Offense,Male observed without clothing/Arrest
05/26/16,6:50 AM,4040 Chestnut St,Sex Offense,Male exposed himself
08/28/16,5:13 AM,200 S 40th St,Sex Offense,Confidential
07/19/16,10:15 AM,3200 Chestnut St,Sex Offense,Confidential
10/07/16,2:33 PM,4200 Baltimore Ave,Sex Offense,Confidential
12/28/16,3:28 PM,3943 Chestnut St,Sex Offense,Male exposed himself through window
10/07/16,5:21 PM,3400 Spruce St,Sex Offense,Confidential
01/25/17,11:20 AM,4100 Chestnut St,Sex offense,Confidential
10/21/16,12:23 PM,3900 Powelton Ave,Sex Offense,Confidential
01/25/17,1:10 AM,4200 Chestnut St,Sex offense,Confidential
10/26/16,3:50 PM,3800 Locust Walk,Sex offense,Confidential
09/16/16,9:36 AM,4300 Sansom St,Sex Offense,Male exposed himself
11/15/16,4:54 PM,3900 Walnut St,Sex Offense,Confidential
10/26/16,3:50 PM,3800 Locust Walk,Sex offense,Confidential
12/09/16,1:05 PM,3900 Walnut St,Sex Offense,Confidential
02/15/17,11:28 AM,3700 Locust Walk,Sex Offense,Confidential
12/28/16,3:28 PM,3943 Chestnut St,Sex Offense,Male exposed himself through window
05/11/16,6:54 AM,3900 Pine St,Sex Offense,Male grabbed complainant inappropriately
01/01/17,2:30 AM,3925 Walnut St,Sex Offense,Confidential
08/25/17,5:42 PM,3900 Pine St,Sex offense,Unknown male exposed himself
01/24/17,2:19 PM,3900 Walnut St,Sex offense,Confidential
06/08/16,1:25 PM,4000 Baltimore Ave,Sex Offense,Confidential
01/25/17,11:20 AM,4100 Chestnut St,Sex offense,Confidential
10/07/16,2:33 PM,4200 Baltimore Ave,Sex Offense,Confidential
01/25/17,1:10 AM,4200 Chestnut St,Sex offense,Confidential
07/28/16,1:40 AM,3000 South St,Sex Offense,Male Reported to be exposing himelf
02/15/17,11:28 AM,3700 Locust Walk,Sex Offense,Confidential
06/11/16,6:30 AM,4000 Ludlow St,Sex Offense,Male arrested after touching complainant inappropriately/Arrest
08/25/17,5:42 PM,3900 Pine St,Sex offense,Unknown male exposed himself
10/21/16,12:23 PM,3900 Powelton Ave,Sex Offense,Confidential
