date,time,address,offense,description
09/07/16,12:35 PM,3409 Walnut St,Traffic,Female wanted for scofflaw/Arrest
09/21/16,8:05 AM,51 N 39th St,Traffic,Female wanted for scofflaw/Arrest
09/21/16,8:05 AM,51 N 39th St,Traffic,Female wanted for scofflaw/Arrest
09/07/16,12:35 PM,3409 Walnut St,Traffic,Female wanted for scofflaw/Arrest
06/07/16,3:20 PM,4006 Market St,Traffic,Male wanted on warrant/Arrest
06/29/16,1:55 PM,3600 Walnut St,Traffic,Male wanted on scofflaw/Arrest
06/29/16,1:55 PM,3600 Walnut St,Traffic,Male wanted on scofflaw/Arrest
06/07/16,3:20 PM,4006 Market St,Traffic,Male wanted on warrant/Arrest
08/12/16,1:18 PM,3800 Sansom St,Traffic,Male wanted on scofflaw/Arrest
08/12/16,1:18 PM,3800 Sansom St,Traffic,Male wanted on scofflaw/Arrest
10/18/16,12:28 PM,University Blvd & Civic Blvd,Traffic,Male wanted on scofflaw/Arrest
10/18/16,12:28 PM,University Blvd & Civic Blvd,Traffic,Male wanted on scofflaw/Arrest
11/18/16,11:39 AM,Schuylkill Market,Traffic,Male wanted on scofflaw/Arrest
11/18/16,11:39 AM,Schuylkill Market,Traffic,Male wanted on scofflaw/Arrest
01/06/17,8:08 AM,4200 Pine St,Traffic,Man wanted on scofflaw/Arrest
01/06/17,8:08 AM,4200 Pine St,Traffic,Man wanted on scofflaw/Arrest
