Name,Affiliation
MEGAN C. KASSABAUM,ASST PROFESSOR A
DEBORAH A. THOMAS,Professor
BRIAN J SPOONER,PROF ANTHRO (Faculty)
JANET M. MONGE,ADJ. PROF
MARIE-CLAUDE BOILEAU,COORDNTR INSTRUCTION LABS
JAN MORITZ JANSEN,RESEARCH FELLOW
DEBORAH IRENE OLSZEWSKI,Adjunct Associate Professor
ROBERT L SCHUYLER,ASSOC PROF ANTHRO (Faculty)
CLARK LOWDEN ERICKSON,Professor
MIRANDA J WEINBERG,TEACHING ASSISTANT
ROBERT L SCHUYLER,ASSOC PROF ANTHRO (Faculty)
ROBERT L SCHUYLER,ASSOC PROF ANTHRO (Faculty)
THEODORE G SCHURR,Professor
MARY JENNIFER HASTY,LECTURER B
MICHAEL R ZIMMERMAN,LECTURER B
TIMOTHY ROMMEN,PROFESSOR A
SHELLEY M.S ZHANG,GRADUATE STUDENT
TIMOTHY ROMMEN,PROFESSOR A
KATHERINE MATTISON MOORE,PRACTICE PROFESSOR
LINDA J. LEE,IT PROJECT LEADER
MAURO F. GUILLEN,Dr. Felix Zandman Professor in International Management
MARILYNNE DIGGS-THOMPSON,House Dean
MORGAN K. HOKE,ASST PROFESSOR A
MICHAEL B JOINER,LECTURER B
AMY BLEAKLEY,Senior Research Scientist
FRANCES K. BARG,Professor
ADRIANA PETRYNA,PROFESSOR A
RICHARD M. LEVENTHAL,Curator and Professor
CLARK LOWDEN ERICKSON,Professor
NORMAN I BADLER,PROFESSOR
RICHARD L ZETTLER,ASSOC PROF
AMY E BROWN,LECTURER A
MELISSA M KAPADIA-BODI,LECTURER A
ROBERT B. ST.GEORGE,ASSOC PROFESSOR A
MARILYNNE DIGGS-THOMPSON,House Dean
SUSANNAH G FISHMAN,LECTURER B
EVA DEL SOLDATO,ASST PROFESSOR A
KIMBERLY D. BOWES,ASSOC PROFESSOR A
TALYA FISHMAN,ASSOC PROFESSOR
KATHERINE MATTISON MOORE,PRACTICE PROFESSOR
KIMBERLY D. BOWES,ASSOC PROFESSOR A
MARGARET M. BRUCHAC,ASST PROFESSOR
JIM SYKES,ASST PROFESSOR A
PETER G GOULD,LECTURER B
CHANTEL E. WHITE,Archaeobotanical Teaching Specialist
NIKHIL ANAND,ASST PROFESSOR A
ADRIANA PETRYNA,PROFESSOR A
ALI B. ALI-DINAR,SR LECTURER A
CAMPBELL AINSWORTH GREY,ASSOC PROFESSOR A
LAUREN M RISTVET,ASSOC PROFESSOR A
PETER J COBB,LECTURER A
TIMOTHY B. POWELL,SR LECTURER A
