Name,Affiliation
EMORY B VAN CLEVE,LECTURER B
EMORY B VAN CLEVE,LECTURER B
SOSENA SOLOMON,LECTURER B
JAMES HOWZELL,LECTURER B
MICHAEL CRANE,LECTURER B
MARJORIE A EDGERTON,LECTURER B
ANDREA HORNICK,LECTURER B
DEIRDRE MURPHY,ADJUNCT ASSOCIATE
LINDSAY BUCHMAN,LECTURER B
IVANCO TALEVSKI,SR LECTURER A
MICHELLE LOPEZ,ASST PROFESSOR A
WILLIAM BLAISE DUFALA,LECTURER B
PERNOT HUDSON,FACULTY ADMIN APPTMT (A1)
DEIRDRE MURPHY,ADJUNCT ASSOCIATE
JACKIE TILESTON,ASSOC PROFESSOR A
SCOTT G. WHITE,SR LECTURER A
SCOTT G. WHITE,SR LECTURER A
JOSHUA MOSLEY,Professor of Fine Arts
ORKAN TELHAN,ASSOC PROFESSOR A
SHARKA HYLAND,SR LECTURER A
KAREN RODEWALD,LECTURER B
ANNA E NEIGHBOR,LECTURER B
KAREN RODEWALD,LECTURER B
THEOPHILE MULLEN III,LECTURER B
DOUGLAS MARTENSON,LECTURER B
SEBASTIEN R DERENONCOURT,LECTURER B
JANE GOLDEN HERIZA,LECTURER B
SHIRA WALINSKY,LECTURER B
SCOTTY REIFSNYDER,LECTURER B
MARK A OWENS,LECTURER B
IVANCO TALEVSKI,SR LECTURER A
KAYLA D ROMBERGER,LECTURER B
LINDSAY BUCHMAN,LECTURER B
SCOTT G. WHITE,SR LECTURER A
SHARKA HYLAND,SR LECTURER A
SEBASTIEN R DERENONCOURT,LECTURER B
DAVID COMBERG,SR LECTURER A
AVERY LAWRENCE,LECTURER B
SCOTTY REIFSNYDER,LECTURER B
ANNA E NEIGHBOR,LECTURER B
DEMETRIUS D OLIVER,LECTURER B
KAREN RODEWALD,LECTURER B
GABRIEL MARTINEZ,SR LECTURER A
GABRIEL MARTINEZ,SR LECTURER A
JAMIE DIAMOND,SR LECTURER A
JAMIE DIAMOND,SR LECTURER A
TONY WARD,LECTURER B
HEATHER R PHILLIPS,PLN
JOSHUA MOSLEY,Professor of Fine Arts
DAVID COMBERG,SR LECTURER A
TONY WARD,LECTURER B
JOSHUA M ZERANGUE,LECTURER B
HALEE BOUCHEHRIAN,LECTURER B
ERIC D BELLIN,LECTURER B
SUMI MAESHIMA,LECTURER B
RYAN J. GREENHECK,LECTURER B
MATTHEW COURTNEY,PART TIME VIS ARTIST
DAVID COMBERG,SR LECTURER A
JAMIE DIAMOND,SR LECTURER A
KAYLA D ROMBERGER,LECTURER B
SHARON HAYES,ASSOC PROFESSOR A
RACHEL SYDNEY ZOLF,LECTURER B
SUMI MAESHIMA,LECTURER B
TIMOTHY CORRIGAN,PROFESSOR
DAVID HARTT,ASST PROFESSOR A
MARJORIE A EDGERTON,LECTURER B
MATTHEW J. NEFF,FACULTY ADMIN APPTMT (A1)
PAUL M. FARBER,LECTURER B
ORKAN TELHAN,ASSOC PROFESSOR A
KEN LUM,PROFESSOR A
LINDA R. SIMENSKY,LECTURER B
BROOKE O'HARRA,SR LECTURER A
