Name,Affiliation
CHRISTINE MOISSET EDELSTEIN,LECT IN FOREIGN LANG SAS
CHRISTINE MOISSET EDELSTEIN,LECT IN FOREIGN LANG SAS
SAID GAHIA,GRADUATE STUDENT
JARED SCOTT MILLER,GRADUATE STUDENT
SOPHIE J DOLTO,GRADUATE STUDENT
MONICA KRAMER,LECTURER B
SOPHIE E DEGAT,LECT IN FOREIGN LANG SAS
MONICA KRAMER,LECTURER B
LISA ANN BRITTON,LECT IN FOREIGN LANG SAS
LISA ANN BRITTON,LECT IN FOREIGN LANG SAS
REBAIA SAOULI-CORLEY,Lecturer in a Foreign Language
ANNE-MARIE FRANCOIS,LECTURER B
AGNES BERNADETTE GIN TROUILLET,LECTURER B
SAID GAHIA,GRADUATE STUDENT
SAMUEL E MARTIN,LECTURER A
LAURE E BOISROUX,TEACHING ASSISTANT
SOPHIE E DEGAT,LECT IN FOREIGN LANG SAS
REBAIA SAOULI-CORLEY,Lecturer in a Foreign Language
JACQUELINE DOUGHERTY,LECT IN FOREIGN LANG SAS
CHANTAL PHILIPPON-DANIEL,Lecturer in a Foreign Language
CHANTAL PHILIPPON-DANIEL,Lecturer in a Foreign Language
CHANTAL PHILIPPON-DANIEL,Lecturer in a Foreign Language
JOAN ELIZABETH DEJEAN,Professor
STERLING J KOURI,GRADUATE STUDENT
CHRISTINE MOISSET EDELSTEIN,LECT IN FOREIGN LANG SAS
PHILIPPE C. MET,Professor
REBAIA SAOULI-CORLEY,Lecturer in a Foreign Language
JACQUELINE DOUGHERTY,LECT IN FOREIGN LANG SAS
MONICA KRAMER,LECTURER B
MAHESHA RAJAPAKSHA YAPA,TEACHING ASSISTANT
MELANIE PERON,Lecturer in a Foreign Language
MELANIE PERON,Lecturer in a Foreign Language
ANDREA REYNALDO GOULET,Associate Professor
SCOTT M. FRANCIS,ASST PROFESSOR A
GERALD J PRINCE,Professor
SAMUEL E MARTIN,LECTURER A
DAVID KAZANJIAN,PROFESSOR A
SCOTT M. FRANCIS,ASST PROFESSOR A
JOAN ELIZABETH DEJEAN,Professor
MELANIE PERON,Lecturer in a Foreign Language
ANDREA REYNALDO GOULET,Associate Professor
