Name,Affiliation
DANIEL SINGER,Philosophy
THOMAS NOAH,PHILOSOPHY
MILTON W. MEYER,Lecturer B
SUSAN SAUVE MEYER,PROF PHILOSOPHY
HAROLD PARKER,LECTURER B
KOK-CHOR TAN,PROFESSOR
ZOLTAN DOMOTOR,PROF & UGRAD CHR PHILOSOPHY (Faculty)
CARLOS JAVIER PEREIRA DI SALVO,VISITING ASST PROFESSOR
MELISSA L JACQUART,
SAMUEL R. FREEMAN,PROF PHILOSOPHY & LAW
MICHAEL WEISBERG,Professor and Chair
MICHAEL WEISBERG,Professor and Chair
SAMUEL R. FREEMAN,PROF PHILOSOPHY & LAW
ANDREE HAHMANN,SR FELLOW
ANDREW D. CHIGNELL,
GARY HATFIELD,PROF PHILOSOPHY (Faculty)
GARY PURPURA,ASSOC DIRECTOR D
SHEREEN CHANG,PHILOSOPHY
ZOLTAN DOMOTOR,PROF & UGRAD CHR PHILOSOPHY (Faculty)
VAL BREAZU TANNEN,PROFESSOR
SCOTT WEINSTEIN,PROFESSOR
CHARLES YANG,Professor
LISA MIRACCHI,Assistant Professor
STEPHEN P STEINBERG,Lecturer
ROLF P. HORSTMANN,VISITING PROFESSOR
LISA MIRACCHI,Assistant Professor
DANIEL SINGER,Philosophy
ANDREW D. CHIGNELL,
KOK-CHOR TAN,PROFESSOR
QUAYSHAWN SPENCER,PROFESSOR A
PAUL CASTELLITTO,LECTURER B
SCOTT WEINSTEIN,PROFESSOR
CARLOS JAVIER PEREIRA DI SALVO,VISITING ASST PROFESSOR
PETER T. STRUCK,ASSOC PROF CLASSICAL STUDIES
DEVEN PATEL,ASSOC PROFESSOR A
