Name,Affiliation
MARC MEREDITH,ASSOC PROFESSOR A
ALEX WEISIGER,ASSOC PROFESSOR A
LOREN C GOLDMAN,ASST PROFESSOR A
JUAN MANUEL LOMBERA,LECTURER B
DEIRDRE MARTINEZ,Executive Director
MIGUEL E RODRIGUEZ,
ABIGAIL DENBURG,
CARLY B REGINA,
DEBORAH L. HARROLD,LECTURER A
JEFFREY E. GREEN,PROFESSOR A
VICTORIA GILBERT,GRADUATE STUDENT
TULIA G. FALLETI,ASSOC PROFESSOR A
RUDRA SIL,PROFESSOR A
AVERY M GOLDSTEIN,PROFESSOR
EILEEN M. DOHERTY-SIL,LIMITED SERVICE (E)
DORON BENJAMIN TAUSSIG,
MARY E SUMMERS,SR FELLOW
ADOLPH L. REED,PROFESSOR A
JAMES E MORONE,GRADUATE STUDENT
EDWARD G RENDELL,LECT URBAN STUDIES (Faculty)
MARY F ROCCO,LECTURER B
MICHAEL HOROWITZ,PROFESSOR A
DANIEL J. HOPKINS,PROFESSOR A
YUE HOU,ASST PROFESSOR A
DAWN L TEELE,Assistant Professor
MARIE GOTTSCHALK,Professor
ROGERS M SMITH,PROFESSOR A
BRENDAN O'LEARY,Lauder Professor of Political Science
SARA MCGUIRE,LECTURER A
DEVESH KAPUR,SR FELLOW
MARK A POLLACK,LECTURER B
DAVID J DUTWIN,LECTURER B
DANIELLE HANLEY,GRADUATE STUDENT
MATTHEW STEPHEN LEVENDUSKY,PROFESSOR A
BRENDAN O'LEARY,Lauder Professor of Political Science
RICHARD SCOTT HANSON,LECTURER B
NEIL J. LANCTOT,
ADOLPH L. REED,PROFESSOR A
ROGERS M SMITH,PROFESSOR A
GUY GROSSMAN,ASSOC PROFESSOR A
DANIEL J. HOPKINS,PROFESSOR A
BETH A. SIMMONS,PROFESSOR A
MICHAEL G. HANCHARD,PROFESSOR A
CATHERINE E.M. BARTCH,LIMITED SERVICE (E)
CATHERINE E.M. BARTCH,LIMITED SERVICE (E)
