DEADLINE,3/28 Afternoon,,,,
TITLE,Dining Guide Fall 2021: Resetting the Table,,,,
SHORT DESCRIPTION (<200 char),"COVID-19 shut down Philly’s restaurant scene for months. Now, our favorite eateries are back — but the menu looks different.",,,,
PAGE IMAGE,,,,,
,,,,,
--- FEATURE ---,,,,,
Title:,Subhead:,Author:,Published Link:,Image Link:,
Amanda Shulman is Throwing a Dinner Party—And Everyone's Invited,"Meet the Penn alum who took her supper clubs from a college apartment to a Rittenhouse restaurant, with a few pit stops along the way.",Denali Sagner,https://www.34st.com/article/2021/09/amanda-shulman-her-place-supper-club-philly,https://snworksceo.imgix.net/dpn-34s/4bb24144-352a-475a-93f9-8f967d728914.sized-1000x1000.JPG?,
,,,,,
---IG: @34STMAG---,,,,,
Link:,,,,,
https://www.instagram.com/p/CUTNmYWlldM/,,,,,
https://www.instagram.com/p/CUV2E1ulPFW/,,,,,
,,,,,
--- GRABBING A BITE ---,,,,,
Placement:,Title:,Subhead:,Author:,Published Link:,Image:
Top Left,"For Pizza Delivery, Call Our Neighbors at Pizza Plus West","A new local spot for bread and cheese lovers, vegans and non–vegans alike",Maddie Muldoon,https://www.34st.com/article/2021/09/pizza-plus-west-philly-dining-guide-takeout-delivery-vegan,https://snworksceo.imgix.net/dpn-34s/f7b6c6f9-5161-44d0-a374-7187b527b431.sized-1000x1000.JPG?
Top Right,"HUDA: Come for the Sandwiches, Stay for Everything Else","Good service, heavenly milk buns, and complex flavors make HUDA stand out among Rittenhouse Square's pack of fast–casual restaurants. ",Karin Hananel,Karin Hananel,https://snworksceo.imgix.net/dpn-34s/af1ba244-953a-4dc0-8574-220733d20e57.sized-1000x1000.jpg?
Bottom Left ,Alif Brew and Mini Mart Brings Coffee and Celebration to Clark Park,A fresh and welcoming way to enjoy good Ethiopian food and drink,Angela Shen,https://www.34st.com/article/2021/09/alif-brew-mini-mart-ethiopian-food-west-philly-clark-park-coffee,https://snworksceo.imgix.net/dpn-34s/e227e107-a9ff-4809-aaa5-24d26bd1902b.sized-1000x1000.jpg?
