Text,Date,Location,Source,Type,URL,Sentiment,Sentiment Score,Dominant Emotion,Anger Score,Disgust Score,Joy Score,Fear Score,Sadness Score
"I'll tell you something [Inaudible]... Put me on the defense, I was a great student and all this stuff. Oh, he doesn't know the details, these are sick people.",2017-12-28,"West Palm Beach, FL",The New York Times,Interview,https://www.nytimes.com/2017/12/28/us/politics/trump-interview-excerpts.html,Unknown,,Sadness,0.147,0.285,0.056,0.25,0.352
"am president. No, not while I'm president. That is two phases. Right now, look, you know, I went to a great school, I was a good student and all. I am an intelligent person. My uncle, I would say my uncle",2016-03-21,,The Washington Post,Interview,https://www.washingtonpost.com/blogs/post-partisan/wp/2016/03/21/a-transcript-of-donald-trumps-meeting-with-the-washington-post-editorial-board/,Unknown,,,,,,,
"I could be the most presidential person other than -- I always joke and say other than Abe Lincoln. He was pretty good. He was a serious president, right? He had the serious president look. But I was a great student. I went to the best schools, all that stuff. I mean, I have what it takes. But you have to -- when somebody's attacking you personally and attacking you viciously, I guess they say you should -- some people say, Just stand up and let them say whatever they want. You're presidential. It doesn't work that way. I would be run out of town... [Cheering]",2016-03-09,"Fayetteville, NC",YouTube,Interview,https://www.youtube.com/watch?v=P4xbARUMbKU&t=1141,Positive,0.1,Joy,0.152,0.562,0.565,0.137,0.203
"Look, I went to the best school, I was a good student and all of this stuff. I mean, I'm a smart person. I - my uncle was one of the top people at MIT, he was a great professor at MIT.",2016-02-18,"Columbia, SC",YouTube,Interview,https://www.youtube.com/watch?v=ktJ1RxkfLsA&t=802,Positive,0.3,Joy,0.024,0.029,0.768,0.02,0.063
"It is very unfair, that criticism. Now, I will say this, with all of that being said, I have said I will not do it at all, because if I say a word that's a little bit off color, a little bit, it ends up being a headline. I will not do it again. I was a very good student at a great school not using -- by the way -- not using profanity is very easy.",2016-02-13,"Greenville, SC",YouTube,Debate,https://www.youtube.com/watch?v=V-U7EkQiG7A&t=5966,Negative,-0.2,Sadness,0.358,0.082,0.076,0.049,0.474
"So this is Ford, so Ford announces they're going to build a two and a half billion dollar plant in Mexico. Okay. Now let me ask you so I was a very good student at the best school, the Wharton School of Finance, great business school, and I really understand this stuff and I'm trying to figure. Let's see, how does that help us they're gonna close factories all over the United States, they're building, who the hell ever heard of a $2 billion, that is a big plan.",2015-09-25,"Oklahoma City, OK",YouTube,Speech,https://www.youtube.com/watch?v=DHsMQj9P0AI&t=1757,Positive,0.2,,0.12,0.006,0.701,0.056,0.144
"I cherish those stories, they're not often, but they cherish those there. But we -- we have -- you have to understand and they have -- they really started treating me much better. Don't forget, when I first ran, I said, you know it's amazing, went to a great school, excellent student, smart guy. My uncle was a professor at MIT.",2015-08-21,"Mobile, AL",YouTube,Speech,https://www.youtube.com/watch?v=muiHF-T-rZM&t=2514,Positive,0.3,,0.012,0.01,0.873,0.033,0.077
"He'd be poor. But Lindsey Graham, now they say, Donald Now, I went to the Wharton School of Finance. I was a great student. I built a fortune.",2015-07-21,"Sun City, SC",YouTube,Speech,https://www.youtube.com/watch?v=93B_LGWFD1Q&t=633,Positive,0.1,Sadness,0.141,0.131,0.085,0.267,0.526
"You know, I -- I went through phenomenal school, the Wharton School of Finance, which is said to be the greatest business school in the world. I did really well there. I was a great student. So, I mean, I was born with a certain intellect that is good for this.",2015-07-18,"Ames, IA",YouTube,Speech,https://www.youtube.com/watch?v=USc37aih9vE&t=1210,Positive,0.5,Joy,0.108,0.041,0.742,0.057,0.076
"You know, interestingly, first of all, I don't know. I mean, it's something I've never thought about. He -- nobody else seem to. But the answer is I will certainly think about it. I was a very good student. I went to a great school, the Wharton School of Finance.",2015-07-17,"New York, NY",DailyMotion,Interview,http://www.dailymotion.com/video/x5rx7jr,Positive,0.3,Joy,0.071,0.067,0.618,0.106,0.16
