Text,Date,Location,Source,Type,URL,Sentiment,Sentiment Score,Dominant Emotion,Anger Score,Disgust Score,Joy Score,Fear Score,Sadness Score
"And they're well crafted. I was always a good student. I'm like a person that does well with that kind of thing. And I doubt I'd be here if it weren't for social media to be honest with you because there is a fake media out there. I get treated unfairly by the media. And I have a tremendous platform. I think I have 125 million people between Twitter, Instagram and all of them, and Facebook. I have a tremendous platform. So when somebody says something about me, I'm able to go bing, bing, bing, and I take care of it. The other way, I'd never been able to get the word out. [End of Sunday Interview Segment]",2017-10-22,"Washington, DC",YouTube,Interview,https://www.youtube.com/watch?v=D7XaZ3fbPk8&t=1256,Positive,0.1,Joy,0.13,0.12,0.614,0.091,0.21
"So that was my words. Now, you know, I was a good student. I always hear about the elite.",2017-08-22,"Phoenix, AZ",YouTube,Speech,https://www.youtube.com/watch?v=3k25_ICwCNA&t=1637,Positive,0.3,Joy,0.136,0.069,0.555,0.055,0.143
"So there it is, folks. It's as plain as you can have it. I didn't -- and I was a good student. I understand things. I comprehend very well, okay? Better than I think almost anybody. And I want to tell you, I listened to a bunch of stuff last night on television that was disgraceful. It was disgraceful. Because what I just read to you is what we have, and it just can't be written any plainer or better. And for us to be going through this -- and, by the way, a highly, highly respected judge in Boston ruled very strongly in our favor. You heard that.",2017-02-08,"Washington, DC",YouTube,Speech,https://www.youtube.com/watch?v=g-t_MtwGOwE&t=476,Unknown,,Disgust,0.12,0.594,0.329,0.133,0.305
"No matter what we have, our military's depleted, our vets aren't taken care of, we have stupid people leading this country. They're stupid people. You know, I'd like to use another word. I went to an Ivy League school. I was a very good student. But there's nothing better than the word stupid"" to describe these people. I mean",2016-10-26,"Kinston, NC",YouTube,Speech,https://www.youtube.com/watch?v=Dm3TwG9wftQ&t=1985,Unknown,,Sadness,0.181,0.157,0.319,0.063,0.46
"You know, I went to an Ivy League school. I was a good student. And you know what? There's no better word to describe it. It's a horrible word to use. It's not terrible, but I hate to use it but there's no better word. Our leaders are stupid people -- they're stupid people, I'm telling you. Obama, all this guy does is campaign for Hillary, who he can't stand.",2016-10-25,"Tallahassee, FL",YouTube,Speech,https://www.youtube.com/watch?v=BjK0BrFeCrA&t=1224,Negative,-0.1,Sadness,0.2,0.402,0.454,0.08,0.458
"Tiffany, we pushed her out on the stage, go. She never did it before. Tiffany said, this is really scary, and we just said, just go do it, and she did beautifully. She never spoke to anybody -- it's true. The biggest group she's ever spoken to is like 18 people in a class, where she was a very good student, I have to say. But they did a great job. But I actually liked the Republican National Convention better -- I'll tell you what. We had a much better looking stage, number one, which is important. We won for stage.",2016-08-01,"Columbus, OH",YouTube,Speech,https://www.youtube.com/watch?v=cZjTIVIFNOM&t=1719,Positive,0.2,Joy,0.125,0.068,0.494,0.209,0.487
tell you good student the wharton school,2016-03-18,"Salt Lake City, UT",YouTube,Speech,https://www.youtube.com/watch?v=7sBsoCBk2tM&t=1730,Positive,0.2,,,,,,
"I'm president. That is two phases. Right now, look, you know, I went to a great school, I was a good student and all. I am an intelligent person. My uncle, I would say my uncle was one of the brilliant",2016-03-21,,The Washington Post,Interview,https://www.washingtonpost.com/blogs/post-partisan/wp/2016/03/21/a-transcript-of-donald-trumps-meeting-with-the-washington-post-editorial-board/,Unknown,,,,,,,
a good student at the greatest school,2016-03-07,"Concord, NC",YouTube,Speech,https://www.youtube.com/watch?v=SJN5L_w0Y6I&t=664,Positive,0.6,,,,,,
"I could be the most presidential person other than -- I always joke and say other than Abe Lincoln. He was pretty good. He was a serious president, right? He had the serious president look. But I was a great student. I went to the best schools, all that stuff. I mean, I have what it takes. But you have to -- when somebody's attacking you personally and attacking you viciously, I guess they say you should -- some people say, Just stand up and let them say whatever they want. You're presidential. It doesn't work that way. I would be run out of town... [Cheering]",2016-03-09,"Fayetteville, NC",YouTube,Interview,https://www.youtube.com/watch?v=P4xbARUMbKU&t=1141,Positive,0.1,Joy,0.152,0.562,0.565,0.137,0.203
good I was a good student and all that,2016-02-27,"Millington, TN",YouTube,Speech,https://www.youtube.com/watch?v=U4Dby9yIU_4&t=3999,Positive,0.5,,,,,,
a good student and all that simple you don't have to you don't have to go to,2016-02-19,"Pawley's Island, SC",YouTube,Speech,https://www.youtube.com/watch?v=8DH7arygNwE&t=1349,Positive,0.4,,,,,,
"Look, I went to the best school, I was a good student and all of this stuff. I mean, I'm a smart person. I - my uncle was one of the top people at MIT, he was a great professor at MIT.",2016-02-18,"Columbia, SC",YouTube,Interview,https://www.youtube.com/watch?v=ktJ1RxkfLsA&t=802,Positive,0.3,Joy,0.024,0.029,0.768,0.02,0.063
"It is very unfair, that criticism. Now, I will say this, with all of that being said, I have said I will not do it at all, because if I say a word that's a little bit off color, a little bit, it ends up being a headline. I will not do it again. I was a very good student at a great school not using -- by the way -- not using profanity is very easy.",2016-02-13,"Greenville, SC",YouTube,Debate,https://www.youtube.com/watch?v=V-U7EkQiG7A&t=5966,Negative,-0.2,Sadness,0.358,0.082,0.076,0.049,0.474
"When you get to be president or just before you get to be president, the altitude would change very much.  I mean, I was a good student at the best school and all of that.  My uncle was a professor at MIT for many years.",2016-02-09,"Manchester, NH",YouTube,Interview,https://www.youtube.com/watch?v=XFeg8qnaBKA&t=159,Positive,0.3,Joy,0.065,0.058,0.608,0.068,0.204
"Now, as I get -- look, I was a good student at the best school and all of that stuff. I know what to do and what not to do. But I will say this, as you get closer, you act a little bit differently. We were having a good time. Those people went out and voted for me and that's why we got, you know, the numbers we did. Look, this country, political correctness is killing us in so many different ways.",2016-02-10,"New York, NY",YouTube,Interview,https://www.youtube.com/watch?v=YR-4EghglYQ&t=178,Positive,0.1,Joy,0.133,0.125,0.652,0.085,0.535
