Text,Date,Location,Source,Type,URL,Sentiment,Sentiment Score,Dominant Emotion,Anger Score,Disgust Score,Joy Score,Fear Score,Sadness Score
"Well, I think the press makes me more uncivil than I am. You know, people don't understand -- I went to an Ivy League college, I was a nice student, I did very well, I'm a very intelligent person. The fact is, I think -- I really believe -- I think the press creates a different image of Donald Trump than the real person.",2017-10-25,"Washington, DC",YouTube,Press Conference,https://www.youtube.com/watch?v=IqJKMD0V_xw&t=337,Positive,0.2,Joy,0.114,0.141,0.551,0.055,0.222
"No matter what we have, our military's depleted, our vets aren't taken care of, we have stupid people leading this country. They're stupid people. You know, I'd like to use another word. I went to an Ivy League school. I was a very good student. But there's nothing better than the word stupid"" to describe these people. I mean",2016-10-26,"Kinston, NC",YouTube,Speech,https://www.youtube.com/watch?v=Dm3TwG9wftQ&t=1985,Unknown,,Sadness,0.181,0.157,0.319,0.063,0.46
"You know, I went to an Ivy League school. I was a good student. And you know what? There's no better word to describe it. It's a horrible word to use. It's not terrible, but I hate to use it but there's no better word. Our leaders are stupid people -- they're stupid people, I'm telling you. Obama, all this guy does is campaign for Hillary, who he can't stand.",2016-10-25,"Tallahassee, FL",YouTube,Speech,https://www.youtube.com/watch?v=BjK0BrFeCrA&t=1224,Negative,-0.1,Sadness,0.2,0.402,0.454,0.08,0.458
"Why did we have to tell them we're going in? Why didn't we go in and then tell the public a week later, congratulations we just got the leadership. We didn't lose many people. I'm telling you, folks. Our leadership -- I went to an Ivy League school. But there's some words that you can't describe any better. Our leadership is stupid, these are stupid people.[Applause]",2016-10-24,"St. Augustine, FL",YouTube,Speech,https://www.youtube.com/watch?v=q_XVjUM-tdI&t=933,Unknown,,Sadness,0.424,0.085,0.297,0.158,0.645
"Hey, I went to Ivy League school. I did very well. They have so many new words. Islamophobe.",2016-09-16,"Miami, FL",YouTube,Speech,https://www.youtube.com/watch?v=dyQuE4daUZA&t=675,Positive,0.3,Joy,0.049,0.058,0.528,0.138,0.263
went to an Ivy League college I went to the Wharton School of Finance which is,2016-01-24,"Muscatine, IA",YouTube,Speech,https://www.youtube.com/watch?v=aINk68TFm70&t=2472,Positive,0.2,,,,,,
are frankly you know they like to say from place to speak in Amin ivy league I,2016-01-24,"Muscatine, IA",YouTube,Speech,https://www.youtube.com/watch?v=aINk68TFm70&t=2468,Positive,0.2,,,,,,
"And I think one of the reasons that people are showing up for me and the poll numbers are all showing up for me, it's not that I can't be -- I went to a great school, Ivy League school, all of that stuff, did well, smart guy. I even had an uncle, you know, if you believe in genes, some do, some don't. But I had an uncle who was a professor at MIT for decades, brilliant guy, Dr. John Trump.",2016-01-18,"Lynchburg, VA",YouTube,Speech,https://www.youtube.com/watch?v=RDPkUAALSLk&t=950,Unknown,,Fear,0.208,0.068,0.173,0.388,0.256
went to an Ivy League school I went to the Wharton School of Finance I can do,2016-01-15,"Urbandale, IA",YouTube,Speech,https://www.youtube.com/watch?v=FXu_aDx9hiQ&t=1193,Positive,0.3,,,,,,
School of Finance went Ivy League college you know what that doesn't help,2016-01-09,"Clear Lake, IA",YouTube,Speech,https://www.youtube.com/watch?v=an3nvYiqvIs&t=2665,Negative,-0.2,,,,,,
you know I went to an Ivy League college,2015-11-21,"Birmingham, AL",YouTube,Speech,https://www.youtube.com/watch?v=U1WdKbagFQM&t=226,Positive,0.2,,,,,,
"He's never going to run.' They're the sort of saying, 'Oh my god, what's going on? Look at this' because numbers just came out in New Hampshire, numbers just came out, Fox just announced numbers on other things and, you know, I'm leading on everything and leading not by a little bit but by a lot, but I have to say, you have to stop using the word 'the intellectuals.' I went to an Ivy League school. I was a very good student. I'm more of an intellectual than I think anybody --",2015-11-19,,Soundcloud,Interview,https://soundcloud.com/breitbart/breitbart-news-daily-donald-trump-november-19-2015,Unknown,,Sadness,0.111,0.048,0.208,0.175,0.409
"I'm so tired of the time and the effort of all of this, we don't have time, we have a country that's in such danger and such trouble to be politically correct. Every word is measured and I can do it. I went to great schools. I went to an Ivy League school, so easy to do it, but who wants to do it? We have to get to business.",2015-09-25,"Washington, DC",YouTube,Speech,https://www.youtube.com/watch?v=6hw4Vjt75r8&t=98,Unknown,,Sadness,0.186,0.03,0.193,0.385,0.416
