State,Percent Mentions
AL,1.0
AK,No rallies
AZ,0.125
AR,1.0
CA,0.0
CO,0.0
CT,0.25
DE,0.0
DC,No rallies
FL,0.21875
GA,0.2
HI,No rallies
ID,No rallies
IL,0.0
IN,0.0
IA,0.3333333333333333
KS,0.0
KY,0.0
LA,0.0
ME,0.0
MT,0.0
NE,0.0
NV,0.0
NH,0.04
NJ,No rallies
NM,0.0
NY,1.3333333333333333
NC,0.23809523809523808
ND,No rallies
OH,0.0
OK,0.6666666666666666
OR,0.0
MD,0.5
MA,0.0
MI,0.2222222222222222
MN,0.0
MS,0.0
MO,0.0
PA,0.3333333333333333
RI,0.0
SC,0.47619047619047616
SD,No rallies
TN,0.6666666666666666
TX,0.0
UT,2.0
VT,0.0
VA,0.7
WA,0.0
WV,0.0
WI,0.2
WY,No rallies
